dt,close,high,low,open,volume
2012-01-20,23197.4,23264.1,22801.9,22833.0,5205309.5
2012-01-25,23277.4,23539.6,23161.9,23197.4,7721437.0
2012-01-26,23299.6,23428.5,23237.4,23428.5,2162210.5
2012-01-27,23335.2,23419.6,23206.3,23419.6,3456417.5
2012-01-30,23073.0,23308.5,23050.8,23241.9,2899746.25
2012-01-31,23197.4,23304.1,22993.0,23081.9,2002127.75
2012-02-01,23224.1,23393.0,23028.6,23135.2,1927536.875
2012-02-02,23486.3,23646.3,23455.2,23464.1,2625921.5
2012-02-03,23370.7,23512.9,23286.3,23486.3,2424590.25
2012-02-06,23401.8,23668.5,23326.3,23632.9,1893227.375
2012-02-07,23441.8,23539.6,23375.2,23437.4,3035667.5
2012-02-08,23708.5,23726.3,23473.0,23486.3,4026284.75
2012-02-09,23810.7,23810.7,23384.1,23708.5,4458510.0
2012-02-10,23548.5,23801.8,23464.1,23801.8,2593516.25
2012-02-13,23681.8,23792.9,23552.9,23575.2,2828806.25
2012-02-14,23659.6,23708.5,23566.3,23668.5,2477070.75
2012-02-15,23957.3,23984.0,23708.5,23708.5,3541640.75
2012-02-16,23641.8,23792.9,23624.0,23792.9,3741025.75
2012-02-17,23961.8,24050.7,23895.1,23917.3,3763672.0
2012-02-20,24028.4,24281.7,24015.1,24210.6,4038564.0
2012-02-21,24032.9,24099.5,23801.8,24015.1,1972092.0
2012-02-22,24032.9,24068.4,23872.9,24001.8,2034331.5
2012-02-23,23828.5,23912.9,23730.7,23819.6,1648760.0
2012-02-24,23930.7,23961.8,23690.7,23846.2,2308656.0
2012-02-27,23615.2,23908.5,23557.4,23908.5,2779918.0
2012-02-28,23797.4,23819.6,23655.2,23721.8,3465254.25
2012-02-29,24059.6,24121.8,23890.7,23890.7,3561843.5
2012-03-02,24090.7,24255.1,24077.3,24144.0,2823545.5
2012-03-05,23868.5,24108.4,23806.2,24090.7,2586210.0
2012-03-06,23659.6,23961.8,23535.2,23868.5,5620026.5
2012-03-07,23464.1,23521.8,23259.6,23455.2,4054408.5
2012-03-08,23730.7,23748.5,23415.2,23615.2,4331685.0
2012-03-09,23939.6,24041.8,23730.7,23930.7,2176740.5
2012-03-12,23801.8,23988.5,23766.3,23846.2,2142873.25
2012-03-13,24077.3,24192.9,23895.1,23895.1,3352305.5
2012-03-14,24348.4,24512.8,24326.2,24335.1,6954395.5
2012-03-15,24344.0,24424.0,24281.7,24344.0,4222252.0
2012-03-16,24250.6,24486.2,24224.0,24472.8,1758709.625
2012-03-19,24361.7,24428.4,24210.6,24237.3,2353182.75
2012-03-20,24286.2,24468.4,24201.8,24468.4,2314087.0
2012-03-21,24144.0,24286.2,24015.1,24215.1,2037498.75
2012-03-22,24161.8,24197.3,24028.4,24086.2,2379573.5
2012-03-23,24130.7,24161.8,23970.7,24086.2,1470269.5
2012-03-26,24108.4,24339.5,24032.9,24246.2,2369329.25
2012-03-27,24370.6,24424.0,24272.9,24370.6,3237594.75
2012-03-28,24317.3,24361.7,24264.0,24321.7,3005839.0
2012-03-29,24077.3,24219.5,24015.1,24210.6,2931603.25
2012-03-30,24019.6,24095.1,23944.0,24046.2,3415140.5
2012-04-02,24219.5,24250.6,24041.8,24090.7,1785596.0
2012-04-03,24566.2,24579.5,24339.5,24366.2,3642311.25
2012-04-04,24304.0,24530.6,24259.5,24486.2,6731830.0
2012-04-05,24366.2,24375.1,23997.3,24117.3,4103584.75
2012-04-06,24335.1,24397.3,24264.0,24370.6,3747470.0
2012-04-09,24019.6,24188.4,23966.2,24188.4,3172133.0
2012-04-10,23979.6,24179.5,23961.8,24024.0,5391558.0
2012-04-12,23868.5,23988.5,23659.6,23988.5,4556780.0
2012-04-13,24077.3,24166.2,23966.2,24059.6,4954223.0
2012-04-16,23890.7,23948.5,23770.7,23872.9,4478667.5
2012-04-17,23819.6,23939.6,23757.4,23917.3,3247008.25
2012-04-18,24037.3,24170.7,24019.6,24130.7,2253010.5
2012-04-19,24001.8,24090.7,23926.2,23926.2,3406689.25
2012-04-20,23677.4,23899.6,23641.8,23899.6,5452495.0
2012-04-23,23659.6,23735.1,23552.9,23650.7,7048410.5
2012-04-24,23539.6,23641.8,23419.6,23464.1,4288561.5
2012-04-25,23544.1,23748.5,23544.1,23695.1,4552174.5
2012-04-26,23624.0,23748.5,23530.7,23708.5,2840474.0
2012-04-27,23776.9,23857.8,23682.5,23812.9,2839738.0
2012-04-30,23889.3,23965.8,23826.4,23920.8,5080731.0
2012-05-02,24073.7,24078.2,23961.3,24010.7,2117881.0
2012-05-03,24028.7,24046.7,23988.2,24033.2,3850717.75
2012-05-04,23875.8,23952.3,23839.9,23938.8,1571538.125
2012-05-07,23444.2,23601.6,23412.7,23597.1,3763703.75
2012-05-08,23601.6,23619.5,23529.6,23579.1,6514438.0
2012-05-09,23412.7,23538.6,23367.7,23453.2,1428279.0
2012-05-10,23331.8,23385.7,23228.4,23336.3,4333955.0
2012-05-11,22927.1,23327.3,22927.1,23327.3,6495858.0
2012-05-14,22936.1,23012.5,22823.7,22949.6,7477129.5
2012-05-15,22832.7,22886.6,22648.3,22769.7,3451647.25
2012-05-16,22086.3,22670.8,22086.3,22670.8,6210814.5
2012-05-17,22077.3,22230.2,21964.9,22086.3,8252457.0
2012-05-18,21348.9,21762.5,21276.9,21758.0,7538398.5
2012-05-21,21569.2,21632.1,21452.3,21497.2,7981076.0
2012-05-22,21946.9,21951.4,21740.0,21924.4,3861312.5
2012-05-23,21690.6,21852.5,21515.2,21852.5,5095613.0
2012-05-24,21767.0,21767.0,21555.7,21672.6,3276538.25
2012-05-25,21874.9,21973.9,21726.6,21852.5,1434346.375
2012-05-29,22216.7,22225.7,21767.0,21856.9,1376954.5
2012-05-30,22081.8,22225.7,21888.4,22216.7,4599768.0
2012-05-31,22036.8,22036.8,21672.6,21762.5,3931673.5
2012-06-01,21973.9,22036.8,21758.0,22014.3,2753890.25
2012-06-04,21425.3,21537.7,21276.9,21537.7,2770234.5
2012-06-05,21641.1,21704.1,21533.2,21537.7,3321660.5
2012-06-07,22198.7,22279.6,22068.3,22113.2,2670096.25
2012-06-08,22081.8,22293.1,22045.8,22230.2,6445222.0
2012-06-11,22464.0,22495.4,22401.0,22401.0,2623318.0
2012-06-12,22297.6,22347.1,22014.3,22014.3,2596112.75
2012-06-13,22378.5,22459.5,22248.1,22455.0,2577228.25
2012-06-14,22450.5,22450.5,22315.6,22419.0,2551065.5
2012-06-15,22320.1,22508.9,22194.2,22499.9,3359585.0
2012-06-18,22724.8,22873.1,22648.3,22670.8,3392527.25
2012-06-19,22733.8,22756.2,22598.9,22675.3,4257908.0
2012-06-20,22855.2,22954.1,22787.7,22931.6,2286636.25
2012-06-21,22670.8,22828.2,22580.9,22792.2,3592552.75
2012-06-22,22045.8,22473.0,22018.8,22392.0,5072840.0
2012-06-25,21740.0,22050.3,21609.6,22045.8,11278915.0
2012-06-26,21632.1,21762.5,21587.2,21650.1,8247355.5
2012-06-27,21650.1,21708.6,21380.3,21654.6,6187417.0
2012-06-28,21672.6,21789.5,21519.7,21758.0,6637124.5
2012-06-29,22117.7,22117.7,21470.3,21591.7,4192031.75
2012-07-02,22086.3,22302.1,22086.3,22275.1,2805816.5
2012-07-03,22261.6,22333.6,22140.2,22140.2,2233743.0
2012-07-04,22369.5,22455.0,22329.1,22414.5,4837457.5
2012-07-05,22333.6,22392.0,22243.6,22338.1,2935162.25
2012-07-06,22099.8,22396.5,22032.3,22356.1,1967094.375
2012-07-09,21843.5,21946.9,21794.0,21874.9,1350151.875
2012-07-10,21753.5,21964.9,21699.6,21852.5,1971126.875
2012-07-11,21708.6,21744.5,21600.7,21717.6,2684523.5
2012-07-12,21290.4,21776.0,21290.4,21726.6,6031564.5
2012-07-13,21560.2,21672.6,21164.5,21344.4,10468378.0
2012-07-16,21623.1,21717.6,21492.7,21717.6,3472597.0
2012-07-17,21677.1,21901.9,21438.8,21560.2,2469748.25
2012-07-18,21393.8,21789.5,21294.9,21753.5,4920792.0
2012-07-19,21713.1,21852.5,21582.7,21627.6,4244828.5
2012-07-20,21740.0,21825.5,21672.6,21767.0,4810228.0
2012-07-23,21326.4,21492.7,21182.5,21456.8,4251320.5
2012-07-24,21384.8,21411.8,21240.9,21308.4,8072916.5
2012-07-25,21124.0,21317.4,20939.7,21002.6,4665552.5
2012-07-26,21258.9,21330.9,21061.1,21182.5,4166528.75
2012-07-27,21888.4,21888.4,21596.2,21672.6,3081184.25
2012-07-30,22099.9,22167.4,22045.9,22095.4,7825170.5
2012-07-31,22567.9,22846.9,22072.9,22095.4,12323675.0
2012-08-01,22581.4,22680.4,22383.4,22383.4,11172170.0
2012-08-02,22446.4,22644.4,22378.9,22635.4,3952866.5
2012-08-03,22144.9,22360.9,22072.9,22140.4,3623537.0
2012-08-06,22603.9,22756.9,22536.4,22590.4,3268038.5
2012-08-07,22648.9,22707.4,22549.9,22644.4,7013091.0
2012-08-08,22855.9,23094.4,22720.9,22738.9,6661924.0
2012-08-09,23346.4,23458.9,22896.4,22905.4,12959330.0
2012-08-10,23395.9,23445.4,23274.4,23301.4,11478528.0
2012-08-13,23224.9,23395.9,23215.9,23395.9,2777440.25
2012-08-14,23499.4,23553.4,23301.4,23346.4,4310000.0
2012-08-16,23508.4,23562.4,23404.9,23490.4,2810383.25
2012-08-17,23355.4,23620.9,23305.9,23616.4,4069817.75
2012-08-20,23328.4,23400.4,23220.4,23355.4,3614411.75
2012-08-21,23278.9,23535.4,23256.4,23364.4,4390100.0
2012-08-22,23148.4,23332.9,22954.9,23256.4,2653523.25
2012-08-23,23233.9,23260.9,23017.9,23148.4,4950275.0
2012-08-24,22941.4,23026.9,22887.4,23022.4,3710729.75
2012-08-27,22855.9,22963.9,22684.9,22734.4,9460136.0
2012-08-28,22801.9,22950.4,22729.9,22860.4,2252827.0
2012-08-29,22932.4,22950.4,22797.4,22864.9,1458558.5
2012-08-30,22630.9,22887.4,22509.4,22860.4,5069014.0
2012-08-31,22567.9,22684.9,22482.4,22500.4,5862686.5
2012-09-03,22644.4,22806.4,22306.9,22599.4,4541873.0
2012-09-04,22567.9,22707.4,22558.9,22621.9,4296814.0
2012-09-05,22144.9,22455.4,22144.9,22423.9,8302868.5
2012-09-06,22234.9,22356.4,22149.4,22239.4,10246973.0
2012-09-07,22900.9,22918.9,22693.9,22702.9,2649633.5
2012-09-10,22855.9,23022.4,22855.9,22977.4,6115703.0
2012-09-11,22756.9,22855.9,22671.4,22855.9,4102167.75
2012-09-12,23157.4,23211.4,22887.4,22896.4,4110904.25
2012-09-13,23175.4,23211.4,22986.4,23134.9,7926676.5
2012-09-14,23904.4,23980.9,23638.9,23643.4,6239973.0
2012-09-17,23814.4,23953.9,23782.9,23895.4,9917882.0
2012-09-18,23818.9,23868.4,23719.9,23800.9,4408412.0
2012-09-19,23877.4,23980.9,23710.9,23796.4,3351080.5
2012-09-20,23674.9,23841.4,23652.4,23742.4,2951764.0
2012-09-21,23751.4,23850.4,23683.9,23800.9,6025755.0
2012-09-24,23760.4,23782.9,23454.4,23724.4,4670217.0
2012-09-25,23674.9,23773.9,23616.4,23616.4,6037590.0
2012-09-26,23463.4,23544.4,23341.9,23476.9,4437381.5
2012-09-27,23638.9,23665.9,23341.9,23395.9,3511138.0
2012-09-28,23679.4,23742.4,23593.9,23724.4,5418310.0
2012-10-02,23656.9,23742.4,23634.4,23652.4,1757430.0
2012-10-04,23616.4,23701.9,23458.9,23674.9,3697586.5
2012-10-05,23634.4,23818.9,23625.4,23751.4,3477019.25
2012-10-08,23472.4,23634.4,23413.9,23625.4,2769896.75
2012-10-09,23485.9,23620.9,23431.9,23454.4,4054857.25
2012-10-10,23031.4,23467.9,23031.4,23229.4,6124320.5
2012-10-11,22824.4,23017.9,22644.4,22860.4,11215031.0
2012-10-12,22761.4,22909.9,22707.4,22891.9,7721728.5
2012-10-15,22684.9,22855.9,22639.9,22734.4,2977350.75
2012-10-16,22918.9,22941.4,22806.4,22878.4,3022308.5
2012-10-17,23067.4,23224.9,23013.4,23058.4,3040854.5
2012-10-18,23202.4,23229.4,23121.4,23139.4,2887879.0
2012-10-19,23017.9,23202.4,22972.9,23148.4,3880998.25
2012-10-22,22914.4,22959.4,22540.9,22689.4,4673148.0
2012-10-23,22729.9,22968.4,22729.9,22923.4,3282041.75
2012-10-24,22536.4,22666.9,22437.4,22518.4,5267834.5
2012-10-25,22680.4,22680.4,22401.4,22459.9,4364446.0
2012-10-26,22288.9,22648.9,22288.9,22603.9,6712675.5
2012-10-29,22347.4,22464.4,22293.4,22383.4,7122795.0
2012-10-30,22396.9,22630.9,22356.4,22365.4,2137513.25
2012-10-31,22590.4,22653.4,22482.4,22563.4,2856803.25
2012-11-01,22356.4,22486.9,22239.4,22486.9,3502876.25
2012-11-02,22621.9,22666.9,22558.9,22599.4,5535854.0
2012-11-05,22504.9,22594.9,22455.4,22509.4,5687078.5
2012-11-06,22752.4,22765.9,22500.4,22531.9,2882836.0
2012-11-07,22873.9,22873.9,22599.4,22797.4,3827072.5
2012-11-08,22513.9,22648.9,22464.4,22626.4,4303830.0
2012-11-09,22383.4,22450.9,22099.9,22320.4,7115289.5
2012-11-12,22369.9,22405.9,22266.4,22320.4,4846909.5
2012-11-13,22243.9,22410.4,22158.4,22396.9,4093131.25
2012-11-14,22338.4,22338.4,22180.9,22284.4,5056638.0
2012-11-15,22059.4,22108.9,21969.4,22095.4,7646243.5
2012-11-16,21937.9,22072.9,21933.4,22005.4,7307711.0
2012-11-19,22171.9,22275.4,22014.4,22023.4,4273551.0
2012-11-20,22351.9,22419.4,22297.9,22419.4,4636697.5
2012-11-21,22284.4,22459.9,22212.4,22410.4,2671996.5
2012-11-22,22504.9,22567.9,22392.4,22396.9,2477143.75
2012-11-23,22666.9,22666.9,22482.4,22500.4,6956047.0
2012-11-26,22630.9,22747.9,22599.4,22707.4,3751424.25
2012-11-27,22855.9,22909.9,22698.4,22711.9,3420602.75
2012-11-28,22725.4,22765.9,22653.4,22725.4,7279666.0
2012-11-29,22968.4,22999.9,22824.4,22846.9,3622828.0
2012-11-30,22999.9,23103.4,22905.4,22954.9,5562377.0
2012-12-03,23031.4,23121.4,22981.9,22999.9,2085774.5
2012-12-04,22968.4,22995.4,22878.4,22954.9,1749043.375
2012-12-05,23125.9,23170.9,22932.4,22936.9,1952737.875
2012-12-06,23179.9,23251.9,23112.4,23134.9,3063912.5
2012-12-07,23314.9,23364.4,23211.4,23215.9,2372221.75
2012-12-10,23350.9,23472.4,23314.9,23386.9,2638785.25
2012-12-11,23422.9,23422.9,23332.9,23355.4,2679809.5
2012-12-12,23593.9,23593.9,23490.4,23512.9,3422985.0
2012-12-13,23850.4,23877.4,23589.4,23593.9,3995625.5
2012-12-14,23931.4,23967.4,23701.9,23746.9,5213700.0
2012-12-17,23697.4,23931.4,23697.4,23886.4,6309468.5
2012-12-18,23809.9,23841.4,23598.4,23778.4,2929270.75
2012-12-20,23805.4,23953.9,23805.4,23836.9,3261355.0
2012-12-21,23593.9,23931.4,23593.9,23931.4,6091267.0
2012-12-24,23688.4,23715.4,23611.9,23643.4,4721053.0
2012-12-26,23710.9,23931.4,23697.4,23764.9,8245671.5
2012-12-27,23832.4,23854.9,23634.4,23706.4,6073855.0
2012-12-28,23949.4,24012.4,23832.4,23836.9,3259709.25
2013-01-02,24417.4,24457.9,24124.9,24124.9,4845133.5
2013-01-03,24331.9,24642.4,24331.9,24579.4,8773475.0
2013-01-04,24183.4,24372.4,24142.9,24354.4,5680235.0
2013-01-07,24196.9,24237.4,24016.9,24205.9,4943719.0
2013-01-08,23940.4,24174.4,23940.4,24079.9,4362007.5
2013-01-09,23850.4,24088.9,23841.4,23989.9,5432521.5
2013-01-10,24061.9,24120.4,23796.4,23890.9,5813420.0
2013-01-11,23926.9,24241.9,23746.9,24223.9,7731297.0
2013-01-14,24048.4,24075.4,23800.9,23904.4,5779748.0
2013-01-15,23800.9,24205.9,23791.9,24030.4,3914330.5
2013-01-16,23629.9,23940.4,23580.4,23877.4,5658585.0
2013-01-17,23670.4,23782.9,23521.9,23746.9,5768087.0
2013-01-18,23764.9,23890.9,23625.4,23854.9,5916925.0
2013-01-21,23760.4,23877.4,23575.9,23769.4,9731903.0
2013-01-22,23877.4,23922.4,23706.4,23769.4,4981865.5
2013-01-23,23688.4,24025.9,23688.4,23913.4,4813226.0
2013-01-24,23472.4,23715.4,23458.9,23670.4,9947499.0
2013-01-25,23215.9,23535.4,23161.9,23517.4,12204253.0
2013-01-28,23179.9,23247.4,23089.9,23202.4,12525735.0
2013-01-29,23377.9,23413.9,23202.4,23233.9,5394836.5
2013-01-30,23481.4,23557.9,23305.9,23431.9,6048690.5
2013-01-31,23436.4,23458.9,23341.9,23400.4,4549437.0
2013-02-01,23391.4,23557.9,23202.4,23445.4,8205529.0
2013-02-04,23332.9,23535.4,23328.4,23503.9,8682866.0
2013-02-05,23134.9,23224.9,23031.4,23202.4,10764524.0
2013-02-06,23107.9,23220.4,23103.4,23211.4,7795678.0
2013-02-07,23103.4,23260.9,23053.9,23134.9,6396263.5
2013-02-08,23350.9,23427.4,23040.4,23067.4,4865399.5
2013-02-12,23310.4,23440.9,23301.4,23391.4,5381819.0
2013-02-13,23773.9,23773.9,23395.9,23418.4,5909305.0
2013-02-14,23850.4,23922.4,23715.4,23773.9,7959126.0
2013-02-15,23800.9,23868.4,23755.9,23850.4,4050501.5
2013-02-18,23791.9,23868.4,23670.4,23760.4,4349416.5
2013-02-19,23859.4,23935.9,23760.4,23805.4,4772787.0
2013-02-20,24372.4,24381.4,23940.4,23958.4,8123926.5
2013-02-21,24259.9,24340.9,24219.4,24277.9,12593274.0
2013-02-22,24295.9,24457.9,24169.9,24187.9,6313760.5
2013-02-25,24201.4,24376.9,24192.4,24304.9,3881965.75
2013-02-26,24093.4,24165.4,23980.9,24057.4,5204913.5
2013-02-27,24115.9,24196.9,24034.9,24138.4,4615208.5
2013-02-28,24354.4,24466.9,24255.4,24264.4,8468210.0
2013-03-04,24142.9,24394.9,24115.9,24327.4,7482362.5
2013-03-05,24214.9,24448.9,24214.9,24237.4,4856868.0
2013-03-06,24201.4,24475.9,24178.9,24417.4,7675240.5
2013-03-07,24012.4,24237.4,23985.4,24187.9,7219921.5
2013-03-08,23998.9,24088.9,23913.4,24016.9,8984392.0
2013-03-11,23967.4,24066.4,23746.9,23971.9,8229206.5
2013-03-12,23764.9,24070.9,23764.9,24052.9,6446128.5
2013-03-13,23854.9,23908.9,23733.4,23769.4,9270377.0
2013-03-14,23931.4,23931.4,23575.9,23845.9,12275079.0
2013-03-15,23692.9,24016.9,23647.9,23985.4,11417796.0
2013-03-18,23485.9,23643.4,23422.9,23557.9,14758573.0
2013-03-19,23571.4,23728.9,23521.9,23562.4,8588659.0
2013-03-20,23368.9,23548.9,23341.9,23503.9,7926817.0
2013-03-21,23211.4,23476.9,23202.4,23458.9,14810568.0
2013-03-22,23161.9,23251.9,23143.9,23215.9,15558566.0
2013-03-25,23557.9,23647.9,23355.4,23368.9,8433202.0
2013-03-26,23616.4,23715.4,23521.9,23580.4,6471009.5
2013-03-27,23782.9,23850.4,23458.9,23742.4,6198771.5
2013-03-28,23809.9,23841.4,23706.4,23782.9,3798923.75
2013-03-29,23904.4,24061.9,23899.9,23899.9,6537055.5
2013-04-01,23836.9,23949.4,23818.9,23940.4,1746204.75
2013-04-02,23634.4,23868.4,23472.4,23814.4,4848653.5
2013-04-03,23580.4,23719.9,23454.4,23719.9,5052340.0
2013-04-04,23278.9,23436.4,23139.4,23422.9,14369620.0
2013-04-05,22914.4,23220.4,22851.4,23148.4,23526254.0
2013-04-08,22932.4,23076.4,22887.4,22995.4,13887860.0
2013-04-09,22909.9,23152.9,22743.4,22932.4,8335789.5
2013-04-10,23058.4,23179.9,22923.4,23049.4,8898123.0
2013-04-11,23260.9,23260.9,22968.4,23184.4,5170995.0
2013-04-12,22815.4,23296.9,22774.9,23265.4,7052918.0
2013-04-15,22864.9,22959.4,22653.4,22747.9,16251325.0
2013-04-16,22806.4,22950.4,22504.9,22626.4,10205428.0
2013-04-17,22806.4,22963.9,22617.4,22887.4,9683079.0
2013-04-18,22500.4,22765.9,22500.4,22644.4,7938921.0
2013-04-19,22576.9,22657.9,22374.4,22491.4,8657158.0
2013-04-22,22774.9,22819.9,22468.9,22563.4,4883502.0
2013-04-23,22711.9,22774.9,22531.9,22761.4,6711422.0
2013-04-24,22887.4,22945.9,22684.9,22815.4,7837856.5
2013-04-25,23013.4,23035.9,22864.9,22909.9,7495916.5
2013-04-26,22981.9,23044.9,22927.9,23004.4,6105474.0
2013-04-29,22913.8,22990.8,22804.9,22981.8,5984688.0
2013-04-30,23208.5,23272.0,22972.7,23036.2,8418171.0
2013-05-02,23081.5,23199.4,23054.3,23126.9,7318636.0
2013-05-03,23181.3,23240.2,23036.2,23217.6,4296708.0
2013-05-06,23099.7,23453.4,23099.7,23312.8,4977940.5
2013-05-07,23058.9,23149.6,22990.8,23136.0,4130843.25
2013-05-08,23036.2,23181.3,22972.7,23104.2,4484554.0
2013-05-09,23367.2,23417.1,23067.9,23067.9,7631025.0
2013-05-10,22891.1,23340.0,22877.5,23340.0,14346554.0
2013-05-13,22963.6,22963.6,22736.9,22863.9,11479981.0
2013-05-14,23235.7,23303.7,22963.6,22963.6,5433898.0
2013-05-15,23240.2,23276.5,23131.4,23267.5,6415346.0
2013-05-16,23444.3,23584.9,23272.0,23272.0,6392201.0
2013-05-20,23444.3,23530.5,23399.0,23471.5,8184733.5
2013-05-21,23430.7,23652.9,23399.0,23535.0,3105961.25
2013-05-22,23571.3,23671.0,23498.7,23521.4,3739757.75
2013-05-23,23253.8,23507.8,23253.8,23444.3,7275735.0
2013-05-24,23290.1,23385.4,23149.6,23340.0,8662176.0
2013-05-27,23399.0,23485.1,23240.2,23262.9,4410548.5
2013-05-28,23485.1,23557.7,23340.0,23435.2,7981570.5
2013-05-29,23666.5,23761.7,23516.9,23553.1,4548186.0
2013-05-30,23684.6,23775.3,23630.2,23634.8,9520865.0
2013-05-31,23702.8,23861.5,23702.8,23734.5,5856705.0
2013-06-03,23616.6,23698.3,23580.3,23625.7,5598988.5
2013-06-04,23580.3,23725.5,23444.3,23725.5,6334560.5
2013-06-05,23258.4,23603.0,23258.4,23535.0,8173707.0
2013-06-07,22764.1,23489.7,22764.1,23194.9,16638438.0
2013-06-10,22877.5,22900.2,22750.5,22823.1,22339308.0
2013-06-11,22714.2,22918.3,22569.1,22913.8,9355563.0
2013-06-12,22523.8,22718.8,22505.6,22609.9,7495644.5
