dt,close,high,low,open,volume
2012-01-20,49960.0,50040.0,49960.0,50040.0,3276.0
2012-01-25,49960.0,49960.0,49960.0,49960.0,100.0
2012-01-26,49930.0,49985.0,49925.0,49960.0,1161.0
2012-01-27,50000.0,57200.0,49810.0,57200.0,104.0
2012-01-30,50130.0,50130.0,50000.0,50000.0,1080.0
2012-01-31,50180.0,50210.0,50135.0,50210.0,1001.0
2012-02-01,50230.0,50260.0,50170.0,50220.0,5131.0
2012-02-02,50180.0,50180.0,50180.0,50180.0,1007.0
2012-02-03,50190.0,50220.0,50190.0,50200.0,1002.0
2012-02-06,50120.0,50130.0,50090.0,50120.0,1045.0
2012-02-07,50060.0,50120.0,50040.0,50120.0,1068.0
2012-02-08,49980.0,50000.0,49980.0,50000.0,2001.0
2012-02-09,50050.0,50110.0,49990.0,50050.0,1005.0
2012-02-10,50010.0,50050.0,49980.0,49990.0,603.0
2012-02-13,49980.0,50015.0,49910.0,50015.0,15.0
2012-02-14,50020.0,50020.0,49975.0,49985.0,2109.0
2012-02-15,50000.0,50000.0,50000.0,50000.0,0.0
2012-02-16,50050.0,50050.0,50050.0,50050.0,0.0
2012-02-17,49990.0,49990.0,49990.0,49990.0,1.0
2012-02-20,49940.0,49960.0,49940.0,49960.0,3.0
2012-02-21,50000.0,50000.0,49940.0,49950.0,102.0
2012-02-22,49950.0,49990.0,49950.0,49990.0,109.0
2012-02-23,50020.0,50020.0,50020.0,50020.0,15.0
2012-02-24,50020.0,50020.0,50020.0,50020.0,0.0
2012-02-27,50110.0,50110.0,50080.0,50080.0,465.0
2012-02-28,50140.0,50140.0,50120.0,50120.0,274.0
2012-02-29,50155.0,50155.0,50155.0,50155.0,0.0
2012-03-02,50050.0,50050.0,50050.0,50050.0,50.0
2012-03-05,49970.0,49970.0,49970.0,49970.0,0.0
2012-03-06,49970.0,49970.0,49970.0,49970.0,0.0
2012-03-07,49970.0,49970.0,49970.0,49970.0,0.0
2012-03-08,50080.0,50080.0,50080.0,50080.0,0.0
2012-03-09,50060.0,50060.0,50060.0,50060.0,10.0
2012-03-12,50120.0,50120.0,50090.0,50090.0,141.0
2012-03-13,50160.0,50160.0,50160.0,50160.0,300.0
2012-03-14,50060.0,50060.0,50060.0,50060.0,0.0
2012-03-15,49895.0,50000.0,49895.0,50000.0,8002.0
2012-03-16,49800.0,49800.0,49800.0,49800.0,4.0
2012-03-19,49640.0,49740.0,49620.0,49740.0,62.0
2012-03-20,49680.0,49680.0,49640.0,49640.0,136.0
2012-03-21,49550.0,49620.0,49550.0,49620.0,55.0
2012-03-22,49500.0,49660.0,49500.0,49660.0,4004.0
2012-03-23,49540.0,49540.0,49500.0,49500.0,52.0
2012-03-26,49650.0,49650.0,49620.0,49620.0,103.0
2012-03-27,49680.0,49850.0,49680.0,49800.0,199.0
2012-03-28,49840.0,49840.0,49840.0,49840.0,4036.0
2012-03-29,49900.0,49900.0,49900.0,49900.0,0.0
2012-03-30,50050.0,50050.0,49980.0,49980.0,65.0
2012-04-02,50000.0,50000.0,50000.0,50000.0,1.0
2012-04-03,49990.0,50030.0,49990.0,50030.0,5.0
2012-04-04,49990.0,49990.0,49990.0,49990.0,0.0
2012-04-05,50110.0,50110.0,50070.0,50070.0,4.0
2012-04-06,50050.0,50110.0,50050.0,50110.0,2.0
2012-04-09,50280.0,50280.0,50280.0,50280.0,0.0
2012-04-10,50270.0,50270.0,50200.0,50240.0,5.0
2012-04-12,50240.0,50240.0,50240.0,50240.0,1.0
2012-04-13,50200.0,50200.0,50200.0,50200.0,1.0
2012-04-16,50350.0,50350.0,50350.0,50350.0,1.0
2012-04-17,50370.0,50370.0,50370.0,50370.0,0.0
2012-04-18,50310.0,50310.0,50310.0,50310.0,0.0
2012-04-19,50330.0,50330.0,50330.0,50330.0,1.0
2012-04-20,50480.0,50480.0,50360.0,50360.0,3.0
2012-04-23,50460.0,50500.0,50450.0,50500.0,17.0
2012-04-24,50530.0,50530.0,50530.0,50530.0,1.0
2012-04-25,50425.0,50435.0,50425.0,50430.0,11.0
2012-04-26,50430.0,50470.0,50430.0,50435.0,12.0
2012-04-27,50600.0,50610.0,50500.0,50510.0,5046.0
2012-04-30,50735.0,50735.0,50690.0,50700.0,6.0
2012-05-02,50710.0,50710.0,50705.0,50705.0,6.0
2012-05-03,50790.0,50810.0,50750.0,50750.0,7.0
2012-05-04,50745.0,50790.0,50745.0,50790.0,3.0
2012-05-07,50940.0,51000.0,50900.0,50900.0,955.0
2012-05-08,50880.0,50920.0,50880.0,50920.0,253.0
2012-05-09,50940.0,50980.0,50650.0,50980.0,346.0
2012-05-10,50810.0,50810.0,50600.0,50650.0,2525.0
