통계표,8.8.2.1 주요국통화의 대원화 환율 통계자료,8.8.2.1 주요국통화의 대원화 환율 통계자료,8.8.2.1 주요국통화의 대원화 환율 통계자료,"4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)",18.1.1.3 중앙은행 정책금리,18.1.1.3 중앙은행 정책금리,18.1.1.3 중앙은행 정책금리,18.1.1.3 중앙은행 정책금리,4.2.1.1 신규취급액 기준,4.2.2.1 신규취급액 기준,4.2.2.1 신규취급액 기준,2.5.한국은행 원화대출금(말잔)
항목명1,원/미국달러(매매기준율),원/위안(매매기준율),원/일본엔(100엔),CD(91일),CP(91일),국고채(5년),국고채(50년),통안증권(91일),한국,중국,일본,미국,저축성수신,기업대출,가계대출,원화대출금(계)
항목명2,말일자료,말일자료,말일자료,,,,,,,,,,,,,
단위,원 ,원 ,원 ,연%,연%,연%,연%,연%,% ,% ,% ,% ,연%,연리% ,연리% ,십억원 
변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
Jan-11,"1,114.30",,"1,356.59",2.93,3.12,4.3,,2.8,2.75,5.81,0.05,0.13,3.46,5.71,5.3,"17,001.30"
Feb-11,"1,127.90",,"1,380.96",3.13,3.31,4.41,,3.1,2.75,6.06,0.05,0.13,3.62,5.81,5.26,"17,246.80"
Mar-11,"1,107.20",,"1,331.89",3.35,3.53,4.13,,3.26,3,6.06,0.05,0.13,3.67,5.96,5.41,"17,398.30"
Apr-11,"1,072.30",,"1,313.77",3.4,3.54,4.1,,3.32,3,6.31,0.05,0.13,3.68,5.8,5.42,"20,289.90"
May-11,"1,080.60",,"1,335.56",3.46,3.58,3.97,,3.35,3,6.31,0.05,0.13,3.67,5.83,5.49,"23,623.00"
Jun-11,"1,078.10",,"1,335.69",3.53,3.69,3.92,,3.34,3.25,6.31,0.05,0.13,3.7,5.89,5.47,"27,467.20"
Jul-11,"1,052.60",,"1,353.22",3.59,3.74,3.98,,3.42,3.25,6.56,0.05,0.13,3.79,5.98,5.46,"29,587.40"
Aug-11,"1,071.70",,"1,396.81",3.59,3.73,3.73,,3.42,3.25,6.56,0.05,0.13,3.77,5.92,5.58,"30,440.60"
Sep-11,"1,179.50",,"1,536.61",3.58,3.71,3.56,,3.3,3.25,6.56,0.05,0.13,3.71,5.87,5.66,"32,163.50"
Oct-11,"1,104.50",,"1,457.99",3.58,3.71,3.6,,3.37,3.25,6.56,0.05,0.13,3.71,5.86,5.56,"32,780.50"
Nov-11,"1,150.30",,"1,475.69",3.56,3.71,3.53,,3.42,3.25,6.56,0.05,0.13,3.69,5.9,5.6,"34,272.30"
Dec-11,"1,153.30",,"1,485.16",3.55,3.7,3.51,,3.47,3.25,6.56,0.05,0.13,3.77,5.81,5.37,"36,952.80"
Jan-12,"1,125.00",,"1,473.09",3.55,3.69,3.5,,3.44,3.25,6.56,0.05,0.13,3.75,5.83,5.8,"37,718.70"
Feb-12,"1,126.50",,"1,399.21",3.53,3.66,3.55,,3.42,3.25,6.56,0.05,0.13,3.73,5.74,5.67,"38,099.10"
Mar-12,"1,137.80",,"1,380.74",3.54,3.66,3.69,,3.48,3.25,6.56,0.05,0.13,3.72,5.79,5.62,"38,186.40"
Apr-12,"1,134.20",,"1,412.01",3.54,3.63,3.64,,3.4,3.25,6.56,0.05,0.13,3.7,5.76,5.54,"38,245.10"
May-12,"1,177.80",,"1,489.10",3.54,3.6,3.49,,3.37,3.25,6.56,0.05,0.13,3.64,5.74,5.51,"38,358.10"
Jun-12,"1,153.80",,"1,453.79",3.54,3.57,3.41,,3.29,3.25,6.31,0.05,0.13,3.63,5.67,5.38,"38,732.00"
Jul-12,"1,136.20",,"1,453.59",3.34,3.39,3.12,,3.03,3,6,0.05,0.13,3.43,5.53,5.2,"39,267.50"
Aug-12,"1,134.60",,"1,443.97",3.19,3.21,2.94,,2.84,3,6,0.05,0.13,3.19,5.36,4.9,"39,497.40"
Sep-12,"1,118.60",,"1,441.12",3.14,3.2,2.89,,2.86,3,6,0.05,0.13,3.18,5.3,4.86,"39,932.50"
Oct-12,"1,094.10",,"1,374.50",2.93,3.04,2.85,,2.81,2.75,6,0.05,0.13,3.08,5.08,4.84,"40,396.50"
Nov-12,"1,084.70",,"1,320.55",2.85,2.98,2.87,,2.79,2.75,6,0.05,0.13,3.02,5.05,4.74,"40,279.80"
Dec-12,"1,071.10",,"1,247.50",2.88,2.99,2.98,,2.79,2.75,6,0.05,0.13,3.1,5.01,4.54,"40,286.90"
Jan-13,"1,082.70",,"1,188.47",2.86,2.95,2.86,,2.72,2.75,6,0.05,0.13,3,5.04,4.84,"40,482.20"
Feb-13,"1,085.40",,"1,176.20",2.83,2.91,2.83,,2.68,2.75,6,0.05,0.13,2.94,5.03,4.61,
Mar-13,"1,112.10",,"1,180.13",2.81,2.88,2.69,,2.6,2.75,6,0.05,0.13,2.87,4.86,4.55,
Apr-13,"1,108.10",,"1,132.04",2.8,2.87,2.63,,2.63,2.75,6,0.05,0.13,2.75,4.82,4.42,
May-13,"1,128.30",,"1,116.58",2.72,2.79,2.68,,2.59,2.5,6,,0.13,2.67,4.73,4.3,
Jun-13,"1,149.70",,"1,167.15",2.69,2.75,3.08,,2.58,2.5,6,,0.13,2.66,4.7,4.11,
Jul-13,"1,113.60",,"1,135.40",2.68,2.74,3.18,,2.52,2.5,6,,0.13,2.64,4.69,4.31,
Aug-13,"1,110.90",,"1,129.19",2.66,2.72,3.26,,2.56,2.5,6,,0.13,2.63,4.61,4.33,
Sep-13,"1,075.60",,"1,098.67",2.66,2.73,3.17,,2.57,2.5,6,,0.13,2.64,4.59,4.26,
Oct-13,"1,061.40",,"1,077.51",2.66,2.74,3.08,,2.56,2.5,6,,0.13,2.63,4.56,4.21,
Nov-13,"1,062.10",,"1,038.17",2.65,2.78,3.24,,2.58,2.5,6,,0.13,2.62,4.58,4.19,
Dec-13,"1,055.30",,"1,004.66",2.65,2.82,3.3,,2.57,2.5,6,,0.13,2.67,4.67,4.1,
Jan-14,"1,079.20",,"1,043.71",2.65,2.83,3.26,,2.55,2.5,6,,0.13,2.65,4.62,4.15,
Feb-14,"1,067.70",,"1,044.82",2.65,2.78,3.16,,2.54,2.5,6,,0.13,2.63,4.58,4.05,
Mar-14,"1,068.80",,"1,038.73",2.65,2.77,3.17,,2.58,2.5,6,,0.13,2.6,4.57,4.09,
Apr-14,"1,031.70",,"1,005.31",2.65,2.76,3.17,,2.58,2.5,6,,0.13,2.6,4.51,4.04,
May-14,"1,021.60",,"1,004.18",2.65,2.76,3.08,,2.58,2.5,6,,0.13,2.59,4.5,4.02,
Jun-14,"1,014.40",,"1,000.00",2.65,2.74,2.97,,2.56,2.5,6,,0.13,2.57,4.53,3.94,
Jul-14,"1,024.30",,995.72,2.65,2.73,2.77,,2.49,2.5,6,,0.13,2.49,4.54,3.93,
Aug-14,"1,013.60",,977.58,2.52,2.59,2.77,,2.39,2.25,6,,0.13,2.36,4.35,3.76,
Sep-14,"1,050.60",,960.24,2.35,2.43,2.65,,2.25,2.25,6,,0.13,2.28,4.28,3.76,
Oct-14,"1,054.00",,964.05,2.21,2.32,2.42,,2.12,2,6,,0.13,2.18,4.14,3.64,
Nov-14,"1,101.10",,933.85,2.14,2.24,2.33,,2.02,2,5.6,,0.13,2.1,4.02,3.55,
Dec-14,"1,099.20",,920.14,2.13,2.3,2.34,,2.06,2,5.6,,0.13,2.16,4.07,3.55,
Jan-15,"1,090.80",,921.36,2.13,2.26,2.16,,1.99,2,5.6,,0.13,2.09,4.02,3.59,
Feb-15,"1,099.20",,920.72,2.12,2.24,2.12,,1.98,2,5.6,,0.13,2.04,4.02,3.48,
Mar-15,"1,105.00",,920.26,1.95,2,1.97,,1.83,1.75,5.35,,0.13,1.92,3.81,3.21,
Apr-15,"1,068.10",,897.22,1.81,1.88,1.86,,1.7,1.75,5.35,,0.13,1.78,3.67,2.96,
May-15,"1,108.00",,894.63,1.8,1.87,2.11,,1.72,1.75,5.1,,0.13,1.75,3.71,3.27,
Jun-15,"1,124.10",,917.15,1.7,1.73,2.04,,1.6,1.5,4.85,,0.13,1.67,3.61,3.22,
