Symbol,Year,Return,TRI,TB90,MKTCAP,PB
ATA,2008,39.04,34992.8008,2.4,671.5371,1.4624
BIR,2008,219.25,34992.8008,2.4,1435.1438,2.9372
IOL,2008,-11.5591,34992.8008,2.4,1136.4976,5.7316
CR,2008,110.6742,34992.8008,2.4,1067.91,1.6085
HPX,2008,28.5444,34992.8008,2.4,922.624,1.3032
TOG1,2008,183.8667,34992.8008,2.4,2386.6516,2.1461
AGU,2008,86.1347,34992.8008,2.4,14185.3096,3.4758
PMCS,2008,17.8746,34992.8008,2.4,1998.7028,2.5971
PXE,2008,50.8172,34992.8008,2.4,1178.0902,2.9557
NVA,2008,13.6364,34992.8008,2.4,1186.5299,1.6271
NTR,2008,97.4353,34992.8008,2.4,56345.7031,8.175
RUS,2008,3.0191,34992.8008,2.4,1942.6224,2.1252
BBD.B,2008,33.0645,34992.8008,2.4,14468.5039,4.8851
TLM,2008,3.5872,34992.8008,2.4,19121.1309,2.1333
CFP,2008,-12.1359,34992.8008,2.4,1548.5165,0.8747
AGI,2008,18.8929,34992.8008,2.4,1182.5964,1.8471
TESO,2008,24.8582,34992.8008,2.4,1334.7764,3.7403
TXP,2008,50.1761,34992.8008,2.4,3877.1294,5.4579
GEA,2008,105.2811,34992.8008,2.4,1284.9156,3.4405
GNA,2008,21.9512,34992.8008,2.4,6491.3252,1.4825
BNK,2008,304.1667,34992.8008,2.4,885.1299,7.5475
STE,2008,92.6241,34992.8008,2.4,1180.5229,2.3871
CLS,2008,42.9253,34992.8008,2.4,1793.514,0.8929
ARE,2008,30.2488,34992.8008,2.4,851.7207,2.5575
CMT,2008,-6.4182,34992.8008,2.4,1177.5142,1.3477
CLL,2008,12.3288,34992.8008,2.4,865.2106,1.8701
CNQ,2008,25.5576,34992.8008,2.4,49019.0195,3.6022
CSU,2008,13.4179,34992.8008,2.4,498.668,6.6142
HSE,2008,21.1355,34992.8008,2.4,39861.0703,3.0938
NXY,2008,12.6989,34992.8008,2.4,17655.6055,2.6526
RBA,2008,24.1593,34992.8008,2.4,2963.7739,5.8979
AXC,2008,16.5805,34992.8008,2.4,6350.7466,2.7788
TYK,2008,41.0935,34992.8008,2.4,1491.0961,4.0275
ESI,2008,29.2432,34992.8008,2.4,3661.147,2.6623
VT,2008,8.8889,34992.8008,2.4,2903.8501,1.452
GRT.UN,2008,-32.8559,34992.8008,2.4,1050.9301,0.5525
TIH,2008,25.5311,34992.8008,2.4,2115.9451,3.0269
QEC,2008,223.2558,34992.8008,2.4,548.4495,3.9494
QUX,2008,0.1773,34992.8008,2.4,1117.9712,1.1933
EMP.A,2008,-5.9452,34992.8008,2.4,1469.3582,1.3573
CIGI,2008,-45.1066,34992.8008,2.4,491.5575,1.6199
BPO,2008,-7.5362,34992.8008,2.4,8763.8555,2.9018
OTEX,2008,43.7548,34992.8008,2.4,1931.4788,2.8826
RBI1,2008,22.3214,34992.8008,2.4,1292.4991,2.4035
WFT,2008,0.5128,34992.8008,2.4,1564.864,0.8253
BB,2008,43.4098,34992.8008,2.4,73085.6406,15.6306
GO2,2008,-12.1739,34992.8008,2.4,1044.1118,1.6806
ROC,2008,32.3268,34992.8008,2.4,2029.2607,2980.0
TRE,2008,11.1111,34992.8008,2.4,3276.6401,2.5778
DII.B,2008,8.336,34992.8008,2.4,1128.4846,1.0484
SNC,2008,28.0193,34992.8008,2.4,7994.6792,8.1305
AGI2,2008,8.8496,34992.8008,2.4,586.9191,3.5201
ONEX,2008,-17.4855,34992.8008,2.4,3514.1624,2.1107
IMG,2008,-0.4267,34992.8008,2.4,2069.459,1.0757
MRU,2008,-15.5695,34992.8008,2.4,3257.272,1.6298
SU,2008,28.5412,34992.8008,2.4,56803.0664,4.184
ELD,2008,61.9962,34992.8008,2.4,2917.3196,5.4628
PRE,2008,46.0452,34992.8008,2.4,2173.9023,1.5071
CEF.A,2008,17.9647,34992.8008,2.4,1596.8523,0.9204
SJR.B,2008,-6.6069,34992.8008,2.4,9814.6426,4.5483
BCB,2009,247.5247,28923.5195,0.2,570.7702,1.4354
CAS,2009,1.8598,28923.5195,0.2,693.5919,0.5302
BLS1,2009,62.1502,28923.5195,0.2,3011.356,1.2671
