Symbol,Year,Return,TRI,TB90,MKTCAP,PB
BMO,2008,-28.3603,34992.8008,2.4,23471.498,1.5435
,2008,-8.9221,34992.8008,2.4,7960.5332,1.6992
EMA,2008,18.8698,34992.8008,2.4,2636.1284,1.643
RUS,2008,3.0191,34992.8008,2.4,1942.6224,2.1252
CM,2008,-32.9467,34992.8008,2.4,24431.957,2.2595
FFH,2008,6.2084,34992.8008,2.4,4116.1782,0.8785
TRP,2008,9.4294,34992.8008,2.4,23345.4863,2.0162
CU,2008,-11.408,34992.8008,2.4,5409.2651,2.0416
WN,2008,-34.176,34992.8008,2.4,6083.3047,1.5846
PWF,2008,-15.4954,34992.8008,2.4,24417.7871,1.9316
RY,2008,-10.2871,34992.8008,2.4,65241.9805,2.4641
GWO,2008,-10.2098,34992.8008,2.4,28711.459,2.595
BNS,2008,-6.1064,34992.8008,2.4,48554.2031,2.5825
POW,2008,-18.8148,34992.8008,2.4,13399.1924,1.5274
IAG,2008,-5.8119,34992.8008,2.4,2967.3806,1.6894
IGM,2008,-14.2719,34992.8008,2.4,11695.9209,2.7244
TD,2008,-14.0069,34992.8008,2.4,50232.418,1.6906
MG,2008,-35.6887,34992.8008,2.4,6887.874,0.7429
FTS,2008,-1.7702,34992.8008,2.4,4097.9766,1.5613
SLF,2008,-19.3739,34992.8008,2.4,22916.0723,1.4433
AGF.B,2008,-30.2054,34992.8008,2.4,2187.9116,1.9548
MFC,2008,-6.8215,34992.8008,2.4,56880.3203,2.3718
TRI,2008,-20.0224,34992.8008,2.4,22972.5938,1.3364
CJR.B,2008,-20.0082,34992.8008,2.4,1522.4807,1.5576
T,2008,-23.6347,34992.8008,2.4,13638.0625,1.9501
MRU,2008,-15.5695,34992.8008,2.4,3257.272,1.6298
SAP,2008,8.6108,34992.8008,2.4,5689.4863,3.4173
MX,2008,14.0321,34992.8008,2.4,2534.636,1.8494
ACO.X,2008,-13.6242,34992.8008,2.4,2802.2329,1.6499
TIH,2008,25.5311,34992.8008,2.4,2115.9451,3.0269
TLM,2008,3.5872,34992.8008,2.4,19121.1309,2.1333
HSE,2008,21.1355,34992.8008,2.4,39861.0703,3.0938
CWB,2008,-7.8998,34992.8008,2.4,1513.8738,2.3641
ENB,2008,25.0843,34992.8008,2.4,16536.6602,2.8373
CTC.A,2008,-30.46,34992.8008,2.4,4399.5806,1.3492
CNR,2008,0.018,34992.8008,2.4,26375.9551,2.6089
L,2008,-32.9125,34992.8008,2.4,8304.7314,1.4886
ACM.A,2008,-21.8801,34992.8008,2.4,1868.0549,1.4155
X,2008,-22.1798,34992.8008,2.4,2682.2322,3.2544
SJR.B,2008,-6.6069,34992.8008,2.4,9814.6426,4.5483
