"COMPANY","TICKER","MARKET_PRICE","PBR (현재 가격 / 장부가치 )","PER (현재 가격 / 순이익 )","시가총액 (백만 USD)","영업이익률","ROE (순이익 /자본)"
"현대차","005380","174500","0.5628","7.1573","32176.598","4.1156","7.8115"
"POSCO홀딩스","005490","291500","0.4182","2.9922","18616","9.1304","14.4746"
"현대모비스","012330","220500","0.548","8.4283","15699.2","3.277","6.6876"
"KB금융","105560","49600","0.4101","4.1839","15315.1","4.8823","10.7723"
"신한지주","055550","36800","0.4299","4.7673","14253.9","6.85","9.719"
"SK","034730","219000","0.5493","3.8214","12339.8","10.7364","15.1075"
"한국전력","015760","19350","0.1913","-0.7872","9380.3","-41.9917","-25.3882"
"하나금융지주","086790","40950","0.3654","3.5423","9150.2","4.7333","10.978"
"KT","030200","36450","0.5728","5.9954","7187","7.2239","9.7848"
"우리금융지주","316140","11950","0.3458","3.0456","6569.9","6.2153","12.1719"
"기업은행","024110","10700","0.3388","3.6883","5968.4","9.4822","10.6502"
"롯데케미칼","011170","190500","0.4151","11.6421","4930.6","-0.3867","3.6103"
"SK스퀘어","402340","40050","0.3462","15.3778","4278.4","-3.8868",""
"한국조선해양","009540","77400","0.5618","-7.9831","4136.5","-6.3157","-6.9168"
"LG디스플레이","034220","14850","0.42","26.1693","4012.5","-7.8013","1.6717"
"HD현대","267250","61600","0.5982","4.9124","3674.5","9.0532","12.9206"
"미래에셋증권","006800","6810","0.4311","4.4005","3610","5.5722","10.0536"
"현대제철","004020","33700","0.2345","2.5708","3395.9","5.3282","8.9782"
"GS","078930","47350","0.4302","2.0379","3370.6","21.0512","21.113"
"한국타이어앤테크놀로지","161390","34150","0.4996","5.6116","3194.5","8.3461","8.4316"
"롯데지주","004990","33850","0.3433","7.1188","3013.5","4.6275","4.8681"
"DB손해보험","005830","56000","0.5734","3.617","2994","-2.8398","16.0914"
"삼성카드","029780","31600","0.446","5.719","2764.7","17.4869","7.7069"
"한국금융지주","071050","57100","0.4094","3.4319","2615.6","19.6674","11.7937"
"한국가스공사","036460","35250","0.3575","2.2198","2457.2","3.2208","15.8887"
"삼성증권","016360","35000","0.5133","4.4558","2360.2","3.3728","11.9312"
"NH투자증권","005940","9550","0.4221","4.86","2276.6","1.8393","9.502"
"메리츠증권","008560","4625","0.5902","3.2034","2234.2","1.4091","17.743"
"CJ","001040","79000","0.4145","7.9854","2053.8","6.6739","6.337"
"이마트","139480","93600","0.2607","1.468","1970.3","-0.169","17.8874"
"롯데쇼핑","023530","90300","0.2562","-21.3097","1929","1.9366","-1.2152"
"현대해상","001450","28300","0.567","4.3899","1910.5","0.1289","13.0366"
"한화","000880","28300","0.421","1.9402","1864.9","5.4709","41.0359"
"KCC","002380","255000","0.372","-7.7572","1711.2","9.3447","-4.8323"
"BNK금융지주","138930","6820","0.2554","2.7244","1678.6","17.6525","9.3973"
"LS","006260","68000","0.5402","5.9683","1653.4","3.5932","9.0817"
"신세계","004170","218000","0.574","5.3134","1620.7","7.2523","10.9169"
"CJ대한통운","000120","91700","0.5724","9.4011","1579.7","3.4578","6.0626"
"GS건설","006360","24400","0.4451","4.3423","1576.9","5.633","10.4409"
"대우건설","047040","4865","0.6153","4.7058","1526.9","3.5371","12.9804"
"한화생명","088350","2300","0.1836","1.7275","1508.5","2.845","11.2793"
"CJ ENM","035760","84500","0.4346","23.1619","1399.3","4.5567","1.9835"
"두산","000150","92700","0.5856","27.4448","1376.3","8.4465","-4.152"
"현대위아","011210","63200","0.5133","7.3758","1297.9","2.6901","6.6546"
"DL이앤씨","375500","39450","0.3998","3.0522","1239.1","6.4907","12.7533"
"효성","004800","74000","0.5506","4.8286","1177.4","1.4257","11.9819"
"영풍","000670","808000","0.3693","7.1345","1123.9","7.3967","5.0691"
"JB금융지주","175330","7500","0.3452","2.6352","1115.6","27.7398","14.2453"
"DL","000210","66500","0.3442","17.7875","1098.8","4.0108","4.209"
"코오롱인더","120110","47650","0.5815","7.4328","1043.5","6.3775","7.8026"
"현대백화점","069960","58400","0.2902","6.0039","1032","6.2315","4.8422"
"동국제강","001230","13300","0.4457","1.4791","958.5","12.715","30.0125"
"한국앤컴퍼니","000240","12900","0.324","5.359","924.8","33.4028","6.053"
"대신증권","003540","14500","0.2166","3.2645","918.9","27.6918","12.1308"
"DGB금융지주","139130","7050","0.2324","2.3602","900.5","7.5021","10.2275"
"SK가스","018670","120000","0.472","4.5519","836.4","2.9877","10.9896"
"대한유화","006650","168000","0.4261","-153.0516","824.6","-6.2171","-0.2833"
"SK네트웍스","001740","4205","0.4184","18.6473","792.6","1.7566","2.2496"
