"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2012- 07- 09","529.32","531.37","532.28","528.74","","-1.60%"
"2012- 07- 10","527.50","531.95","532.41","525.55","","-0.34%"
"2012- 07- 11","525.96","526.19","526.43","522.38","","-0.29%"
"2012- 07- 12","513.63","526.31","527.68","513.63","","-2.34%"
"2012- 07- 13","523.34","515.57","525.91","511.55","","1.89%"
"2012- 07- 16","525.09","525.57","526.07","521.79","","0.33%"
"2012- 07- 17","526.93","521.89","531.09","520.06","","0.35%"
"2012- 07- 18","518.60","527.25","528.94","516.64","","-1.58%"
"2012- 07- 19","527.95","526.49","530.15","525.65","","1.80%"
"2012- 07- 20","527.84","528.38","530.32","526.88","","-0.02%"
"2012- 07- 23","517.64","520.27","520.27","514.56","","-1.93%"
"2012- 07- 24","519.67","516.80","520.47","515.84","","0.39%"
"2012- 07- 25","512.19","509.53","517.13","509.53","","-1.44%"
"2012- 07- 26","516.35","514.93","517.68","511.26","","0.81%"
"2012- 07- 27","532.10","525.80","532.10","524.26","","3.05%"
"2012- 07- 30","538.54","538.14","539.71","537.17","","1.21%"
"2012- 07- 31","551.31","538.76","556.39","538.20","","2.37%"
"2012- 08- 01","549.82","547.23","552.46","546.42","","-0.27%"
"2012- 08- 02","545.18","551.00","551.48","543.71","","-0.84%"
"2012- 08- 03","537.75","537.43","543.07","536.57","","-1.36%"
"2012- 08- 06","550.61","549.55","553.67","548.97","","2.39%"
"2012- 08- 07","550.62","550.02","552.30","549.26","","0.00%"
"2012- 08- 08","556.06","553.96","561.10","553.96","","0.99%"
"2012- 08- 09","567.05","557.12","569.04","557.12","","1.98%"
"2012- 08- 10","569.05","565.96","569.37","565.46","","0.35%"
"2012- 08- 13","563.28","568.80","568.80","563.28","","-1.01%"
"2012- 08- 14","571.08","566.57","571.08","565.35","","1.38%"
"2012- 08- 16","570.40","571.24","572.18","567.65","","-0.12%"
"2012- 08- 17","564.80","572.09","572.09","563.66","","-0.98%"
"2012- 08- 20","563.97","564.77","565.15","561.24","","-0.15%"
"2012- 08- 21","563.35","566.18","568.53","563.35","","-0.11%"
"2012- 08- 22","560.48","561.77","564.19","555.11","","-0.51%"
"2012- 08- 23","563.04","560.42","563.04","556.75","","0.46%"
"2012- 08- 24","555.15","556.78","557.88","553.54","","-1.40%"
"2012- 08- 27","550.94","546.98","553.56","546.98","","-0.76%"
"2012- 08- 28","550.69","551.83","553.90","549.32","","-0.05%"
"2012- 08- 29","555.49","552.12","556.30","550.57","","0.87%"
"2012- 08- 30","548.43","553.65","553.65","546.07","","-1.27%"
"2012- 08- 31","548.40","545.43","550.48","545.43","","-0.01%"
"2012- 09- 03","549.93","548.05","552.85","541.83","","0.28%"
"2012- 09- 04","548.51","549.45","550.73","547.78","","-0.26%"
"2012- 09- 05","537.91","545.86","545.86","537.91","","-1.93%"
"2012- 09- 06","539.72","540.02","541.70","537.98","","0.34%"
"2012- 09- 07","556.23","552.02","556.23","551.24","","3.06%"
"2012- 09- 10","555.12","558.18","558.95","555.12","","-0.20%"
"2012- 09- 11","553.70","553.23","554.85","551.08","","-0.26%"
"2012- 09- 12","562.96","556.40","563.57","555.80","","1.67%"
"2012- 09- 13","562.65","562.15","563.81","558.72","","-0.06%"
"2012- 09- 14","580.93","575.35","580.93","575.35","","3.25%"
"2012- 09- 17","578.72","581.15","582.07","577.60","","-0.38%"
"2012- 09- 18","578.83","578.05","580.02","576.91","","0.02%"
"2012- 09- 19","578.57","577.75","580.66","574.92","","-0.04%"
"2012- 09- 20","572.42","575.36","576.98","571.88","","-1.06%"
"2012- 09- 21","575.53","575.12","577.04","573.16","","0.54%"
"2012- 09- 24","576.27","573.54","576.40","568.16","","0.13%"
"2012- 09- 25","572.97","572.59","576.52","572.12","","-0.57%"
"2012- 09- 26","569.72","567.63","571.05","566.12","","-0.57%"
"2012- 09- 27","572.19","566.42","573.02","566.42","","0.43%"
