rdate,cli
1998-01-31,100.88
1998-02-28,100.82
1998-03-31,100.71
1998-04-30,100.57
1998-05-31,100.4
1998-06-30,100.19
1998-07-31,100
1998-08-31,99.84
1998-09-30,99.74
1998-10-31,99.74
1998-11-30,99.84
1998-12-31,100.01
1999-01-31,100.22
1999-02-28,100.44
1999-03-31,100.63
1999-04-30,100.8
1999-05-31,100.94
1999-06-30,101.05
1999-07-31,101.13
1999-08-31,101.19
1999-09-30,101.24
1999-10-31,101.29
1999-11-30,101.34
1999-12-31,101.38
2000-01-31,101.38
2000-02-29,101.31
2000-03-31,101.22
2000-04-30,101.1
2000-05-31,100.95
2000-06-30,100.78
2000-07-31,100.59
2000-08-31,100.37
2000-09-30,100.12
2000-10-31,99.81
2000-11-30,99.46
2000-12-31,99.08
2001-01-31,98.74
2001-02-28,98.48
2001-03-31,98.31
2001-04-30,98.22
2001-05-31,98.2
2001-06-30,98.17
2001-07-31,98.13
2001-08-31,98.07
2001-09-30,98.03
2001-10-31,98.08
2001-11-30,98.26
2001-12-31,98.53
2002-01-31,98.84
2002-02-28,99.14
2002-03-31,99.36
2002-04-30,99.46
2002-05-31,99.4
2002-06-30,99.2
2002-07-31,98.91
2002-08-31,98.6
2002-09-30,98.32
2002-10-31,98.09
2002-11-30,97.94
2002-12-31,97.84
2003-01-31,97.77
2003-02-28,97.74
2003-03-31,97.77
2003-04-30,97.91
2003-05-31,98.14
2003-06-30,98.43
2003-07-31,98.77
2003-08-31,99.16
2003-09-30,99.56
2003-10-31,99.98
2003-11-30,100.36
2003-12-31,100.69
2004-01-31,100.93
2004-02-29,101.08
2004-03-31,101.14
2004-04-30,101.14
2004-05-31,101.1
2004-06-30,101.02
2004-07-31,100.92
2004-08-31,100.79
2004-09-30,100.69
2004-10-31,100.62
2004-11-30,100.59
2004-12-31,100.57
2005-01-31,100.54
2005-02-28,100.47
2005-03-31,100.39
2005-04-30,100.33
2005-05-31,100.32
2005-06-30,100.35
2005-07-31,100.39
2005-08-31,100.46
2005-09-30,100.57
2005-10-31,100.72
2005-11-30,100.91
2005-12-31,101.09
2006-01-31,101.24
2006-02-28,101.33
2006-03-31,101.36
2006-04-30,101.33
2006-05-31,101.27
2006-05-31,101.27
2006-06-30,101.21
2006-07-31,101.18
2006-08-31,101.19
2006-09-30,101.25
2006-10-31,101.35
2006-11-30,101.46
2006-12-31,101.59
2007-01-31,101.7
2007-02-28,101.82
2007-03-31,101.94
2007-04-30,102.06
2007-05-31,102.15
2007-06-30,102.19
2007-07-31,102.17
2007-08-31,102.09
2007-09-30,101.98
2007-10-31,101.85
2007-11-30,101.72
2007-12-31,101.59
2008-01-31,101.46
2008-02-29,101.31
2008-03-31,101.14
2008-04-30,100.93
2008-05-31,100.65
2008-06-30,100.26
2008-07-31,99.72
2008-08-31,99.02
2008-09-30,98.17
2008-10-31,97.24
2008-11-30,96.35
2008-12-31,95.6
2009-01-31,95.06
2009-02-28,94.77
2009-03-31,94.74
2009-04-30,94.96
2009-05-31,95.35
2009-06-30,95.85
2009-07-31,96.4
2009-08-31,96.95
2009-09-30,97.48
2009-10-31,97.96
2009-11-30,98.41
2009-12-31,98.82
2010-01-31,99.18
2010-02-28,99.44
2010-03-31,99.62
2010-04-30,99.7
2010-05-31,99.68
2010-06-30,99.6
2010-07-31,99.54
2010-08-31,99.53
2010-09-30,99.6
2010-10-31,99.73
2010-11-30,99.91
2010-12-31,100.1
2011-01-31,100.26
2011-02-28,100.35
2011-03-31,100.34
2011-04-30,100.22
2011-05-31,100.02
2011-06-30,99.74
2011-07-31,99.45
2011-08-31,99.2
2011-09-30,99.08
2011-10-31,99.1
2011-11-30,99.25
2011-12-31,99.47
2012-01-31,99.69
2012-02-29,99.85
2012-03-31,99.92
2012-04-30,99.9
2012-05-31,99.82
2012-06-30,99.7
2012-07-31,99.62
2012-08-31,99.59
2012-09-30,99.62
2012-10-31,99.69
2012-11-30,99.79
2012-12-31,99.91
2013-01-31,100.05
2013-02-28,100.2
2013-03-31,100.32
2013-04-30,100.44
2013-05-31,100.56
