rdate,kor,us,tot
1999-08,105.7,101.2,101.0
1999-09,105.7,101.2,101.1
1999-10,105.6,101.3,101.3
1999-11,105.3,101.3,101.4
1999-12,105.0,101.4,101.6
2000-01,104.5,101.4,101.7
2000-02,104.0,101.3,101.7
2000-03,103.6,101.2,101.7
2000-04,103.2,101.1,101.7
2000-05,102.8,100.9,101.6
2000-06,102.4,100.8,101.5
2000-07,101.9,100.6,101.4
2000-08,101.4,100.4,101.2
2000-09,100.7,100.1,101.0
2000-10,99.9,99.8,100.8
2000-11,99.2,99.5,100.5
2000-12,98.4,99.1,100.1
2001-01,97.8,98.7,99.8
2001-02,97.4,98.5,99.5
2001-03,97.2,98.3,99.3
2001-04,97.1,98.2,99.1
2001-05,97.1,98.2,98.9
2001-06,97.3,98.2,98.8
2001-07,97.5,98.1,98.7
2001-08,97.8,98.1,98.6
2001-09,98.2,98.0,98.5
2001-10,98.8,98.1,98.5
2001-11,99.5,98.3,98.6
2001-12,100.2,98.5,98.8
2002-01,100.9,98.8,99.0
2002-02,101.6,99.1,99.2
2002-03,102.1,99.4,99.4
2002-04,102.3,99.5,99.5
2002-05,102.4,99.4,99.5
2002-06,102.2,99.2,99.4
2002-07,102.0,98.9,99.3
2002-08,101.7,98.6,99.1
2002-09,101.4,98.3,98.9
2002-10,101.0,98.1,98.8
2002-11,100.6,97.9,98.6
2002-12,100.0,97.8,98.5
2003-01,99.5,97.8,98.4
2003-02,99.0,97.7,98.3
2003-03,98.5,97.8,98.3
2003-04,98.3,97.9,98.3
2003-05,98.2,98.1,98.5
2003-06,98.4,98.4,98.7
2003-07,98.6,98.8,98.9
2003-08,99.0,99.2,99.2
2003-09,99.3,99.6,99.5
2003-10,99.6,100.0,99.7
2003-11,99.9,100.4,100.0
2003-12,100.1,100.7,100.2
2004-01,100.3,100.9,100.4
2004-02,100.3,101.1,100.5
2004-03,100.4,101.1,100.5
2004-04,100.4,101.1,100.5
2004-05,100.3,101.1,100.5
2004-06,100.3,101.0,100.5
2004-07,100.2,100.9,100.5
2004-08,100.1,100.8,100.4
2004-09,100.1,100.7,100.4
2004-10,100.0,100.6,100.3
2004-11,99.9,100.6,100.3
2004-12,99.9,100.6,100.3
2005-01,99.9,100.5,100.3
2005-02,99.9,100.5,100.2
2005-03,100.0,100.4,100.1
2005-04,100.0,100.3,100.0
2005-05,100.1,100.3,100.0
2005-06,100.2,100.3,100.1
2005-07,100.4,100.4,100.1
2005-08,100.6,100.5,100.2
2005-09,100.9,100.6,100.4
2005-10,101.1,100.7,100.6
2005-11,101.2,100.9,100.8
2005-12,101.2,101.1,101.0
2006-01,101.2,101.2,101.1
2006-02,101.0,101.3,101.2
2006-03,100.8,101.4,101.3
2006-04,100.6,101.3,101.3
2006-05,100.4,101.3,101.4
2006-06,100.2,101.2,101.4
2006-07,100.2,101.2,101.4
2006-08,100.2,101.2,101.4
2006-09,100.3,101.3,101.5
2006-10,100.4,101.4,101.6
2006-11,100.4,101.5,101.8
2006-12,100.4,101.6,101.9
2007-01,100.5,101.7,102.0
2007-02,100.5,101.8,102.1
2007-03,100.7,101.9,102.2
2007-04,100.8,102.1,102.3
2007-05,101.0,102.1,102.3
2007-06,101.2,102.2,102.3
2007-07,101.3,102.2,102.3
2007-08,101.4,102.1,102.2
2007-09,101.3,102.0,102.1
2007-10,101.0,101.9,102.0
2007-11,100.6,101.7,101.9
2007-12,100.2,101.6,101.8
2008-01,99.7,101.5,101.6
2008-02,99.1,101.3,101.4
2008-03,98.6,101.1,101.1
2008-04,98.1,100.9,100.8
2008-05,97.7,100.7,100.4
2008-06,97.3,100.3,99.9
2008-07,97.0,99.7,99.3
2008-08,96.8,99.0,98.6
2008-09,96.6,98.2,97.8
2008-10,96.6,97.2,97.0
2008-11,96.7,96.3,96.2
2008-12,97.1,95.6,95.6
2009-01,97.7,95.1,95.2
2009-02,98.5,94.8,95.1
2009-03,99.4,94.7,95.2
2009-04,100.2,95.0,95.6
2009-05,100.9,95.4,96.1
2009-06,101.5,95.9,96.7
2009-07,102.0,96.4,97.3
2009-08,102.4,97.0,98.0
2009-09,102.7,97.5,98.5
2009-10,102.8,98.0,99.0
2009-11,102.8,98.4,99.4
2009-12,102.8,98.8,99.7
2010-01,102.6,99.2,100.0
2010-02,102.5,99.4,100.2
2010-03,102.3,99.6,100.3
2010-04,102.1,99.7,100.4
2010-05,101.9,99.7,100.4
2010-06,101.7,99.6,100.4
2010-07,101.5,99.5,100.5
2010-08,101.3,99.5,100.5
2010-09,101.1,99.6,100.6
2010-10,100.9,99.7,100.7
2010-11,100.8,99.9,100.8
2010-12,100.8,100.1,100.9
2011-01,100.8,100.3,101.0
2011-02,100.8,100.4,101.0
2011-03,100.7,100.3,101.0
2011-04,100.5,100.2,100.8
2011-05,100.2,100.0,100.6
2011-06,99.9,99.7,100.4
2011-07,99.6,99.4,100.1
2011-08,99.3,99.2,99.9
2011-09,99.0,99.1,99.7
2011-10,98.7,99.1,99.6
2011-11,98.5,99.2,99.6
2011-12,98.4,99.5,99.6
2012-01,98.4,99.7,99.6
2012-02,98.5,99.9,99.7
2012-03,98.6,99.9,99.6
2012-04,98.7,99.9,99.6
2012-05,98.8,99.8,99.5
2012-06,98.9,99.7,99.4
2012-07,98.9,99.6,99.3
2012-08,98.9,99.6,99.2
2012-09,98.9,99.6,99.2
2012-10,99.0,99.7,99.2
2012-11,99.0,99.8,99.2
