"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1999-08",101.68,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1999-09",101.5137,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1999-10",101.2825,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1999-11",101.0579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1999-12",100.8753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-01",100.736,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-02",100.6359,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-03",100.5712,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-04",100.5113,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-05",100.4605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-06",100.4112,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-07",100.3726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-08",100.3589,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-09",100.3782,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-10",100.439,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-11",100.5146,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2000-12",100.5682,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-01",100.5774,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-02",100.5518,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-03",100.5025,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-04",100.4443,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-05",100.3831,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-06",100.3031,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-07",100.1971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-08",100.0896,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-09",99.99574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-10",99.93005,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-11",99.91602,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2001-12",99.94769,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-01",100.0235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-02",100.1282,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-03",100.2454,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-04",100.3366,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-05",100.3522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-06",100.3004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-07",100.2179,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-08",100.1139,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-09",99.98048,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-10",99.80101,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-11",99.57067,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2002-12",99.30386,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2003-01",99.0485,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2003-02",98.87666,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2003-03",98.81945,
