rdate	exp
1996.01	23.42
1996.02	22.67
1996.03	25.8
1996.04	24.61
1996.05	24.56
1996.06	24.21
1996.07	22.88
1996.08	22.17
1996.09	23.09
1996.10	25.84
1996.11	25.94
1996.12	27.43
1997.01	21.49
1997.02	21.59
1997.03	25.87
1997.04	26.32
1997.05	27.49
1997.06	28.23
1997.07	26.86
1997.08	25.35
1997.09	25.86
1997.10	28.18
1997.11	26.82
1997.12	27.25
1998.01	21.64
1998.02	26.11
1998.03	27.64
1998.04	26.81
1998.05	26.59
1998.06	24.9
1998.07	23.88
1998.08	22.18
1998.09	24.99
1998.10	25
1998.11	25.75
1998.12	27.04
1999.01	22.42
1999.02	22.22
1999.03	27.19
1999.04	26.55
1999.05	26.86
1999.06	29.02
1999.07	28.28
1999.08	26.64
1999.09	28.41
1999.10	32.11
1999.11	32.49
1999.12	33.17
2000.01	29.3
2000.02	29.26
2000.03	33.59
2000.04	31.54
2000.05	34.37
2000.06	35.63
2000.07	34.54
2000.08	35.12
2000.09	36.19
2000.10	36.35
2000.11	34.97
2000.12	34.08
2001.01	28.48
2001.02	30.24
2001.03	32.6
2001.04	28.45
2001.05	30.14
2001.06	29.4
2001.07	26.65
2001.08	27.42
2001.09	29.35
2001.10	27.88
2001.11	29.21
2001.12	27.06
2002.01	26.77
2002.02	25.15
2002.03	30.73
2002.04	30.99
2002.05	32.05
2002.06	29.65
2002.07	31.8
2002.08	32.29
2002.09	31.89
2002.1	35.88
2002.11	34.74
2002.12	33.45
2003.01	32.58
2003.02	31.65
2003.03	35.73
2003.04	35.73
2003.05	34.16
2003.06	35.3
2003.07	36.13
2003.08	35.58
2003.09	39.65
2003.10	45.71
2003.11	43.2
2003.12	46.26
2004.01	40.73
2004.02	45.13
2004.03	50.57
2004.04	49.87
2004.05	49.99
2004.06	48.83
2004.07	49.53
2004.08	46.7
2004.09	49.49
2004.10	53.67
2004.11	54.22
2004.12	53.53
2005.01	50.94
2005.02	46.07
2005.03	57.22
2005.04	53.15
2005.05	53.67
2005.06	55.59
2005.07	55
2005.08	54.31
2005.09	57.35
2005.10	58.9
2005.11	61.36
2005.12	59.42
2006.01	54.7
2006.02	54.37
2006.03	62.56
2006.04	58.6
2006.05	63.03
2006.06	63.7
2006.07	59.88
2006.08	63.92
2006.09	71.05
2006.10	64.36
2006.11	70.54
2006.12	66.31
2007.01	64.14
2007.02	60.93
2007.03	70.07
2007.04	68.79
2007.05	69.52
2007.06	70.52
