,전국,서울특별시,인천광역시,경기도
2012.07,56799,5877,3182,11260
2012.08,47866,4905,2880,9492
2012.09,39806,4178,2358,8246
2012.10,66411,7623,3626,14602
2012.11,72050,8972,3836,15244
2012.12,108482,12358,5047,21470
2013.01,27070,2451,1376,4630
2013.02,47288,5021,2534,9721
2013.03,66618,8674,3886,14206
2013.04,79503,10438,4825,18020
2013.05,90136,12184,5708,20921
2013.06,129907,17074,7652,28064
2013.07,39608,4490,2313,8640
2013.08,46586,5808,3068,10869
2013.09,56733,8110,3715,14941
2013.10,90281,13131,6090,24838
2013.11,84932,12044,5539,22474
2013.12,93188,12464,4918,22256
2014.01,59170,8321,3048,14518
2014.02,79209,11771,4403,19795
2014.03,89926,14615,5861,23813
2014.04,93208,13839,6288,23208
2014.05,78210,10994,5162,19031
2014.06,73535,10042,4640,16300
2014.07,77286,10621,4906,17538
2014.08,76385,10954,5327,18535
2014.09,86689,14107,6151,22755
2014.10,109375,17126,7969,29138
2014.11,91050,13972,6651,23038
2014.12,91130,11904,5005,20765
2015.01,79320,11005,4289,19007
2015.02,78864,12990,4784,19728
2015.03,111869,21138,7694,29410
2015.04,120488,23252,8308,32152
2015.05,109872,21706,7885,29372
2015.06,110383,20691,7596,28940
2015.07,110675,21382,7295,28428
2015.08,94110,18733,6466,24693
2015.09,86152,16743,6348,22841
2015.10,106274,20344,7983,27872
2015.11,97813,18040,7044,24308
2015.12,87871,15659,6081,21575
2016.01,62365,10340,4388,14977
2016.02,59265,9910,3958,14216
2016.03,77853,13751,5446,19114
2016.04,86298,16123,6354,20975
2016.05,89267,19217,6914,23346
2016.06,92611,20833,7117,24914
2016.07,95578,22852,7527,26250
2016.08,98130,21649,7758,27385
2016.09,91612,19191,7224,25453
2016.10,108601,22433,8342,29953
2016.11,102888,19962,7642,27372
2016.12,88601,16717,5517,23142
2017.01,58539,9219,3609,13214
2017.02,63484,9756,4122,14581
2017.03,77310,13289,5272,19275
2017.04,75381,14844,5536,19087
2017.05,85046,18665,6406,22022
2017.06,97998,23879,6978,26394
2017.07,98414,23972,6836,27439
2017.08,96578,24259,6577,26258
2017.09,84350,15572,6497,23950
2017.10,63210,8561,5381,17545
2017.11,75148,12041,5788,19721
2017.12,71646,13740,5129,18572
2018.01,70354,15107,4593,17628
2018.02,69679,17685,4094,18759
2018.03,92795,24122,5328,24694
2018.04,71751,12347,5393,19305
2018.05,67789,11719,5102,18233
2018.06,65027,10401,4681,16439
2018.07,63687,11753,4576,17180
2018.08,65945,13577,4273,20754
2018.09,76141,19228,4798,25193
2018.10,92566,18787,6619,29417
2018.11,64804,9324,5249,18348
2018.12,55681,7000,4427,14559
2019.01,50286,6040,4242,12201
2019.02,43444,4552,3703,10135
2019.03,51357,5633,4404,12338
2019.04,57025,6924,4737,13705
2019.05,57103,8077,4807,13942
2019.06,54893,8990,4428,13526
2019.07,67349,12256,5177,17038
2019.08,66506,13514,5207,16569
2019.09,64088,11779,4900,16656
2019.10,82393,14145,6135,22185
2019.11,92413,17313,6272,24962
2019.12,118415,22156,7660,32558
2020.01,101334,16834,7580,30968
2020.02,115264,16661,10110,39685
2020.03,108677,16315,12293,36443
2020.04,73531,9452,7557,19843
2020.05,83494,10255,7491,22482
2020.06,138578,19463,12115,43956
2020.07,141419,26662,8018,41045
2020.08,85272,14459,4941,23707
2020.09,81928,10755,4498,22836
2020.10,92769,10629,5598,25657
2020.11,116758,10082,5098,25937
2020.12,140281,16190,8459,38554
2021.01,90679,12275,7344,27513
2021.02,87021,12707,8135,26591
2021.03,102109,11122,10266,27970
2021.04,93068,11873,9080,24059
2021.05,97524,13145,9092,25152
2021.06,88922,11721,7704,22591
2021.07,88937,11014,7101,23959
2021.08,89057,11051,7066,23551
2021.09,81631,9584,6890,20751
2021.10,75290,8147,6678,17157
2021.11,67159,7801,4689,13875
2021.12,53774,6394,4014,11165
2022.01,41709,4831,2878,8500
2022.02,43179,4615,2726,8808
2022.03,53461,5098,3546,11465
2022.04,58407,6120,3965,13261
2022.05,63200,7664,4760,13890
2022.06,50304,6617,3761,11326
2022.07,39600,4858,2818,9058
2022.08,35531,4015,2445,7423
2022.09,32403,3388,2292,6929
2022.10,32173,3405,2086,6611
2022.11,30220,2552,2038,6838
2022.12,28603,2844,2031,6252
2023.01,25761,2641,1794,5864
