,전국,수도권,서울특별시,인천광역시,경기도,비수도권,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2012.07,91.8,85.4,86.1,82.8,85.6,98.9,96.2,115.7,107.2,81.3,94.5,,99.1,100.3,101.8,94.2,96.6,103.3,93.3,
2012.08,96.6,90.9,92.1,86.5,91.1,103.0,98.6,120.8,112.8,92.5,97.2,,105.6,103.8,108.1,97.4,98.7,108.7,94.1,
2012.09,103.1,97.8,100.5,91.3,97.6,109.0,108.3,127.5,114.3,96.0,102.6,,112.6,107.9,115.1,100.3,102.2,113.6,101.0,
2012.10,108.2,104.2,103.7,98.8,105.6,112.9,109.3,128.5,120.1,101.8,115.4,,115.1,111.5,120.1,100.9,106.2,122.1,104.8,
2012.11,102.2,97.5,98.1,89.3,98.9,107.5,104.4,122.6,117.4,98.7,107.8,,109.5,106.8,115.6,95.6,97.4,115.4,98.3,
2012.12,97.2,92.4,93.7,88.7,92.5,102.6,97.2,121.9,114.5,93.5,101.0,,99.4,104.4,110.7,89.3,92.6,109.4,96.1,
2013.01,104.5,101.0,100.6,96.8,102.2,108.2,101.7,130.4,117.5,99.5,103.5,,112.9,110.7,121.1,93.3,97.6,112.6,101.4,
2013.02,109.1,107.0,110.6,103.1,105.9,111.3,108.5,131.7,122.4,101.3,105.5,,115.5,109.4,121.6,99.0,98.8,110.7,106.4,
2013.03,107.9,105.3,108.3,100.7,104.6,110.9,111.1,127.8,119.9,101.1,107.8,,116.2,107.0,112.4,97.1,96.7,116.0,107.1,
2013.04,105.8,104.0,105.4,99.9,104.2,107.8,105.9,124.0,112.7,97.5,106.0,,108.5,107.3,113.4,93.6,95.1,113.2,108.2,
2013.05,110.6,109.5,109.4,103.8,110.8,111.9,109.8,127.3,118.1,105.9,115.2,,108.6,110.3,117.9,98.6,101.5,118.3,105.6,
2013.06,110.4,109.0,105.9,107.2,111.2,111.9,113.2,126.5,120.2,106.7,113.1,,105.5,107.6,112.5,99.6,101.7,121.1,101.7,
2013.07,110.0,110.5,107.4,105.6,113.3,109.5,111.8,121.6,116.8,104.9,107.3,,111.0,108.3,109.9,92.5,100.0,114.1,101.6,
