,공시일,신규취급액기준 COFIX,잔액기준 COFIX,신 잔액기준 COFIX
2012.07,2012/08/16,3.4,3.85,-
2012.08,2012/09/17,3.18,3.78,-
2012.09,2012/10/15,3.18,3.72,-
2012.10,2012/11/15,3.08,3.64,-
2012.11,2012/12/17,3.01,3.57,-
2012.12,2013/01/15,3.09,3.52,-
2013.01,2013/02/15,2.99,3.45,-
2013.02,2013/03/15,2.93,3.38,-
2013.03,2013/04/15,2.85,3.32,-
2013.04,2013/05/15,2.74,3.24,-
2013.05,2013/06/17,2.66,3.17,-
2013.06,2013/07/15,2.65,3.11,-
2013.07,2013/08/16,2.63,3.06,-
2013.08,2013/09/16,2.62,3.02,-
2013.09,2013/10/15,2.63,2.99,-
2013.10,2013/11/15,2.62,2.94,-
2013.11,2013/12/16,2.6,2.91,-
2013.12,2014/01/15,2.66,2.88,-
2014.01,2014/02/17,2.64,2.86,-
2014.02,2014/03/17,2.62,2.82,-
2014.03,2014/04/15,2.59,2.8,-
2014.04,2014/05/15,2.59,2.79,-
2014.05,2014/06/16,2.58,2.78,-
2014.06,2014/07/15,2.57,2.77,-
2014.07,2014/08/18,2.48,2.75,-
2014.08,2014/09/15,2.34,2.72,-
2014.09,2014/10/15,2.27,2.68,-
2014.10,2014/11/17,2.17,2.62,-
2014.11,2014/12/15,2.1,2.58,-
2014.12,2015/01/15,2.16,2.52,-
2015.01,2015/02/16,2.08,2.48,-
2015.02,2015/03/16,2.03,2.42,-
2015.03,2015/04/15,1.91,2.36,-
2015.04,2015/05/15,1.77,2.29,-
2015.05,2015/06/15,1.75,2.22,-
2015.06,2015/07/15,1.66,2.15,-
2015.07,2015/08/17,1.56,2.08,-
2015.08,2015/09/15,1.55,2.03,-
2015.09,2015/10/15,1.54,1.98,-
2015.10,2015/11/16,1.57,1.93,-
2015.11,2015/12/15,1.66,1.9,-
2015.12,2016/01/15,1.72,1.88,-
2016.01,2016/02/15,1.65,1.85,-
2016.02,2016/03/15,1.57,1.82,-
2016.03,2016/04/15,1.55,1.79,-
2016.04,2016/05/16,1.55,1.77,-
2016.05,2016/06/15,1.54,1.75,-
2016.06,2016/07/15,1.44,1.73,-
2016.07,2016/08/16,1.32,1.69,-
2016.08,2016/09/19,1.31,1.66,-
2016.09,2016/10/17,1.35,1.64,-
2016.10,2016/11/15,1.41,1.63,-
2016.11,2016/12/15,1.51,1.62,-
2016.12,2017/01/16,1.56,1.62,-
2017.01,2017/02/15,1.5,1.61,-
2017.02,2017/03/15,1.48,1.6,-
2017.03,2017/04/17,1.48,1.6,-
2017.04,2017/05/15,1.46,1.59,-
2017.05,2017/06/15,1.47,1.58,-
2017.06,2017/07/17,1.48,1.58,-
2017.07,2017/08/16,1.47,1.59,-
2017.08,2017/09/15,1.47,1.59,-
2017.09,2017/10/16,1.52,1.61,-
2017.10,2017/11/15,1.62,1.62,-
2017.11,2017/12/15,1.77,1.66,-
2017.12,2018/01/15,1.79,1.7,-
2018.01,2018/02/19,1.78,1.73,-
2018.02,2018/03/15,1.77,1.75,-
2018.03,2018/04/16,1.82,1.78,-
2018.04,2018/05/15,1.79,1.8,-
2018.05,2018/06/15,1.82,1.83,-
2018.06,2018/07/16,1.84,1.85,-
2018.07,2018/08/16,1.81,1.87,-
