시점,전국_소비심리,전국_전년동월대비증감,전국_증감률,수도권_소비심리,수도권_전년동월대비증감,수도권_증감률,서울_소비심리,서울_전년동월대비증감,서울_증감률,인천_소비심리,인천_전년동월대비증감,인천_증감률,경기_소비심리,경기_전년동월대비증감,경기_증감률
2012.07,100.9,-24.6,-19.6,96.1,-23.4,-19.6,96.5,-26.4,-21.5,91.2,-16.4,-15.2,97.0,-23.1,-19.2
2012.08,105.4,-24.5,-18.9,101.4,-23.4,-18.8,102.9,-25.4,-19.8,94.7,-19.3,-16.9,102.0,-23.2,-18.5
2012.09,109.0,-16.7,-13.3,105.9,-15.0,-12.4,106.5,-15.2,-12.5,100.9,-12.8,-11.3,106.6,-15.3,-12.6
2012.10,111.3,-5.1,-4.4,108.0,-0.9,-0.8,109.8,0.6,0.5,101.7,-5.2,-4.9,108.3,-0.9,-0.8
2012.11,106.1,-2.2,-2.0,102.0,2.0,2.0,104.2,3.8,3.8,97.2,0.4,0.4,101.8,1.3,1.3
2012.12,103.2,-1.5,-1.4,99.5,1.7,1.7,102.3,3.3,3.3,95.9,1.4,1.5,98.6,0.8,0.8
2013.01,109.9,0.8,0.7,107.2,2.8,2.7,111.2,4.9,4.6,102.4,2.8,2.8,105.9,1.6,1.5
2013.02,116.6,2.0,1.7,114.8,5.7,5.2,118.8,8.9,8.1,111.4,4.8,4.5,113.3,4.1,3.8
2013.03,114.3,2.9,2.6,111.9,6.8,6.5,112.8,8.3,7.9,109.8,4.4,4.2,111.9,6.6,6.3
2013.04,115.6,5.1,4.6,114.2,9.7,9.3,115.8,11.8,11.3,108.6,4.9,4.7,114.5,9.5,9.0
2013.05,114.8,5.3,4.8,113.3,8.9,8.5,115.6,10.6,10.1,109.5,9.1,9.1,112.7,7.7,7.3
2013.06,109.5,10.5,10.6,107.0,13.9,14.9,106.2,13.2,14.2,107.2,16.8,18.6,107.4,13.8,14.7
2013.07,110.8,9.9,9.8,110.5,14.4,15.0,111.6,15.1,15.6,106.1,14.9,16.3,110.9,13.9,14.3
2013.08,118.8,13.4,12.7,120.5,19.1,18.8,121.7,18.8,18.3,117.6,22.9,24.2,120.4,18.4,18.0
2013.09,124.3,15.3,14.0,126.3,20.4,19.3,126.5,20.0,18.8,124.6,23.7,23.5,126.5,19.9,18.7
2013.10,126.0,14.7,13.2,126.3,18.3,16.9,127.4,17.6,16.0,123.7,22.0,21.6,126.2,17.9,16.5
2013.11,119.7,13.6,12.8,118.4,16.4,16.1,121.3,17.1,16.4,116.8,19.6,20.2,117.0,15.2,14.9
2013.12,113.0,9.8,9.5,111.3,11.8,11.9,112.6,10.3,10.1,109.4,13.5,14.1,111.0,12.4,12.6
2014.01,124.7,14.8,13.5,125.5,18.3,17.1,128.8,17.6,15.8,122.1,19.7,19.2,124.3,18.4,17.4
2014.02,129.7,13.1,11.2,131.1,16.3,14.2,132.6,13.8,11.6,128.6,17.2,15.4,130.7,17.4,15.4
2014.03,118.8,4.5,3.9,118.0,6.1,5.5,117.1,4.3,3.8,123.0,13.2,12.0,117.4,5.5,4.9
2014.04,117.8,2.2,1.9,115.9,1.7,1.5,116.2,0.4,0.3,119.0,10.4,9.6,115.1,0.6,0.5
2014.05,115.3,0.5,0.4,113.9,0.6,0.5,113.6,-2.0,-1.7,116.5,7.0,6.4,113.5,0.8,0.7
2014.06,109.2,-0.3,-0.3,108.3,1.3,1.2,107.0,0.8,0.8,110.1,2.9,2.7,108.7,1.3,1.2
2014.07,115.8,5.0,4.5,116.1,5.6,5.1,115.0,3.4,3.0,114.9,8.8,8.3,117.0,6.1,5.5
2014.08,123.4,4.6,3.9,125.6,5.1,4.2,125.5,3.8,3.1,124.1,6.5,5.5,126.0,5.6,4.7
2014.09,126.2,1.9,1.5,127.8,1.5,1.2,127.9,1.4,1.1,126.2,1.6,1.3,128.0,1.5,1.2
2014.10,127.7,1.7,1.3,128.9,2.6,2.1,129.5,2.1,1.6,123.9,0.2,0.2,129.5,3.3,2.6
2014.11,121.7,2.0,1.7,122.3,3.9,3.3,122.5,1.2,1.0,120.6,3.8,3.3,122.5,5.5,4.7
2014.12,112.4,-0.6,-0.5,112.8,1.5,1.3,114.0,1.4,1.2,112.9,3.5,3.2,112.1,1.1,1.0
2015.01,126.8,2.1,1.7,130.5,5.0,4.0,133.9,5.1,4.0,129.1,7.0,5.7,128.9,4.6,3.7
2015.02,128.9,-0.8,-0.6,132.6,1.5,1.1,136.6,4.0,3.0,130.5,1.9,1.5,130.7,0.0,0.0
2015.03,131.5,12.7,10.7,135.2,17.2,14.6,138.7,21.6,18.4,135.4,12.4,10.1,133.1,15.7,13.4
2015.04,133.1,15.3,13.0,137.2,21.3,18.4,139.7,23.5,20.2,135.9,16.9,14.2,136.1,21.0,18.2
2015.05,129.7,14.4,12.5,134.1,20.2,17.7,137.8,24.2,21.3,132.7,16.2,13.9,132.3,18.8,16.6
2015.06,123.5,14.3,13.1,125.6,17.3,16.0,129.7,22.7,21.2,123.4,13.3,12.1,123.8,15.1,13.9
2015.07,129.4,13.6,11.7,133.0,16.9,14.6,138.9,23.9,20.8,130.0,15.1,13.1,130.4,13.4,11.5
2015.08,128.7,5.3,4.3,131.9,6.3,5.0,136.2,10.7,8.5,130.3,6.2,5.0,129.9,3.9,3.1
2015.09,126.4,0.2,0.2,129.9,2.1,1.6,131.5,3.6,2.8,129.0,2.8,2.2,129.1,1.1,0.9
2015.10,129.8,2.1,1.6,134.5,5.6,4.3,138.1,8.6,6.6,131.9,8.0,6.5,132.9,3.4,2.6
2015.11,121.6,-0.1,-0.1,125.1,2.8,2.3,128.5,6.0,4.9,123.1,2.5,2.1,123.5,1.0,0.8
2015.12,107.9,-4.5,-4.0,109.6,-3.2,-2.8,110.7,-3.3,-2.9,108.1,-4.8,-4.3,109.4,-2.7,-2.4
2016.01,112.3,-14.5,-11.4,115.7,-14.8,-11.3,117.6,-16.3,-12.2,114.8,-14.3,-11.1,114.8,-14.1,-10.9
2016.02,114.3,-14.6,-11.3,117.9,-14.7,-11.1,120.1,-16.5,-12.1,116.0,-14.5,-11.1,117.0,-13.7,-10.5
2016.03,114.7,-16.8,-12.8,117.8,-17.4,-12.9,119.2,-19.5,-14.1,118.5,-16.9,-12.5,116.9,-16.2,-12.2
2016.04,116.6,-16.5,-12.4,122.1,-15.1,-11.0,123.9,-15.8,-11.3,120.3,-15.6,-11.5,121.5,-14.6,-10.7
2016.05,116.6,-13.1,-10.1,123.0,-11.1,-8.3,126.4,-11.4,-8.3,120.0,-12.7,-9.6,121.6,-10.7,-8.1
2016.06,116.1,-7.4,-6.0,121.7,-3.9,-3.1,126.6,-3.1,-2.4,118.3,-5.1,-4.1,119.6,-4.2,-3.4
2016.07,119.1,-10.3,-8.0,125.6,-7.4,-5.6,128.8,-10.1,-7.3,123.7,-6.3,-4.8,124.1,-6.3,-4.8
2016.08,121.9,-6.8,-5.3,128.3,-3.6,-2.7,130.5,-5.7,-4.2,127.6,-2.7,-2.1,127.2,-2.7,-2.1
2016.09,122.1,-4.3,-3.4,125.8,-4.1,-3.2,127.4,-4.1,-3.1,126.4,-2.6,-2.0,124.9,-4.2,-3.3
2016.10,123.2,-6.6,-5.1,127.4,-7.1,-5.3,128.7,-9.4,-6.8,126.6,-5.3,-4.0,126.9,-6.0,-4.5
2016.11,113.2,-8.4,-6.9,114.8,-10.3,-8.2,113.8,-14.7,-11.4,115.1,-8.0,-6.5,115.3,-8.2,-6.6
2016.12,104.3,-3.6,-3.3,103.7,-5.9,-5.4,102.8,-7.9,-7.1,105.6,-2.5,-2.3,103.8,-5.6,-5.1
2017.01,107.4,-4.9,-4.4,108.0,-7.7,-6.7,107.8,-9.8,-8.3,110.4,-4.4,-3.8,107.6,-7.2,-6.3
2017.02,111.2,-3.1,-2.7,112.6,-5.3,-4.5,113.1,-7.0,-5.8,116.6,0.6,0.5,111.4,-5.6,-4.8
2017.03,111.5,-3.2,-2.8,114.3,-3.5,-3.0,114.8,-4.4,-3.7,115.6,-2.9,-2.4,113.7,-3.2,-2.7
2017.04,112.1,-4.5,-3.9,116.0,-6.1,-5.0,119.2,-4.7,-3.8,116.5,-3.8,-3.2,114.1,-7.4,-6.1
2017.05,115.2,-1.4,-1.2,120.9,-2.1,-1.7,126.2,-0.2,-0.2,118.0,-2.0,-1.7,118.6,-3.0,-2.5
2017.06,114.2,-1.9,-1.6,119.8,-1.9,-1.6,125.4,-1.2,-0.9,116.7,-1.6,-1.4,117.3,-2.3,-1.9
2017.07,118.1,-1.0,-0.8,125.2,-0.4,-0.3,134.1,5.3,4.1,118.2,-5.5,-4.4,121.7,-2.4,-1.9
2017.08,112.1,-9.8,-8.0,115.8,-12.5,-9.7,116.4,-14.1,-10.8,115.4,-12.2,-9.6,115.6,-11.6,-9.1
2017.09,110.5,-11.6,-9.5,113.6,-12.2,-9.7,117.3,-10.1,-7.9,113.0,-13.4,-10.6,111.6,-13.3,-10.6
2017.10,109.9,-13.3,-10.8,112.6,-14.8,-11.6,119.7,-9.0,-7.0,109.1,-17.5,-13.8,109.2,-17.7,-13.9
2017.11,106.4,-6.8,-6.0,109.6,-5.2,-4.5,120.2,6.4,5.6,103.6,-11.5,-10.0,104.8,-10.5,-9.1
2017.12,102.2,-2.1,-2.0,105.3,1.6,1.5,114.8,12.0,11.7,102.4,-3.2,-3.0,100.5,-3.3,-3.2
2018.01,109.0,1.6,1.5,114.8,6.8,6.3,126.8,19.0,17.6,106.2,-4.2,-3.8,109.8,2.2,2.0
2018.02,110.0,-1.2,-1.1,115.4,2.8,2.5,126.3,13.2,11.7,109.2,-7.4,-6.3,110.4,-1.0,-0.9
2018.03,106.0,-5.5,-4.9,109.6,-4.7,-4.1,116.3,1.5,1.3,101.3,-14.3,-12.4,107.5,-6.2,-5.5
2018.04,100.2,-11.9,-10.6,103.0,-13.0,-11.2,108.3,-10.9,-9.1,97.9,-18.6,-16.0,101.1,-13.0,-11.4
2018.05,99.0,-16.2,-14.1,102.5,-18.4,-15.2,109.8,-16.4,-13.0,98.7,-19.3,-16.4,99.0,-19.6,-16.5
2018.06,96.3,-17.9,-15.7,99.1,-20.7,-17.3,106.3,-19.1,-15.2,96.6,-20.1,-17.2,95.6,-21.7,-18.5
2018.07,98.3,-19.8,-16.8,102.4,-22.8,-18.2,111.9,-22.2,-16.6,97.5,-20.7,-17.5,98.0,-23.7,-19.5
2018.08,106.7,-5.4,-4.8,114.7,-1.1,-0.9,127.5,11.1,9.5,103.8,-11.6,-10.1,109.7,-5.9,-5.1
2018.09,110.0,-0.5,-0.5,117.4,3.8,3.3,126.2,8.9,7.6,109.6,-3.4,-3.0,114.0,2.4,2.2
2018.10,103.5,-6.4,-5.8,108.8,-3.8,-3.4,115.1,-4.6,-3.8,104.8,-4.3,-3.9,106.0,-3.2,-2.9
2018.11,96.1,-10.3,-9.7,99.9,-9.7,-8.9,106.5,-13.7,-11.4,96.7,-6.9,-6.7,96.8,-8.0,-7.6
2018.12,90.7,-11.5,-11.3,91.5,-13.8,-13.1,93.9,-20.9,-18.2,90.0,-12.4,-12.1,90.4,-10.1,-10.0
2019.01,90.0,-19.0,-17.4,91.0,-23.8,-20.7,91.8,-35.0,-27.6,93.1,-13.1,-12.3,90.0,-19.8,-18.0
2019.02,92.7,-17.3,-15.7,94.4,-21.0,-18.2,94.5,-31.8,-25.2,95.7,-13.5,-12.4,94.0,-16.4,-14.9
2019.03,90.9,-15.1,-14.2,92.0,-17.6,-16.1,93.5,-22.8,-19.6,94.0,-7.3,-7.2,90.8,-16.7,-15.5
2019.04,87.7,-12.5,-12.5,90.6,-12.4,-12.0,92.1,-16.2,-15.0,92.6,-5.3,-5.4,89.3,-11.8,-11.7
2019.05,91.3,-7.7,-7.8,94.3,-8.2,-8.0,98.6,-11.2,-10.2,94.9,-3.8,-3.9,91.2,-7.8,-7.9
2019.06,97.9,1.6,1.7,102.3,3.2,3.2,111.2,4.9,4.6,99.6,3.0,3.1,97.8,2.2,2.3
2019.07,101.7,3.4,3.5,108.2,5.8,5.7,119.4,7.5,6.7,104.1,6.6,6.8,102.7,4.7,4.8
2019.08,103.5,-3.2,-3.0,109.4,-5.3,-4.6,118.2,-9.3,-7.3,103.8,0.0,0.0,105.5,-4.2,-3.8
2019.09,108.4,-1.6,-1.5,113.7,-3.7,-3.2,122.5,-3.7,-2.9,110.6,1.0,0.9,109.3,-4.7,-4.1
2019.10,112.7,9.2,8.9,119.8,11.0,10.1,130.6,15.5,13.5,115.7,10.9,10.4,114.4,8.4,7.9
2019.11,114.4,18.3,19.0,119.9,20.0,20.0,129.7,23.2,21.8,112.8,16.1,16.6,115.8,19.0,19.6
