,수도권 매매가격지수,수도권 전세가격지수
2012.07,74.063,67.298
2012.08,73.491,67.154
2012.09,72.998,67.426
2012.10,72.554,67.788
2012.11,72.176,68.052
2012.12,71.747,68.138
2013.01,71.277,68.294
2013.02,70.964,68.5
2013.03,70.779,68.871
2013.04,70.818,69.323
2013.05,70.965,69.563
2013.06,70.929,69.752
2013.07,70.7,70.091
2013.08,70.474,70.705
2013.09,70.527,71.494
2013.10,70.891,72.514
2013.11,71.049,73.247
2013.12,71.143,73.828
2014.01,71.359,74.708
2014.02,71.614,75.487
2014.03,71.952,76.285
2014.04,71.968,76.454
2014.05,71.925,76.493
2014.06,71.896,76.603
2014.07,71.896,76.86
2014.08,72.002,77.149
2014.09,72.357,77.699
2014.10,72.651,78.193
2014.11,72.824,78.626
2014.12,72.924,79.023
2015.01,73.061,79.404
2015.02,73.325,79.961
2015.03,73.707,80.688
2015.04,74.295,81.728
2015.05,74.753,82.502
2015.06,75.245,83.316
2015.07,75.61,83.9
2015.08,75.96,84.424
2015.09,76.376,85.13
2015.10,76.823,85.829
2015.11,77.212,86.524
2015.12,77.435,86.979
2016.01,77.471,87.204
2016.02,77.473,87.408
2016.03,77.469,87.589
2016.04,77.506,87.835
2016.05,77.592,88.058
2016.06,77.75,88.345
2016.07,77.901,88.575
2016.08,78.076,88.774
2016.09,78.239,88.923
2016.10,78.542,89.167
2016.11,78.811,89.432
2016.12,78.88,89.54
2017.01,78.889,89.576
2017.02,78.9,89.627
2017.03,78.966,89.729
2017.04,79.095,89.889
2017.05,79.285,90.073
2017.06,79.644,90.285
2017.07,79.906,90.437
2017.08,80.287,90.633
2017.09,80.394,90.75
2017.10,80.555,90.844
2017.11,80.759,90.966
2017.12,80.992,90.919
2018.01,81.382,90.83
2018.02,81.868,90.66
2018.03,82.169,90.436
2018.04,82.327,90.126
2018.05,82.382,89.709
2018.06,82.415,89.365
2018.07,82.457,89.106
2018.08,82.645,88.936
2018.09,83.388,88.962
2018.10,83.784,89.023
2018.11,83.918,88.934
2018.12,83.871,88.669
2019.01,83.659,88.31
2019.02,83.455,87.916
2019.03,83.203,87.494
2019.04,82.869,87.038
2019.05,82.626,86.781
2019.06,82.469,86.579
2019.07,82.411,86.43
2019.08,82.416,86.441
2019.09,82.529,86.577
2019.10,82.79,86.902
2019.11,83.159,87.278
2019.12,83.856,87.762
2020.01,84.309,88.291
2020.02,84.906,88.717
2020.03,86.071,89.089
2020.04,86.7,89.337
2020.05,86.981,89.533
2020.06,87.577,90.01
2020.07,88.596,90.575
2020.08,89.22,91.311
2020.09,89.715,92.18
2020.10,90.022,92.918
2020.11,90.619,93.927
2020.12,91.469,95.18
2021.01,92.493,96.124
2021.02,94.076,97.126
2021.03,95.392,97.834
2021.04,96.656,98.339
2021.05,97.825,98.84
2021.06,100.0,100.0
2021.07,101.643,101.137
2021.08,103.458,102.328
2021.09,105.085,103.349
2021.10,106.591,104.373
2021.11,107.535,105.039
2021.12,107.908,105.32
2022.01,107.927,105.273
2022.02,107.84,105.118
2022.03,107.709,104.933
2022.04,107.662,104.845
2022.05,107.559,104.764
2022.06,107.401,104.643
2022.07,107.103,104.4
2022.08,106.398,103.753
2022.09,105.355,102.689
2022.10,103.748,100.793
2022.11,101.161,97.557
2022.12,97.463,92.712
2023.01,94.939,88.399
2023.02,93.136,85.255
