,전국_압력지수,수도권_압력지수,서울특별시_압력지수,인천광역시_압력지수,경기도_압력지수
2012.07,82.6,74.7,75.7,74.4,74.3
2012.08,87.8,80.3,81.3,78.3,80.2
2012.09,97.1,89.7,94.6,81.7,88.6
2012.10,105.2,100.3,97.5,96.0,102.8
2012.11,98.2,92.9,91.9,81.3,96.0
2012.12,91.2,85.4,85.1,81.4,86.4
2013.01,99.1,94.9,90.0,91.2,98.5
2013.02,101.6,99.2,102.3,94.8,98.5
2013.03,101.6,98.7,103.9,91.5,97.2
2013.04,96.1,93.9,95.1,91.3,93.8
2013.05,106.4,105.7,103.1,98.1,108.9
2013.06,111.2,111.0,105.5,107.3,115.0
2013.07,109.3,110.5,103.2,105.0,115.8
2013.08,109.1,109.6,112.8,98.0,110.3
2013.09,111.2,116.8,109.0,104.4,124.0
2013.10,108.0,110.6,103.4,107.7,115.4
2013.11,104.7,110.0,105.4,109.5,112.8
2013.12,107.0,109.2,110.0,106.1,109.4
2014.01,113.2,117.8,116.1,119.3,118.4
2014.02,123.7,127.1,125.7,127.1,127.9
2014.03,122.5,126.9,115.8,127.6,133.2
2014.04,121.2,124.7,112.7,121.8,132.1
2014.05,114.3,118.4,110.3,117.0,123.3
2014.06,106.0,108.0,103.8,108.6,110.3
2014.07,104.5,104.9,104.4,103.5,105.5
2014.08,115.2,119.0,110.1,112.4,125.6
2014.09,134.8,139.0,134.9,130.2,143.2
2014.10,130.6,133.0,135.7,128.5,132.5
2014.11,116.3,119.7,122.4,114.6,119.3
2014.12,110.6,114.7,119.3,113.6,112.4
2015.01,125.6,129.7,128.4,130.0,130.4
2015.02,130.0,132.5,129.6,143.2,131.8
2015.03,135.2,137.2,139.8,150.2,133.0
2015.04,129.6,132.8,138.0,141.3,128.1
2015.05,124.2,128.7,134.9,141.1,122.5
2015.06,123.6,128.1,131.9,143.9,122.6
2015.07,125.8,132.1,138.4,144.6,125.9
2015.08,135.7,141.2,149.4,149.8,134.7
2015.09,144.2,147.8,160.7,151.0,139.8
2015.10,152.4,156.4,166.5,159.6,149.9
2015.11,148.3,153.1,159.3,151.8,149.9
2015.12,130.5,134.1,142.1,139.6,128.3
2016.01,112.0,116.5,121.5,115.0,114.1
2016.02,102.6,105.3,107.4,102.5,104.8
2016.03,101.5,104.3,104.5,108.4,103.3
2016.04,107.8,110.4,103.6,114.0,113.6
2016.05,114.2,119.0,117.4,116.6,120.5
2016.06,120.7,129.1,131.2,123.1,129.2
2016.07,128.7,137.7,138.9,131.9,138.3
2016.08,135.9,143.7,147.4,140.3,142.3
2016.09,137.0,143.7,145.6,146.0,142.1
2016.10,128.7,133.1,134.6,137.4,131.4
2016.11,109.8,114.8,119.9,117.5,111.3
2016.12,105.9,111.2,115.0,107.8,109.8
2017.01,111.3,116.5,117.8,121.7,114.7
2017.02,109.7,114.7,122.9,118.8,109.2
2017.03,106.5,111.0,122.2,112.7,104.2
2017.04,103.2,106.4,108.2,104.4,105.8
2017.05,106.0,109.8,114.7,100.7,109.0
2017.06,101.7,105.4,108.7,105.9,103.4
2017.07,96.5,99.1,103.2,103.3,95.9
2017.08,94.4,99.0,102.9,90.2,98.7
2017.09,95.1,99.5,101.0,88.0,101.1
2017.10,91.6,91.4,90.0,91.4,92.2
2017.11,86.1,92.2,99.8,97.7,86.6
2017.12,88.9,94.0,98.6,98.5,90.4
2018.01,90.6,95.2,101.8,89.3,92.7
2018.02,90.7,94.9,106.7,99.2,87.2
2018.03,103.6,107.5,119.2,112.5,99.8
2018.04,94.2,97.5,105.9,103.4,91.4
2018.05,92.3,96.5,108.2,95.7,89.9
2018.06,90.7,94.8,103.5,96.2,89.5
2018.07,84.3,86.0,98.9,91.1,77.5
2018.08,83.9,86.5,101.2,87.4,77.9
2018.09,89.7,94.5,103.3,99.5,88.3
2018.10,82.7,86.8,89.5,72.9,88.2
2018.11,87.3,94.9,102.4,97.6,90.1
2018.12,80.1,82.8,81.7,81.1,83.8
2019.01,80.8,84.5,80.3,87.1,86.4
2019.02,95.6,98.2,91.9,99.3,101.6
2019.03,86.3,90.0,85.6,89.4,92.6
2019.04,84.7,89.5,94.0,92.8,86.3
2019.05,95.5,101.5,111.3,100.9,96.1
2019.06,97.7,104.2,112.7,109.2,98.3
2019.07,95.9,100.6,111.6,103.1,93.7
2019.08,103.3,106.2,116.7,107.5,99.8
2019.09,106.8,109.4,123.7,122.4,98.4
2019.10,116.1,119.8,134.5,135.7,108.0
2019.11,111.5,116.3,122.3,123.8,111.3
2019.12,112.8,118.5,125.1,119.1,114.5
2020.01,121.0,127.0,136.9,131.3,120.4
2020.02,132.8,139.5,145.3,141.7,135.7
2020.03,118.3,126.0,130.6,122.6,124.1
2020.04,108.8,114.6,116.0,113.1,114.1
2020.05,107.3,110.7,104.4,116.2,113.1
2020.06,113.0,117.6,114.6,131.0,116.5
2020.07,119.9,121.9,120.9,130.0,120.8
2020.08,136.2,138.4,142.4,139.6,135.8
2020.09,149.6,153.1,154.8,154.9,151.7
2020.10,142.9,146.6,146.4,146.7,146.7
2020.11,137.6,142.1,145.5,136.5,141.3
2020.12,148.1,152.9,153.6,144.3,154.4
2021.01,146.0,149.4,146.0,142.1,153.0
2021.02,126.6,128.5,123.3,126.6,131.9
2021.03,135.0,136.8,129.2,130.7,142.6
2021.04,151.8,152.1,146.3,147.4,156.5
2021.05,157.6,158.1,155.2,150.2,161.5
2021.06,153.9,155.0,151.1,151.8,158.0
2021.07,143.7,144.4,142.9,136.4,147.0
2021.08,132.9,134.1,131.1,123.3,138.1
2021.09,129.9,131.4,127.3,129.8,134.1
2021.10,128.1,129.4,129.2,125.2,130.4
2021.11,114.5,114.0,113.7,119.6,113.0
2021.12,118.5,118.5,117.0,120.7,118.9
2022.01,132.5,132.1,132.0,120.7,134.6
2022.02,129.8,128.4,126.0,108.2,134.2
2022.03,125.6,124.8,131.0,109.6,124.5
2022.04,102.6,100.4,106.7,91.3,98.8
2022.05,79.7,79.1,81.1,70.4,79.8
2022.06,75.6,74.4,71.9,75.0,75.7
2022.07,76.5,74.5,74.2,73.1,75.0
2022.08,83.9,82.2,85.4,82.1,80.5
2022.09,88.0,85.4,96.3,78.6,80.6
2022.10,77.6,73.0,82.5,68.9,68.4
2022.11,63.3,56.9,58.2,66.1,54.3
2022.12,45.0,40.6,42.3,44.7,38.7
2023.01,42.0,37.6,43.4,35.1,34.9
2023.02,40.7,39.3,47.7,49.6,32.3
2023.03,50.8,52.3,63.3,55.4,45.3
