시점,전국주택매매_소비심리,전국주택매매_전년동월대비증감,전국주택매매_증감률,수도권주택매매_소비심리,수도권주택매매_전년동월대비증감,수도권주택매매_증감률,서울주택매매_소비심리,서울주택매매_전년동월대비증감,서울주택매매_증감률,인천주택매매_소비심리,인천주택매매_전년동월대비증감,인천주택매매_증감률,경기주택매매_소비심리,경기주택매매_전년동월대비증감,경기주택매매_증감률
2012.07,100.5,-26.2,-20.7,91.5,-21.5,-19.0,92.4,-23.4,-20.2,83.1,-17.9,-17.7,92.8,-21.2,-18.6
2012.08,103.4,-27.4,-21.0,95.1,-22.3,-19.0,96.2,-22.9,-19.2,86.9,-17.9,-17.1,96.1,-22.9,-19.2
2012.09,105.6,-22.6,-17.6,97.5,-18.5,-16.0,97.5,-17.3,-15.1,93.1,-15.5,-14.3,98.4,-19.9,-16.8
2012.10,107.6,-12.9,-10.7,100.6,-7.4,-6.9,101.8,-7.1,-6.5,95.0,-7.8,-7.6,101.1,-7.5,-6.9
2012.11,103.3,-9.8,-8.7,95.8,-5.6,-5.5,97.6,-4.2,-4.2,90.9,-4.5,-4.7,95.8,-6.5,-6.4
2012.12,103.4,-7.0,-6.3,96.9,-4.6,-4.6,99.2,-5.5,-5.2,93.7,-0.4,-0.4,96.2,-5.1,-5.0
2013.01,103.6,-8.2,-7.3,97.3,-6.4,-6.2,99.8,-6.7,-6.3,93.8,-2.9,-3.0,96.7,-7.0,-6.7
2013.02,112.5,-4.2,-3.6,106.8,-0.2,-0.2,109.4,1.4,1.3,104.8,3.7,3.6,105.8,-1.9,-1.8
2013.03,115.4,1.4,1.2,110.0,6.4,6.1,110.3,7.3,7.1,105.7,6.2,6.2,110.7,5.9,5.6
2013.04,118.6,5.5,4.8,114.9,11.1,10.7,117.2,12.7,12.1,106.1,7.3,7.4,115.4,11.0,10.5
2013.05,117.9,5.3,4.7,113.2,8.8,8.4,115.0,9.1,8.5,108.3,11.0,11.3,113.2,8.1,7.7
