시점,전국주택_소비심리,전국주택_전년동월대비증감,전국주택_증감률,수도권주택_소비심리,수도권주택_전년동월대비증감,수도권주택_증감률,서울주택_소비심리,서울주택_전년동월대비증감,서울주택_증감률,인천주택_소비심리,인천주택_전년동월대비증감,인천주택_증감률,경기주택_소비심리,경기주택_전년동월대비증감,경기주택_증감률
2012.07,102.5,-26.3,-20.4,97.8,-24.9,-20.3,97.9,-28.7,-22.7,92.7,-16.9,-15.4,98.7,-24.6,-20.0
2012.08,107.3,-26.4,-19.7,103.2,-25.2,-19.6,104.5,-27.5,-20.8,95.8,-20.6,-17.7,104.0,-25.0,-19.4
2012.09,111.5,-17.7,-13.7,108.3,-15.8,-12.7,108.8,-16.0,-12.8,102.9,-13.4,-11.5,109.2,-16.1,-12.8
2012.10,113.9,-5.1,-4.3,110.6,-0.5,-0.5,112.3,1.1,1.0,103.8,-4.4,-4.1,111.0,-0.7,-0.6
2012.11,108.2,-2.0,-1.8,104.1,2.6,2.6,106.3,4.6,4.5,99.1,1.1,1.1,103.8,1.7,1.7
2012.12,105.2,-1.4,-1.3,101.4,2.0,2.0,104.2,3.6,3.6,97.8,1.8,1.9,100.5,1.1,1.1
2013.01,112.3,1.1,1.0,109.8,3.8,3.6,114.2,6.4,5.9,104.8,3.3,3.3,108.4,2.5,2.4
2013.02,119.5,2.5,2.1,118.0,6.7,6.0,122.1,9.7,8.6,114.5,5.9,5.4,116.5,5.2,4.7
2013.03,116.8,3.1,2.7,114.6,7.5,7.0,114.9,8.4,7.9,112.7,5.3,4.9,114.8,7.4,6.9
2013.04,118.1,5.3,4.7,116.9,10.3,9.7,118.6,12.7,12.0,110.9,5.2,4.9,117.3,10.2,9.5
2013.05,117.3,5.6,5.0,115.8,9.4,8.8,117.7,11.0,10.3,112.3,10.0,9.8,115.5,8.4,7.8
2013.06,111.7,11.3,11.3,109.4,15.2,16.1,108.5,14.8,15.8,110.3,18.5,20.2,109.7,14.7,15.5
2013.07,113.3,10.8,10.5,113.5,15.7,16.1,114.5,16.6,17.0,109.3,16.6,17.9,113.8,15.1,15.3
2013.08,121.8,14.5,13.5,123.8,20.6,20.0,124.6,20.1,19.2,121.1,25.3,26.4,123.9,19.9,19.1
2013.09,127.7,16.2,14.5,130.0,21.7,20.0,129.9,21.1,19.4,128.5,25.6,24.9,130.4,21.2,19.4
2013.10,129.4,15.5,13.6,130.1,19.5,17.6,130.9,18.6,16.6,127.5,23.7,22.8,130.2,19.2,17.3
2013.11,122.7,14.5,13.4,121.7,17.6,16.9,124.7,18.4,17.3,120.2,21.1,21.3,120.3,16.5,15.9
2013.12,115.5,10.3,9.8,113.9,12.5,12.3,114.7,10.5,10.1,112.7,14.9,15.2,113.8,13.3,13.2
2014.01,128.0,15.7,14.0,129.1,19.3,17.6,132.3,18.1,15.8,125.4,20.6,19.7,128.2,19.8,18.3
2014.02,133.0,13.5,11.3,134.8,16.8,14.2,136.1,14.0,11.5,131.7,17.2,15.0,134.7,18.2,15.6
2014.03,121.2,4.4,3.8,120.6,6.0,5.2,119.3,4.4,3.8,126.1,13.4,11.9,120.2,5.4,4.7
2014.04,120.1,2.0,1.7,118.4,1.5,1.3,118.5,-0.1,-0.1,122.3,11.4,10.3,117.4,0.1,0.1
2014.05,117.6,0.3,0.3,116.4,0.6,0.5,115.8,-1.9,-1.6,119.4,7.1,6.3,116.1,0.6,0.5
2014.06,111.0,-0.7,-0.6,110.4,1.0,0.9,108.5,0.0,0.0,113.0,2.7,2.4,110.9,1.2,1.1
2014.07,117.9,4.6,4.1,118.5,5.0,4.4,117.0,2.5,2.2,117.7,8.4,7.7,119.5,5.7,5.0
2014.08,126.1,4.3,3.5,128.8,5.0,4.0,128.1,3.5,2.8,127.1,6.0,5.0,129.5,5.6,4.5
2014.09,129.1,1.4,1.1,131.1,1.1,0.8,130.9,1.0,0.8,129.3,0.8,0.6,131.7,1.3,1.0
2014.10,130.7,1.3,1.0,132.2,2.1,1.6,132.3,1.4,1.1,127.4,-0.1,-0.1,133.2,3.0,2.3
2014.11,124.5,1.8,1.5,125.2,3.5,2.9,125.1,0.4,0.3,123.9,3.7,3.1,125.6,5.3,4.4
2014.12,114.5,-1.0,-0.9,115.2,1.3,1.1,116.2,1.5,1.3,115.8,3.1,2.8,114.6,0.8,0.7
2015.01,129.8,1.8,1.4,134.0,4.9,3.8,137.3,5.0,3.8,133.0,7.6,6.1,132.4,4.2,3.3
2015.02,132.2,-0.8,-0.6,136.3,1.5,1.1,140.5,4.4,3.2,134.2,2.5,1.9,134.4,-0.3,-0.2
2015.03,134.6,13.4,11.1,138.9,18.3,15.2,142.6,23.3,19.5,139.3,13.2,10.5,136.8,16.6,13.8
2015.04,136.3,16.2,13.5,141.1,22.7,19.2,143.7,25.2,21.3,139.5,17.2,14.1,139.9,22.5,19.2
2015.05,132.7,15.1,12.8,137.6,21.2,18.2,141.4,25.6,22.1,135.8,16.4,13.7,135.9,19.8,17.1
2015.06,126.0,15.0,13.5,128.6,18.2,16.5,132.7,24.2,22.3,126.3,13.3,11.8,126.7,15.8,14.2
2015.07,132.3,14.4,12.2,136.4,17.9,15.1,142.5,25.5,21.8,133.1,15.4,13.1,133.7,14.2,11.9
2015.08,131.6,5.5,4.4,135.5,6.7,5.2,140.0,11.9,9.3,133.7,6.6,5.2,133.3,3.8,2.9
2015.09,129.0,-0.1,-0.1,133.1,2.0,1.5,134.8,3.9,3.0,132.5,3.2,2.5,132.3,0.6,0.5
2015.10,132.6,1.9,1.5,137.9,5.7,4.3,141.8,9.5,7.2,135.3,7.9,6.2,136.3,3.1,2.3
2015.11,124.0,-0.5,-0.4,128.1,2.9,2.3,131.9,6.8,5.4,126.3,2.4,1.9,126.4,0.8,0.6
2015.12,109.2,-5.3,-4.6,111.4,-3.8,-3.3,112.5,-3.7,-3.2,109.7,-6.1,-5.3,111.1,-3.5,-3.1
2016.01,113.8,-16.0,-12.3,117.7,-16.3,-12.2,119.8,-17.5,-12.7,116.9,-16.1,-12.1,116.6,-15.8,-11.9
2016.02,116.0,-16.2,-12.3,120.2,-16.1,-11.8,122.3,-18.2,-13.0,118.4,-15.8,-11.8,119.4,-15.0,-11.2
2016.03,116.5,-18.1,-13.4,120.1,-18.8,-13.5,121.2,-21.4,-15.0,121.1,-18.2,-13.1,119.4,-17.4,-12.7
2016.04,118.4,-17.9,-13.1,124.7,-16.4,-11.6,126.6,-17.1,-11.9,122.7,-16.8,-12.0,124.0,-15.9,-11.4
2016.05,118.3,-14.4,-10.9,125.3,-12.3,-8.9,128.8,-12.6,-8.9,122.3,-13.5,-9.9,124.0,-11.9,-8.8
2016.06,117.8,-8.2,-6.5,124.0,-4.6,-3.6,128.9,-3.8,-2.9,120.4,-5.9,-4.7,121.9,-4.8,-3.8
2016.07,121.0,-11.3,-8.5,128.3,-8.1,-5.9,131.7,-10.8,-7.6,126.1,-7.0,-5.3,126.8,-6.9,-5.2
2016.08,124.1,-7.5,-5.7,131.2,-4.3,-3.2,133.4,-6.6,-4.7,130.3,-3.4,-2.5,130.2,-3.1,-2.3
2016.09,124.2,-4.8,-3.7,128.4,-4.7,-3.5,129.7,-5.1,-3.8,129.1,-3.4,-2.6,127.5,-4.8,-3.6
2016.10,125.2,-7.4,-5.6,129.8,-8.1,-5.9,131.1,-10.7,-7.5,128.8,-6.5,-4.8,129.4,-6.9,-5.1
2016.11,114.6,-9.4,-7.6,116.5,-11.6,-9.1,115.5,-16.4,-12.4,117.0,-9.3,-7.4,117.1,-9.3,-7.4
2016.12,105.3,-3.9,-3.6,104.8,-6.6,-5.9,103.4,-9.1,-8.1,107.1,-2.6,-2.4,105.0,-6.1,-5.5
2017.01,108.3,-5.5,-4.8,109.2,-8.5,-7.2,108.8,-11.0,-9.2,112.0,-4.9,-4.2,108.8,-7.8,-6.7
2017.02,112.3,-3.7,-3.2,114.0,-6.2,-5.2,114.4,-7.9,-6.5,118.8,0.4,0.3,112.8,-6.6,-5.5
2017.03,112.7,-3.8,-3.3,115.7,-4.4,-3.7,116.0,-5.2,-4.3,117.5,-3.6,-3.0,115.2,-4.2,-3.5
2017.04,113.1,-5.3,-4.5,117.6,-7.1,-5.7,120.8,-5.8,-4.6,118.6,-4.1,-3.3,115.7,-8.3,-6.7
2017.05,116.6,-1.7,-1.4,122.9,-2.4,-1.9,128.4,-0.4,-0.3,120.1,-2.2,-1.8,120.4,-3.6,-2.9
2017.06,115.5,-2.3,-2.0,121.7,-2.3,-1.9,127.5,-1.4,-1.1,118.3,-2.1,-1.7,119.2,-2.7,-2.2
2017.07,119.7,-1.3,-1.1,127.6,-0.7,-0.5,136.8,5.1,3.9,120.4,-5.7,-4.5,123.9,-2.9,-2.3
2017.08,113.2,-10.9,-8.8,117.4,-13.8,-10.5,117.8,-15.6,-11.7,117.0,-13.3,-10.2,117.3,-12.9,-9.9
2017.09,111.5,-12.7,-10.2,115.1,-13.3,-10.4,118.9,-10.8,-8.3,114.8,-14.3,-11.1,112.9,-14.6,-11.5
2017.10,110.9,-14.3,-11.4,113.9,-15.9,-12.2,121.4,-9.7,-7.4,110.4,-18.4,-14.3,110.4,-19.0,-14.7
2017.11,107.3,-7.3,-6.4,110.8,-5.7,-4.9,122.1,6.6,5.7,104.6,-12.4,-10.6,105.7,-11.4,-9.7
2017.12,102.8,-2.5,-2.4,106.3,1.5,1.4,116.6,13.2,12.8,103.1,-4.0,-3.7,101.1,-3.9,-3.7
2018.01,109.9,1.6,1.5,116.1,6.9,6.3,129.2,20.4,18.8,106.3,-5.7,-5.1,110.8,2.0,1.8
2018.02,111.0,-1.3,-1.2,116.8,2.8,2.5,128.5,14.1,12.3,110.2,-8.6,-7.2,111.5,-1.3,-1.2
2018.03,106.6,-6.1,-5.4,110.4,-5.3,-4.6,117.6,1.6,1.4,101.8,-15.7,-13.4,108.2,-7.0,-6.1
2018.04,100.3,-12.8,-11.3,103.2,-14.4,-12.2,108.8,-12.0,-9.9,97.6,-21.0,-17.7,101.2,-14.5,-12.5
2018.05,99.1,-17.5,-15.0,102.8,-20.1,-16.4,111.1,-17.3,-13.5,98.4,-21.7,-18.1,98.9,-21.5,-17.9
2018.06,96.6,-18.9,-16.4,99.3,-22.4,-18.4,106.8,-20.7,-16.2,96.4,-21.9,-18.5,95.6,-23.6,-19.8
2018.07,98.6,-21.1,-17.6,102.8,-24.8,-19.4,113.4,-23.4,-17.1,96.8,-23.6,-19.6,98.1,-25.8,-20.8
2018.08,107.6,-5.6,-4.9,115.9,-1.5,-1.3,129.7,11.9,10.1,104.0,-13.0,-11.1,110.5,-6.8,-5.8
2018.09,111.3,-0.2,-0.2,119.3,4.2,3.6,128.9,10.0,8.4,111.0,-3.8,-3.3,115.6,2.7,2.4
2018.10,103.8,-7.1,-6.4,110.0,-3.9,-3.4,117.1,-4.3,-3.5,105.4,-5.0,-4.5,108.1,-2.3,-2.1
2018.11,96.3,-11.0,-10.3,100.2,-10.6,-9.6,107.2,-14.9,-12.2,96.5,-8.1,-7.7,97.0,-8.7,-8.2
2018.12,90.6,-12.2,-11.9,91.2,-15.1,-14.2,93.7,-22.9,-19.6,89.6,-13.5,-13.1,90.1,-11.0,-10.9
2019.01,89.9,-20.0,-18.2,90.7,-25.4,-21.9,91.5,-37.7,-29.2,93.2,-13.1,-12.3,89.7,-21.1,-19.0
2019.02,92.7,-18.3,-16.5,94.3,-22.5,-19.3,94.5,-34.0,-26.5,96.0,-14.2,-12.9,93.9,-17.6,-15.8
2019.03,90.7,-15.9,-14.9,91.8,-18.6,-16.8,93.3,-24.3,-20.7,94.1,-7.7,-7.6,90.5,-17.7,-16.4
2019.04,86.8,-13.5,-13.5,89.6,-13.6,-13.2,91.1,-17.7,-16.3,92.6,-5.0,-5.1,88.1,-13.1,-12.9
2019.05,91.1,-8.0,-8.1,94.1,-8.7,-8.5,98.6,-12.5,-11.3,95.2,-3.2,-3.3,91.2,-7.7,-7.8
