,전국_중실,수도권_중실,지방_중실,서울_중실
2012.07,223.8,304.8,191.8,467.9
2012.08,227.1,303.0,193.8,456.7
2012.09,236.8,315.3,200.5,483.0
2012.10,241.3,325.5,202.5,487.1
2012.11,238.9,325.6,201.4,492.3
2012.12,235.9,325.9,199.4,492.0
2013.01,240.2,323.7,204.5,490.9
2013.02,241.8,325.9,202.4,495.0
2013.03,247.8,328.4,205.8,487.1
2013.04,251.9,331.2,210.3,482.3
2013.05,250.5,326.8,209.5,482.5
2013.06,243.2,323.3,204.6,474.1
2013.07,247.3,319.7,206.9,450.0
2013.08,264.8,333.4,211.8,462.1
2013.09,273.7,342.8,217.7,471.0
2013.10,266.8,341.3,220.2,482.4
2013.11,261.8,345.1,219.8,494.3
2013.12,268.5,356.3,218.5,514.4
2014.01,276.4,359.5,220.2,511.3
2014.02,275.2,354.4,221.2,502.9
2014.03,268.5,342.2,221.9,483.5
2014.04,261.7,339.3,217.9,486.1
2014.05,263.6,338.7,220.4,487.4
2014.06,267.6,347.3,221.8,492.6
2014.07,275.3,355.8,225.0,501.3
2014.08,288.2,360.0,230.2,511.9
2014.09,288.4,363.7,230.5,505.9
2014.10,280.8,358.8,232.2,506.2
2014.11,281.3,361.8,232.9,500.3
2014.12,285.4,372.4,232.3,513.1
2015.01,292.0,374.8,231.5,507.2
2015.02,298.5,378.7,232.7,512.2
2015.03,300.2,376.9,233.8,514.8
2015.04,297.8,378.9,234.2,522.1
2015.05,301.0,382.3,236.6,523.2
2015.06,303.1,383.9,235.5,518.1
2015.07,309.5,392.7,240.6,523.4
2015.08,300.4,384.8,232.1,525.2
2015.09,308.4,396.8,238.0,537.9
2015.10,308.3,401.1,239.8,559.3
2015.11,303.5,404.8,236.5,577.5
2015.12,286.6,388.0,229.5,555.6
2016.01,288.2,386.1,225.3,541.8
2016.02,292.1,391.9,228.3,540.9
2016.03,296.6,393.3,226.7,547.9
2016.04,316.1,415.0,231.2,588.4
2016.05,326.1,419.4,229.3,594.4
2016.06,341.7,431.7,237.7,591.7
2016.07,341.1,426.2,244.0,582.5
2016.08,334.9,423.6,246.8,596.6
2016.09,340.2,433.1,250.9,601.2
2016.10,336.5,434.7,258.1,606.7
2016.11,310.6,416.6,250.7,586.4
2016.12,302.0,409.3,245.5,592.0
2017.01,302.2,413.3,245.4,594.0
2017.02,305.4,418.9,241.8,608.2
2017.03,318.4,427.0,241.1,617.9
2017.04,334.8,450.4,241.3,649.1
2017.05,370.2,488.7,246.7,683.2
2017.06,363.2,464.2,254.8,631.6
2017.07,382.5,491.2,258.3,657.4
2017.08,323.8,419.3,256.3,622.0
2017.09,332.1,445.9,250.5,688.4
2017.10,333.4,453.8,250.1,705.9
2017.11,340.1,482.4,250.4,748.5
2017.12,359.1,524.1,255.2,753.6
2018.01,390.7,551.6,251.3,735.2
2018.02,376.1,504.5,257.6,671.4
2018.03,345.9,464.7,250.1,643.3
2018.04,311.8,427.5,238.1,646.3
2018.05,316.5,434.5,241.3,648.0
2018.06,327.8,448.6,241.7,660.3
2018.07,351.5,491.8,236.8,723.3
2018.08,438.7,548.5,249.8,741.3
2018.09,380.3,460.3,262.1,734.6
2018.10,318.2,408.8,251.9,718.3
2018.11,299.2,393.3,245.5,724.0
2018.12,294.4,383.5,238.8,707.8
2019.01,283.4,372.7,235.5,709.7
2019.02,272.6,361.7,230.7,729.5
2019.03,281.7,368.0,230.0,737.8
2019.04,289.4,394.4,234.3,828.5
2019.05,306.6,441.0,240.1,913.3
2019.06,335.8,520.4,245.1,960.0
2019.07,353.5,561.1,251.2,934.0
2019.08,341.0,507.4,258.4,884.5
2019.09,346.8,517.0,258.7,920.6
2019.10,376.2,563.2,272.0,928.8
2019.11,401.6,564.1,303.5,935.5
2019.12,382.7,514.1,284.8,883.2
2020.01,372.5,476.7,273.1,811.6
2020.02,371.1,453.2,265.2,822.0
2020.03,327.3,411.9,245.2,802.9
2020.04,306.0,389.4,243.6,809.2
2020.05,330.2,437.2,265.7,906.0
2020.06,412.8,546.6,303.2,984.4
2020.07,393.1,578.2,290.5,1012.2
2020.08,351.1,514.7,278.2,1083.4
2020.09,344.6,490.6,285.0,1085.6
2020.10,365.0,490.1,311.9,1061.7
2020.11,368.7,554.3,315.5,1152.9
2020.12,358.7,585.1,272.7,1209.0
2021.01,354.3,556.2,254.1,1183.0
2021.02,341.7,506.7,251.2,1158.8
2021.03,325.5,480.8,250.0,1135.1
2021.04,329.5,506.0,253.0,1202.4
2021.05,363.0,579.7,268.3,1187.9
2021.06,354.7,625.7,265.2,1223.7
2021.07,392.6,700.8,275.2,1248.8
2021.08,392.4,695.6,283.9,1295.9
2021.09,381.8,681.1,288.3,1350.5
2021.10,344.2,659.1,278.4,1322.7
2021.11,323.7,630.8,270.6,1229.6
2021.12,312.5,621.3,264.6,1259.8
2022.01,311.9,617.1,266.2,1202.4
2022.02,302.5,596.2,256.7,1165.0
2022.03,320.0,633.7,259.7,1252.5
2022.04,331.3,636.8,269.1,1281.3
2022.05,329.4,617.3,265.7,1250.1
2022.06,310.6,574.9,258.9,1210.7
2022.07,300.3,560.5,253.4,1184.3
2022.08,303.6,552.9,253.6,1078.7
2022.09,301.9,528.2,251.5,1052.1
2022.10,307.8,529.9,257.4,1054.6
2022.11,341.2,565.7,264.2,1089.1
2022.12,358.9,576.5,276.5,1105.7
2023.01,404.5,600.0,303.7,1164.8
2023.02,430.0,629.5,316.8,1213.3
