,전국_중위동향,수도권_중위동향,지방_중위동향,서울_중위동향
2012.07,216270,311058,128507,430533
2012.08,215389,309417,128329,427643
2012.09,214415,307361,128357,424519
2012.10,213718,305828,128433,422683
2012.11,213110,304491,128501,420433
2012.12,211607,300428,128721,414485
2013.01,210944,299101,128677,413242
2013.02,210231,297706,128601,411457
2013.03,210036,297294,128608,411673
2013.04,210396,297825,128906,413447
2013.05,210735,298062,129338,414373
2013.06,210620,297472,129668,413000
2013.07,210334,296611,129917,411773
2013.08,210060,296064,129897,410802
2013.09,210235,296240,130072,410708
2013.10,210902,297162,130501,411730
2013.11,211266,297399,130982,411915
2013.12,211604,297755,131305,412126
2014.01,212326,297723,132730,408908
2014.02,213041,299093,132835,410356
2014.03,213813,300423,133086,411778
2014.04,214187,300953,133313,412176
2014.05,214101,300657,133423,412037
2014.06,214068,300387,133611,411587
2014.07,214202,300491,133905,411766
2014.08,214539,301030,134054,412669
2014.09,215300,302435,134215,415166
2014.10,215790,303091,134550,415846
2014.11,216094,303346,134901,416067
2014.12,216245,303404,135139,415786
2015.01,214260,298884,135501,412562
2015.02,214778,299695,135747,413572
2015.03,215787,301357,136148,416468
2015.04,216896,303101,136667,418811
2015.05,217764,304577,136968,420774
2015.06,218856,306356,137420,423356
2015.07,222617,306439,146829,423230
2015.08,223284,307310,147311,424265
2015.09,224214,308818,147719,426952
2015.10,225123,310152,148243,428721
2015.11,225948,311438,148651,430558
2015.12,226392,312168,148837,431990
2016.01,226418,312137,148913,431836
2016.02,226334,311950,148923,431303
2016.03,226338,311991,148894,431470
2016.04,226283,311923,148850,431379
2016.05,226545,312568,148767,432946
2016.06,226631,312895,148635,433357
2016.07,226678,313082,148556,434061
2016.08,227112,313782,148748,435436
2016.09,227454,312772,150383,431469
2016.10,227930,313701,150449,433430
2016.11,228435,314493,150694,434914
2016.12,228534,314539,150842,434850
2017.01,228509,314394,150926,434563
2017.02,228629,314491,151066,434758
2017.03,228897,314706,151382,435398
2017.04,229183,315355,151340,436927
2017.05,229704,316452,151340,439312
2017.06,230689,318517,151350,443819
2017.07,231378,319859,151449,446098
2017.08,232556,322156,151617,450055
2017.09,232945,322819,151759,450276
2017.10,233438,323639,151956,451720
2017.11,233857,324497,151978,453444
2017.12,255727,356318,164541,514582
2018.01,257257,359379,164682,521859
2018.02,258849,362818,164600,529634
2018.03,259631,364577,164497,533330
2018.04,259975,365544,164276,535058
2018.05,260241,366550,163871,537286
2018.06,260447,367215,163661,539156
2018.07,260733,368059,163441,541104
2018.08,261252,369478,163145,545128
2018.09,263060,373555,162896,553306
2018.10,263978,375643,162753,556537
2018.11,264342,376713,162476,557532
2018.12,264502,377239,162306,558055
2019.01,280928,402930,170070,613109
2019.02,280442,402101,169897,611240
2019.03,279711,400828,169659,609002
2019.04,279305,400292,169370,609236
2019.05,278819,399510,169153,608521
2019.06,278467,399051,168899,608141
2019.07,278272,399125,168458,608675
2019.08,278333,399420,168306,609084
2019.09,278866,400630,168224,610795
2019.10,279436,401928,168134,613184
2019.11,280433,403771,168363,616486
2019.12,282412,407495,168755,624272
2020.01,292558,423612,172667,645947
2020.02,293967,425790,173372,646726
2020.03,295384,428266,173820,647007
2020.04,296252,429891,173997,645763
2020.05,296794,430882,174127,644707
2020.06,298112,432714,174975,645843
2020.07,300720,437202,175864,652616
2020.08,302752,440178,177033,656379
2020.09,304473,442243,178438,658304
2020.10,305283,443193,179119,659554
2020.11,307075,445372,180559,660957
2020.12,309818,448643,182817,663717
2021.01,312561,452354,184675,667132
2021.02,316000,457676,186392,671780
2021.03,318529,461579,187665,673406
2021.04,320972,465278,188958,675769
2021.05,323451,469005,190295,678622
2021.06,328406,477093,192384,685654
2021.07,280657,488803,177912,711128
2021.08,285106,495343,179441,716029
2021.09,289177,501137,180686,722284
2021.10,292469,507282,181931,727495
2021.11,294476,509006,182847,730661
2021.12,295704,510006,183490,731543
2022.01,295704,510495,184092,731279
2022.02,295925,509866,184693,730928
2022.03,295311,508843,184735,730678
2022.04,295422,508682,184735,729916
2022.05,294753,507542,185049,729360
2022.06,293973,506168,185083,728722
2022.07,293525,503771,185049,728757
2022.08,292297,501096,185363,727268
2022.09,290454,496930,184762,722648
2022.10,286825,489738,183517,712767
2022.11,281691,476937,182272,700806
2022.12,274771,461403,179709,683107
2023.01,273863,446871,180610,668621
2023.02,268664,439468,178399,662713
2023.03,265242,434481,177749,658097
