,전국_평실,수도권_평실,지방_평실,서울_평실
2012.07,251.1,349.8,196.2,548.9
2012.08,254.7,347.1,198.3,534.8
2012.09,270.4,365.3,204.0,563.4
2012.10,277.6,379.8,207.6,571.5
2012.11,274.1,379.9,206.6,574.1
2012.12,271.1,379.8,202.9,575.4
2013.01,274.4,379.0,207.7,577.3
2013.02,278.0,382.3,206.2,578.4
2013.03,284.5,379.2,209.5,563.3
2013.04,288.8,381.7,214.4,567.9
2013.05,283.6,373.3,214.1,553.7
2013.06,273.3,366.8,209.6,546.2
2013.07,271.8,352.4,211.3,507.8
2013.08,294.4,369.8,215.7,533.8
2013.09,304.7,377.3,222.9,534.9
2013.10,297.3,379.6,225.1,546.5
2013.11,293.6,390.1,225.1,569.3
2013.12,307.8,410.5,224.0,603.9
2014.01,316.2,409.0,225.2,588.9
2014.02,314.1,401.6,225.4,576.6
2014.03,298.9,382.0,226.8,548.8
2014.04,290.6,379.7,225.1,553.4
2014.05,292.3,380.2,226.5,558.3
2014.06,298.9,389.9,228.0,567.6
2014.07,310.2,402.9,230.4,583.0
2014.08,327.5,408.6,234.9,593.3
2014.09,325.0,409.0,236.8,583.0
2014.10,314.4,402.4,238.6,580.3
2014.11,311.0,398.7,238.7,567.6
2014.12,320.9,415.3,239.2,589.2
2015.01,329.8,417.0,239.6,585.2
2015.02,338.6,423.6,239.9,589.2
2015.03,340.8,423.0,242.5,590.8
2015.04,339.2,427.7,243.5,601.2
2015.05,343.7,430.9,246.3,608.9
2015.06,344.9,431.4,246.2,599.6
2015.07,352.6,439.2,249.8,604.7
2015.08,341.2,426.2,244.0,595.2
2015.09,353.2,443.4,249.8,616.5
2015.10,356.5,452.8,253.0,644.6
2015.11,354.1,463.0,250.3,666.8
2015.12,328.4,435.1,241.2,627.6
2016.01,328.9,430.2,238.2,616.0
2016.02,334.7,435.1,240.4,614.0
2016.03,345.5,445.7,239.4,639.2
2016.04,374.0,479.1,243.6,682.4
2016.05,385.4,485.9,243.2,689.8
2016.06,397.2,492.0,251.8,677.1
2016.07,388.3,478.3,257.9,657.6
2016.08,388.3,485.4,260.9,687.3
2016.09,393.7,491.9,267.2,692.4
2016.10,388.7,490.4,271.6,688.5
2016.11,351.7,460.1,264.8,649.1
2016.12,346.0,458.1,260.0,666.6
2017.01,350.0,473.2,257.4,694.4
2017.02,360.8,482.7,256.7,710.1
2017.03,378.3,493.7,255.7,716.1
2017.04,404.0,526.2,257.5,752.1
2017.05,448.9,570.7,262.6,786.9
2017.06,419.0,525.1,272.9,723.7
2017.07,451.8,565.6,277.1,767.2
2017.08,368.5,474.0,270.3,704.2
2017.09,398.0,522.6,265.1,796.6
2017.10,404.9,537.5,264.5,806.9
2017.11,431.2,586.1,266.7,865.7
2017.12,457.6,617.9,271.7,865.7
2018.01,483.4,634.3,270.9,849.6
2018.02,440.3,567.3,276.3,766.1
2018.03,403.7,524.7,270.4,742.3
2018.04,368.3,491.5,257.4,743.8
2018.05,373.9,497.8,260.3,748.8
2018.06,389.9,513.8,261.7,757.7
2018.07,443.0,586.3,257.7,863.1
2018.08,529.9,652.0,272.7,881.6
2018.09,443.0,545.4,285.2,867.0
2018.10,364.0,468.9,271.4,821.3
2018.11,341.0,454.8,264.2,829.3
2018.12,335.7,445.6,258.9,812.7
2019.01,326.3,443.5,253.8,815.7
2019.02,316.5,440.9,248.0,844.1
2019.03,333.1,461.8,250.0,889.1
2019.04,362.0,516.5,253.4,983.8
2019.05,411.7,597.0,259.8,1066.8
2019.06,477.4,681.6,268.4,1100.2
2019.07,499.1,697.8,272.9,1072.5
2019.08,455.2,636.9,278.6,1022.9
2019.09,472.8,663.5,281.8,1072.2
2019.10,501.7,686.6,297.5,1064.0
2019.11,508.1,681.1,333.3,1058.9
2019.12,474.0,625.1,315.2,1011.6
2020.01,439.6,554.9,300.8,903.2
2020.02,442.4,540.9,295.1,934.7
2020.03,394.8,501.1,272.4,911.9
2020.04,369.4,489.4,268.5,949.4
2020.05,419.2,563.8,291.4,1051.0
2020.06,533.7,681.5,344.0,1118.2
2020.07,516.9,700.3,331.2,1122.8
2020.08,472.9,668.0,321.0,1211.0
2020.09,448.0,635.6,327.2,1215.4
2020.10,453.6,619.3,355.1,1203.8
2020.11,472.7,694.6,348.6,1293.1
2020.12,492.1,723.3,304.5,1352.7
2021.01,491.4,695.7,284.6,1333.9
2021.02,459.8,647.7,286.3,1310.1
2021.03,429.0,617.2,283.0,1280.9
2021.04,446.9,662.2,292.5,1371.1
2021.05,489.6,714.9,311.5,1338.7
2021.06,490.5,745.9,306.4,1362.3
2021.07,535.5,807.0,317.2,1404.3
2021.08,527.3,812.6,328.7,1430.3
2021.09,507.4,809.8,330.8,1493.1
2021.10,461.1,788.7,316.3,1474.2
2021.11,429.9,761.3,307.0,1402.7
2021.12,421.2,763.3,298.5,1449.1
2022.01,414.5,760.1,297.7,1415.4
2022.02,394.3,709.9,290.1,1317.9
2022.03,434.8,761.8,297.5,1418.0
2022.04,452.5,787.5,304.3,1499.2
2022.05,440.1,761.9,301.8,1443.0
2022.06,404.9,711.2,292.9,1407.0
2022.07,387.5,683.5,288.6,1371.7
2022.08,386.4,655.8,290.3,1242.3
2022.09,377.8,640.5,286.8,1247.3
2022.10,378.7,621.0,295.9,1191.6
2022.11,413.1,661.1,304.5,1278.0
2022.12,435.4,673.3,312.4,1268.5
2023.01,488.8,721.2,336.3,1295.8
2023.02,522.0,755.8,351.5,1355.0
