,전국_평균동향,수도권_평균동향,지방_평균동향,서울_평균동향
2012.07,237240,335183,146555,470288
2012.08,236058,332959,146337,466853
2012.09,235050,330940,146266,464112
2012.10,234198,329153,146280,461765
2012.11,233522,327714,146310,459987
2012.12,231416,322524,146395,452120
2013.01,230467,320611,146346,449525
2013.02,229870,319418,146304,448106
2013.03,229875,319391,146340,449334
2013.04,229924,319466,146465,449777
2013.05,230307,319959,146745,450617
2013.06,230150,319425,146939,449324
2013.07,229578,318059,147107,447128
2013.08,229072,316987,147127,445222
2013.09,229121,316991,147220,445369
2013.10,229739,317909,147558,446669
2013.11,230110,318203,148001,446890
2013.12,230364,318331,148372,446743
2014.01,231351,318856,149789,442844
2014.02,231740,319661,149790,444004
2014.03,232338,320606,150065,445126
2014.04,232437,320573,150287,445140
2014.05,232430,320350,150482,444804
2014.06,232431,320200,150624,444506
2014.07,232383,320151,150710,444436
2014.08,232606,320405,150904,444737
2014.09,233258,321444,151196,446083
2014.10,233902,322382,151566,447357
2014.11,233909,322002,151933,445647
2014.12,234176,322176,152286,445586
2015.01,231658,316535,152664,440592
2015.02,232181,317325,152939,441700
2015.03,233006,318603,153342,443560
2015.04,234157,320358,153932,445949
2015.05,235123,321899,154362,448166
2015.06,236171,323521,154875,450562
2015.07,242371,328722,164296,458931
2015.08,243153,329838,164776,460692
2015.09,244032,331150,165263,462804
2015.10,244938,332525,165745,464839
2015.11,245676,333558,166215,466236
2015.12,246134,334275,166441,467519
2016.01,246194,334314,166520,467557
2016.02,246114,334119,166543,467048
2016.03,246098,334103,166527,467019
2016.04,246162,334252,166514,467431
2016.05,246318,334619,166479,468251
2016.06,246414,334890,166417,468738
2016.07,246615,335408,166332,469910
2016.08,247023,336255,166343,471740
2016.09,247169,334448,168326,466414
2016.10,247791,335527,168534,468829
2016.11,248318,336402,168748,470507
2016.12,248452,336544,168875,470686
2017.01,248457,336507,168918,470606
2017.02,248640,336659,169129,470974
2017.03,249156,337561,169297,472967
2017.04,249475,338135,169386,474155
2017.05,249959,338950,169570,475812
2017.06,250921,340754,169772,479832
2017.07,251522,341844,169930,481754
2017.08,252429,343428,170226,484233
2017.09,252787,343932,170452,484488
2017.10,253259,344777,170587,485858
2017.11,253839,345928,170652,488047
2017.12,278985,379305,188044,549150
2018.01,280615,382713,188062,557233
2018.02,282377,386373,188104,565125
2018.03,283340,388331,188164,568881
2018.04,283813,389389,188108,570502
2018.05,284036,389969,188008,571430
2018.06,284224,390508,187878,572400
2018.07,284483,391173,187767,573870
2018.08,285268,393037,187574,578331
2018.09,287487,397595,187673,587393
2018.10,288695,399894,187893,590915
2018.11,289306,400909,188136,591704
2018.12,289448,401122,188215,591674
2019.01,307279,428615,197026,648286
2019.02,306725,427603,196888,646174
2019.03,306155,426638,196678,644226
2019.04,305480,425539,196388,642954
2019.05,305053,424902,196153,642329
2019.06,304869,424724,195962,642302
2019.07,304980,425175,195765,643380
2019.08,305248,425888,195628,644713
2019.09,305797,427081,195592,646418
2019.10,306826,429114,195709,650238
2019.11,308186,431589,196055,654481
2019.12,310734,436148,196776,662952
2020.01,320854,451990,200888,688336
2020.02,322306,454301,201555,688898
2020.03,324460,458047,202253,689215
2020.04,325413,459737,202531,688161
2020.05,325780,460325,202695,686807
2020.06,327333,462442,203732,687922
2020.07,330280,466938,205263,693996
2020.08,332498,469794,206897,697028
2020.09,334399,472033,208488,698888
2020.10,335685,473460,209645,699982
2020.11,337897,475749,211786,701083
2020.12,341347,479017,215405,703270
2021.01,344491,483105,217684,706492
2021.02,348256,488843,219644,710849
2021.03,351059,493065,221150,713486
2021.04,353795,497292,222522,716584
2021.05,356556,501404,224047,720354
2021.06,361192,508708,226242,727396
2021.07,411499,600358,249015,853858
2021.08,415945,607849,250797,859959
2021.09,419990,614755,252378,867269
2021.10,423864,621039,254175,874121
2021.11,426454,625192,255425,879357
2021.12,427501,626986,255829,881835
2022.01,427654,627130,255981,882277
2022.02,427531,626828,256001,882062
2022.03,427256,626350,255893,881860
2022.04,427237,626399,255806,882567
2022.05,426963,625854,255759,882164
2022.06,426583,625325,255511,882106
2022.07,425953,624369,255155,881453
2022.08,424180,621669,254171,879290
2022.09,421339,617175,252751,874705
2022.10,416936,610095,250651,866671
2022.11,409685,598532,247113,853748
2022.12,399620,582248,242396,835729
2023.01,394161,566452,239610,813924
2023.02,388908,558706,236590,807198
2023.03,385719,554192,234580,803092
