변환,원자료
"2012/07","3.00"
"2012/08","3.00"
"2012/09","3.00"
"2012/10","2.75"
"2012/11","2.75"
"2012/12","2.75"
"2013/01","2.75"
"2013/02","2.75"
"2013/03","2.75"
"2013/04","2.75"
"2013/05","2.50"
"2013/06","2.50"
"2013/07","2.50"
"2013/08","2.50"
"2013/09","2.50"
"2013/10","2.50"
"2013/11","2.50"
"2013/12","2.50"
"2014/01","2.50"
"2014/02","2.50"
"2014/03","2.50"
"2014/04","2.50"
"2014/05","2.50"
"2014/06","2.50"
"2014/07","2.50"
"2014/08","2.25"
"2014/09","2.25"
"2014/10","2.00"
"2014/11","2.00"
"2014/12","2.00"
"2015/01","2.00"
"2015/02","2.00"
"2015/03","1.75"
"2015/04","1.75"
"2015/05","1.75"
"2015/06","1.50"
"2015/07","1.50"
"2015/08","1.50"
"2015/09","1.50"
"2015/10","1.50"
"2015/11","1.50"
"2015/12","1.50"
"2016/01","1.50"
"2016/02","1.50"
"2016/03","1.50"
"2016/04","1.50"
"2016/05","1.50"
"2016/06","1.25"
"2016/07","1.25"
"2016/08","1.25"
"2016/09","1.25"
"2016/10","1.25"
"2016/11","1.25"
"2016/12","1.25"
"2017/01","1.25"
"2017/02","1.25"
"2017/03","1.25"
"2017/04","1.25"
"2017/05","1.25"
"2017/06","1.25"
"2017/07","1.25"
"2017/08","1.25"
"2017/09","1.25"
"2017/10","1.25"
"2017/11","1.50"
"2017/12","1.50"
"2018/01","1.50"
"2018/02","1.50"
"2018/03","1.50"
"2018/04","1.50"
"2018/05","1.50"
"2018/06","1.50"
"2018/07","1.50"
"2018/08","1.50"
"2018/09","1.50"
"2018/10","1.50"
"2018/11","1.75"
"2018/12","1.75"
"2019/01","1.75"
"2019/02","1.75"
"2019/03","1.75"
"2019/04","1.75"
"2019/05","1.75"
"2019/06","1.75"
"2019/07","1.50"
"2019/08","1.50"
"2019/09","1.50"
"2019/10","1.25"
"2019/11","1.25"
"2019/12","1.25"
"2020/01","1.25"
"2020/02","1.25"
"2020/03","0.75"
"2020/04","0.75"
"2020/05","0.50"
"2020/06","0.50"
"2020/07","0.50"
"2020/08","0.50"
"2020/09","0.50"
"2020/10","0.50"
"2020/11","0.50"
"2020/12","0.50"
"2021/01","0.50"
"2021/02","0.50"
"2021/03","0.50"
"2021/04","0.50"
"2021/05","0.50"
"2021/06","0.50"
"2021/07","0.50"
"2021/08","0.75"
"2021/09","0.75"
"2021/10","0.75"
"2021/11","1.00"
"2021/12","1.00"
"2022/01","1.25"
"2022/02","1.25"
"2022/03","1.25"
"2022/04","1.50"
"2022/05","1.75"
"2022/06","1.75"
"2022/07","2.25"
"2022/08","2.50"
"2022/09","2.50"
"2022/10","3.00"
"2022/11","3.25"
"2022/12","3.25"
