"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 12- 31","154.26","154.47","154.98","152.71","53.02M","0.84%"
"2018- 12- 28","152.97","154.01","155.59","151.72","77.86M","-0.05%"
"2018- 12- 27","153.05","150.57","153.18","147.08","85.82M","0.39%"
"2018- 12- 26","152.46","145.12","152.54","144.09","98.98M","6.24%"
"2018- 12- 24","143.50","146.14","147.98","143.46","56.16M","-2.76%"
"2018- 12- 21","147.57","153.06","154.09","146.72","141.13M","-3.10%"
"2018- 12- 20","152.29","154.16","155.87","150.39","99.00M","-1.45%"
"2018- 12- 19","154.53","158.24","160.72","153.34","81.86M","-2.46%"
"2018- 12- 18","158.42","158.67","159.95","157.04","63.64M","0.63%"
"2018- 12- 17","157.43","160.41","161.67","156.17","74.83M","-2.27%"
"2018- 12- 14","161.08","163.19","163.81","160.70","56.55M","-2.43%"
"2018- 12- 13","165.10","166.06","166.82","164.03","46.38M","0.03%"
"2018- 12- 12","165.05","166.06","167.60","164.96","53.78M","0.88%"
"2018- 12- 11","163.61","165.66","165.77","162.23","59.06M","0.33%"
"2018- 12- 10","163.07","161.11","163.78","159.41","73.96M","1.05%"
"2018- 12- 07","161.38","166.13","167.12","160.86","80.43M","-3.30%"
"2018- 12- 06","166.89","162.46","166.91","161.77","71.72M","0.71%"
"2018- 12- 04","165.72","171.38","171.91","165.52","70.59M","-3.84%"
"2018- 12- 03","172.33","173.10","173.31","169.51","50.77M","1.75%"
"2018- 11- 30","169.37","168.38","169.47","167.54","36.72M","0.73%"
"2018- 11- 29","168.15","168.00","169.26","166.82","44.89M","-0.33%"
"2018- 11- 28","168.70","164.62","168.70","163.47","70.14M","3.22%"
"2018- 11- 27","163.44","162.00","163.85","161.18","36.61M","0.34%"
"2018- 11- 26","162.89","161.44","162.97","160.76","42.01M","2.31%"
"2018- 11- 23","159.21","159.09","160.84","159.09","23.50M","-0.72%"
"2018- 11- 21","160.37","161.29","161.97","159.23","42.97M","0.76%"
"2018- 11- 20","159.16","158.37","161.38","157.13","102.65M","-1.79%"
"2018- 11- 19","162.06","166.74","166.90","161.54","67.28M","-3.25%"
"2018- 11- 16","167.50","166.49","168.31","165.78","65.39M","-0.35%"
"2018- 11- 15","168.09","164.84","168.54","163.46","73.25M","1.75%"
"2018- 11- 14","165.20","168.09","168.70","164.25","75.27M","-0.76%"
"2018- 11- 13","166.47","167.15","169.48","166.00","64.13M","0.08%"
"2018- 11- 12","166.33","170.33","170.64","166.18","62.58M","-3.03%"
"2018- 11- 09","171.52","172.83","173.25","170.16","50.60M","-1.69%"
"2018- 11- 08","174.46","174.76","175.30","173.63","40.30M","-0.64%"
"2018- 11- 07","175.58","172.25","175.58","171.87","51.17M","3.14%"
"2018- 11- 06","170.24","168.93","171.19","168.72","34.41M","0.76%"
"2018- 11- 05","168.96","169.61","169.66","167.08","39.57M","-0.25%"
"2018- 11- 02","169.38","171.53","172.55","168.22","75.97M","-1.56%"
"2018- 11- 01","172.06","170.08","172.24","168.78","52.71M","1.32%"
"2018- 10- 31","169.82","168.55","171.25","168.54","73.83M","2.35%"
"2018- 10- 30","165.92","162.80","166.03","162.01","92.58M","1.65%"
"2018- 10- 29","163.23","169.16","169.86","160.09","111.87M","-2.06%"
"2018- 10- 26","166.66","165.24","169.96","164.23","130.97M","-2.57%"
"2018- 10- 25","171.06","167.99","172.08","167.16","83.48M","3.46%"
"2018- 10- 24","165.34","173.12","173.36","165.04","103.00M","-4.58%"
"2018- 10- 23","173.27","170.79","174.13","168.82","77.57M","-0.37%"
"2018- 10- 22","173.91","174.06","175.25","172.59","52.91M","0.51%"
"2018- 10- 19","173.02","174.39","176.07","172.39","82.92M","-0.09%"
"2018- 10- 18","173.18","176.60","176.68","172.44","82.49M","-2.32%"
"2018- 10- 17","177.29","178.14","178.26","175.47","66.99M","0.04%"
"2018- 10- 16","177.22","174.02","177.65","173.70","71.98M","2.91%"
"2018- 10- 15","172.21","173.69","174.04","171.56","64.89M","-1.21%"
"2018- 10- 12","174.32","173.99","174.86","170.93","102.08M","2.78%"
"2018- 10- 11","169.60","171.04","173.40","167.81","143.08M","-1.24%"
"2018- 10- 10","171.73","178.53","178.62","171.50","114.47M","-4.40%"
"2018- 10- 09","179.63","179.20","181.02","178.75","49.10M","0.32%"
"2018- 10- 08","179.05","179.37","180.64","176.93","66.86M","-0.61%"
"2018- 10- 05","180.15","182.39","182.97","178.43","83.33M","-1.22%"
"2018- 10- 04","182.38","185.22","185.32","181.06","80.56M","-1.92%"
"2018- 10- 03","185.95","186.52","186.97","185.66","29.13M","0.11%"
"2018- 10- 02","185.75","185.95","187.18","185.32","25.62M","-0.23%"
"2018- 10- 01","186.17","186.82","187.53","185.70","27.37M","0.20%"
"2018- 09- 28","185.79","185.25","186.28","184.97","28.08M","-0.02%"
"2018- 09- 27","185.83","185.04","186.49","184.92","33.11M","0.85%"
"2018- 09- 26","184.27","184.25","185.99","183.91","36.21M","0.07%"
"2018- 09- 25","184.14","183.78","184.28","183.18","25.28M","0.14%"
"2018- 09- 24","183.89","182.05","183.96","181.30","34.95M","0.10%"
"2018- 09- 21","183.71","185.27","185.48","183.48","38.61M","-0.55%"
"2018- 09- 20","184.72","183.95","184.97","183.52","33.30M","1.11%"
"2018- 09- 19","182.70","182.86","183.30","181.51","31.84M","-0.08%"
"2018- 09- 18","182.84","181.52","183.73","181.40","31.88M","0.83%"
"2018- 09- 17","181.34","183.66","183.81","181.17","33.07M","-1.44%"
"2018- 09- 14","183.99","184.66","184.94","183.26","31.22M","-0.29%"
"2018- 09- 13","184.53","183.67","184.88","183.64","31.13M","1.07%"
"2018- 09- 12","182.58","182.87","182.98","181.01","36.20M","-0.29%"
"2018- 09- 11","183.12","180.97","183.42","180.52","30.12M","0.77%"
