"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 03","408.02","411.36","413.87","407.77","88.96M","-0.69%"
"2023- 05- 02","410.84","414.77","414.82","407.82","103.45M","-1.12%"
"2023- 05- 01","415.51","415.47","417.62","415.27","61.38M","-0.10%"
"2023- 04- 28","415.93","411.49","415.94","411.43","89.43M","0.85%"
"2023- 04- 27","412.41","407.00","412.69","406.74","91.37M","1.99%"
"2023- 04- 26","404.36","406.72","407.84","403.78","79.26M","-0.42%"
"2023- 04- 25","406.08","410.58","411.16","406.02","96.67M","-1.59%"
"2023- 04- 24","412.63","411.99","413.07","410.60","63.89M","0.10%"
"2023- 04- 21","412.20","412.19","412.68","410.17","73.46M","0.08%"
"2023- 04- 20","411.88","411.21","413.70","410.27","75.16M","-0.55%"
"2023- 04- 19","414.14","412.22","415.08","412.16","54.37M","-0.02%"
"2023- 04- 18","414.21","415.58","415.72","412.78","63.24M","0.07%"
"2023- 04- 17","413.94","412.37","413.96","411.08","66.44M","0.36%"
"2023- 04- 14","412.46","412.81","415.09","410.06","78.16M","-0.24%"
"2023- 04- 13","413.47","409.18","413.84","407.99","85.27M","1.33%"
"2023- 04- 12","408.05","411.87","412.17","407.44","85.49M","-0.41%"
"2023- 04- 11","409.72","410.26","411.18","408.92","58.55M","0.03%"
"2023- 04- 10","409.61","406.61","409.69","405.97","63.32M","0.10%"
"2023- 04- 06","409.19","406.77","409.48","405.68","63.74M","0.39%"
"2023- 04- 05","407.60","407.91","408.70","405.88","64.68M","-0.26%"
"2023- 04- 04","408.67","411.62","411.92","407.24","65.64M","-0.55%"
"2023- 04- 03","410.95","408.85","411.37","408.44","66.28M","0.38%"
"2023- 03- 31","409.39","404.66","409.70","404.55","112.06M","1.41%"
"2023- 03- 30","403.70","404.09","404.35","401.76","69.14M","0.59%"
"2023- 03- 29","401.35","399.92","401.60","398.68","77.18M","1.45%"
"2023- 03- 28","395.60","395.77","396.49","393.69","62.41M","-0.22%"
"2023- 03- 27","396.49","398.12","398.92","395.56","72.17M","0.19%"
"2023- 03- 24","395.75","391.84","395.84","389.40","107.77M","0.66%"
"2023- 03- 23","393.17","395.09","399.29","390.35","117.42M","0.27%"
"2023- 03- 22","392.11","398.73","402.49","392.07","110.13M","-1.70%"
"2023- 03- 21","398.91","397.24","399.41","395.58","91.15M","1.31%"
"2023- 03- 20","393.74","390.80","394.17","390.07","92.25M","0.96%"
"2023- 03- 17","389.99","393.22","394.40","388.55","140.55M","-1.55%"
"2023- 03- 16","396.11","386.82","396.47","386.29","141.32M","1.75%"
"2023- 03- 15","389.28","385.89","389.49","383.71","171.26M","-0.63%"
"2023- 03- 14","391.73","390.50","393.45","387.05","148.10M","1.65%"
"2023- 03- 13","385.36","381.81","390.39","380.65","157.17M","-0.14%"
"2023- 03- 10","385.91","390.99","393.16","384.32","189.25M","-1.44%"
