변환,원자료,원자료,원자료,원자료
"2023/03","3.50","3.650","-0.100","4.875"
"2023/02","3.50","3.650","-0.100","4.625"
"2023/01","3.50","3.650","-0.100","4.375"
"2022/12","3.25","3.650","-0.100","4.375"
"2022/11","3.25","3.650","-0.100","3.875"
"2022/10","3.00","3.650","-0.100","3.125"
"2022/09","2.50","3.650","-0.100","3.125"
"2022/08","2.50","3.650","-0.100","2.375"
"2022/07","2.25","3.700","-0.100","2.375"
"2022/06","1.75","3.700","-0.100","1.625"
"2022/05","1.75","3.700","-0.100","0.875"
"2022/04","1.50","3.700","-0.100","0.375"
"2022/03","1.25","3.700","-0.100","0.375"
"2022/02","1.25","3.700","-0.100","0.125"
"2022/01","1.25","3.700","-0.100","0.125"
"2021/12","1.00","3.800","-0.100","0.125"
"2021/11","1.00","3.850","-0.100","0.125"
"2021/10","0.75","3.850","-0.100","0.125"
"2021/09","0.75","3.850","-0.100","0.125"
"2021/08","0.75","3.850","-0.100","0.125"
"2021/07","0.50","3.850","-0.100","0.125"
"2021/06","0.50","3.850","-0.100","0.125"
"2021/05","0.50","3.850","-0.100","0.125"
"2021/04","0.50","3.850","-0.100","0.125"
"2021/03","0.50","3.850","-0.100","0.125"
"2021/02","0.50","3.850","-0.100","0.125"
"2021/01","0.50","3.850","-0.100","0.125"
"2020/12","0.50","3.850","-0.100","0.125"
"2020/11","0.50","3.850","-0.100","0.125"
"2020/10","0.50","3.850","-0.100","0.125"
"2020/09","0.50","3.850","-0.100","0.125"
"2020/08","0.50","3.850","-0.100","0.125"
"2020/07","0.50","3.850","-0.100","0.125"
"2020/06","0.50","3.850","-0.100","0.125"
"2020/05","0.50","3.850","-0.100","0.125"
"2020/04","0.75","3.850","-0.100","0.125"
"2020/03","0.75","4.050","-0.100","0.125"
"2020/02","1.25","4.050","-0.100","1.625"
"2020/01","1.25","4.150","-0.100","1.625"
"2019/12","1.25","4.150","-0.100","1.625"
"2019/11","1.25","4.150","-0.100","1.625"
"2019/10","1.25","4.200","-0.100","1.625"
"2019/09","1.50","4.200","-0.100","1.875"
"2019/08","1.50","4.250","-0.100","2.125"
"2019/07","1.50","4.350","-0.100","2.375"
"2019/06","1.75","4.350","-0.100","2.375"
"2019/05","1.75","4.350","-0.100","2.375"
"2019/04","1.75","4.350","-0.100","2.375"
"2019/03","1.75","4.350","-0.100","2.375"
"2019/02","1.75","4.350","-0.100","2.375"
"2019/01","1.75","4.350","-0.100","2.375"
"2018/12","1.75","4.350","-0.100","2.375"
"2018/11","1.75","4.350","-0.100","2.125"
"2018/10","1.50","4.350","-0.100","2.125"
"2018/09","1.50","4.350","-0.100","2.125"
"2018/08","1.50","4.350","-0.100","1.875"
"2018/07","1.50","4.350","-0.100","1.875"
"2018/06","1.50","4.350","-0.100","1.875"
"2018/05","1.50","4.350","-0.100","1.625"
"2018/04","1.50","4.350","-0.100","1.625"
"2018/03","1.50","4.350","-0.100","1.625"
"2018/02","1.50","4.350","-0.100","1.375"
"2018/01","1.50","4.350","-0.100","1.375"
"2017/12","1.50","4.350","-0.100","1.375"
"2017/11","1.50","4.350","-0.100","1.125"
"2017/10","1.25","4.350","-0.100","1.125"
"2017/09","1.25","4.350","-0.100","1.125"
"2017/08","1.25","4.350","-0.100","1.125"
"2017/07","1.25","4.350","-0.100","1.125"
"2017/06","1.25","4.350","-0.100","1.125"
"2017/05","1.25","4.350","-0.100","0.875"
"2017/04","1.25","4.350","-0.100","0.875"
"2017/03","1.25","4.350","-0.100","0.875"
"2017/02","1.25","4.350","-0.100","0.625"
"2017/01","1.25","4.350","-0.100","0.625"
"2016/12","1.25","4.350","-0.100","0.625"
"2016/11","1.25","4.350","-0.100","0.375"
"2016/10","1.25","4.350","-0.100","0.375"
"2016/09","1.25","4.350","-0.100","0.375"
"2016/08","1.25","4.350","","0.375"
"2016/07","1.25","4.350","","0.375"
"2016/06","1.25","4.350","","0.375"
"2016/05","1.50","4.350","","0.375"
"2016/04","1.50","4.350","","0.375"
"2016/03","1.50","4.350","","0.375"
"2016/02","1.50","4.350","","0.375"
"2016/01","1.50","4.350","","0.375"
"2015/12","1.50","4.350","","0.375"
"2015/11","1.50","4.350","","0.125"
"2015/10","1.50","4.350","","0.125"
"2015/09","1.50","4.600","","0.125"
"2015/08","1.50","4.600","","0.125"
"2015/07","1.50","4.850","","0.125"
"2015/06","1.50","4.850","","0.125"
"2015/05","1.75","5.100","","0.125"
"2015/04","1.75","5.350","","0.125"
"2015/03","1.75","5.350","","0.125"
"2015/02","2.00","5.600","","0.125"
"2015/01","2.00","5.600","","0.125"
"2014/12","2.00","5.600","","0.125"
"2014/11","2.00","5.600","","0.125"
"2014/10","2.00","6.000","","0.125"
"2014/09","2.25","6.000","","0.125"
"2014/08","2.25","6.000","","0.125"
"2014/07","2.50","6.000","","0.125"
"2014/06","2.50","6.000","","0.125"
"2014/05","2.50","6.000","","0.125"
"2014/04","2.50","6.000","","0.125"
"2014/03","2.50","6.000","","0.125"
"2014/02","2.50","6.000","","0.125"
"2014/01","2.50","6.000","","0.125"
"2013/12","2.50","6.000","","0.125"
"2013/11","2.50","6.000","","0.125"
"2013/10","2.50","6.000","","0.125"
"2013/09","2.50","6.000","","0.125"
"2013/08","2.50","6.000","","0.125"
"2013/07","2.50","6.000","","0.125"
"2013/06","2.50","6.000","","0.125"
"2013/05","2.50","6.000","","0.125"
"2013/04","2.75","6.000","0.050","0.125"
"2013/03","2.75","6.000","0.050","0.125"
"2013/02","2.75","6.000","0.050","0.125"
"2013/01","2.75","6.000","0.050","0.125"
"2012/12","2.75","6.000","0.050","0.125"
"2012/11","2.75","6.000","0.050","0.125"
"2012/10","2.75","6.000","0.050","0.125"
"2012/09","3.00","6.000","0.050","0.125"
"2012/08","3.00","6.000","0.050","0.125"
"2012/07","3.00","6.000","0.050","0.125"
"2012/06","3.25","6.310","0.050","0.125"
"2012/05","3.25","6.560","0.050","0.125"
"2012/04","3.25","6.560","0.050","0.125"
"2012/03","3.25","6.560","0.050","0.125"
"2012/02","3.25","6.560","0.050","0.125"
"2012/01","3.25","6.560","0.050","0.125"
"2011/12","3.25","6.560","0.050","0.125"
"2011/11","3.25","6.560","0.050","0.125"
"2011/10","3.25","6.560","0.050","0.125"
"2011/09","3.25","6.560","0.050","0.125"
"2011/08","3.25","6.560","0.050","0.125"
"2011/07","3.25","6.560","0.050","0.125"
"2011/06","3.25","6.310","0.050","0.125"
"2011/05","3.00","6.310","0.050","0.125"
"2011/04","3.00","6.310","0.050","0.125"
"2011/03","3.00","6.060","0.050","0.125"
"2011/02","2.75","6.060","0.050","0.125"
"2011/01","2.75","5.810","0.050","0.125"
"2010/12","2.50","5.810","0.050","0.125"
"2010/11","2.50","5.560","0.050","0.125"
"2010/10","2.25","5.560","0.050","0.125"
"2010/09","2.25","5.310","0.100","0.125"
"2010/08","2.25","5.310","0.100","0.125"
"2010/07","2.25","5.310","0.100","0.125"
"2010/06","2.00","5.310","0.100","0.125"
"2010/05","2.00","5.310","0.100","0.125"
"2010/04","2.00","5.310","0.100","0.125"
"2010/03","2.00","5.310","0.100","0.125"
"2010/02","2.00","5.310","0.100","0.125"
"2010/01","2.00","5.310","0.100","0.125"
