변환,원자료
"2023/05/03","1,340.20"
"2023/05/02","1,339.10"
"2023/04/28","1,339.90"
"2023/04/27","1,337.30"
"2023/04/26","1,333.30"
"2023/04/25","1,332.70"
"2023/04/24","1,327.90"
"2023/04/21","1,327.60"
"2023/04/20","1,318.80"
"2023/04/19","1,318.80"
"2023/04/18","1,311.30"
"2023/04/17","1,299.30"
"2023/04/14","1,318.00"
"2023/04/13","1,324.20"
"2023/04/12","1,319.50"
"2023/04/11","1,320.00"
"2023/04/10","1,318.90"
"2023/04/07","1,318.70"
"2023/04/06","1,311.90"
"2023/04/05","1,310.30"
"2023/04/04","1,316.30"
"2023/04/03","1,295.40"
"2023/03/31","1,303.80"
"2023/03/30","1,299.30"
"2023/03/29","1,297.40"
"2023/03/28","1,300.30"
"2023/03/27","1,289.70"
"2023/03/24","1,287.20"
"2023/03/23","1,307.10"
"2023/03/22","1,307.80"
"2023/03/21","1,308.40"
"2023/03/20","1,303.60"
"2023/03/17","1,312.10"
"2023/03/16","1,302.00"
"2023/03/15","1,304.90"
"2023/03/14","1,307.30"
"2023/03/13","1,325.70"
"2023/03/10","1,319.70"
"2023/03/09","1,319.50"
"2023/03/08","1,299.10"
"2023/03/07","1,296.70"
"2023/03/06","1,304.80"
"2023/03/03","1,310.40"
"2023/03/02","1,319.20"
"2023/02/28","1,317.40"
"2023/02/27","1,300.50"
"2023/02/24","1,299.60"
"2023/02/23","1,303.80"
"2023/02/22","1,295.80"
"2023/02/21","1,295.80"
"2023/02/20","1,297.70"
"2023/02/17","1,283.70"
"2023/02/16","1,279.30"
"2023/02/15","1,269.90"
"2023/02/14","1,274.60"
"2023/02/13","1,264.30"
"2023/02/10","1,263.10"
"2023/02/09","1,257.10"
"2023/02/08","1,256.00"
"2023/02/07","1,247.50"
"2023/02/06","1,227.20"
"2023/02/03","1,219.30"
"2023/02/02","1,231.40"
"2023/02/01","1,230.80"
"2023/01/31","1,228.70"
"2023/01/30","1,230.20"
"2023/01/27","1,231.40"
"2023/01/26","1,233.40"
"2023/01/25","1,234.40"
"2023/01/20","1,236.00"
"2023/01/19","1,239.80"
"2023/01/18","1,238.50"
"2023/01/17","1,234.00"
"2023/01/16","1,240.60"
"2023/01/13","1,244.60"
"2023/01/12","1,245.30"
"2023/01/11","1,240.80"
"2023/01/10","1,246.80"
"2023/01/09","1,267.20"
"2023/01/06","1,270.30"
"2023/01/05","1,274.70"
"2023/01/04","1,272.10"
"2023/01/03","1,268.90"
"2023/01/02","1,267.30"
"2022/12/30","1,267.30"
"2022/12/29","1,268.40"
"2022/12/28","1,268.30"
"2022/12/27","1,276.40"
"2022/12/26","1,282.20"
"2022/12/23","1,276.10"
"2022/12/22","1,286.60"
"2022/12/21","1,298.00"
"2022/12/20","1,302.00"
"2022/12/19","1,310.10"
"2022/12/16","1,301.00"
"2022/12/15","1,296.00"
"2022/12/14","1,304.40"
"2022/12/13","1,310.00"
"2022/12/12","1,306.60"
"2022/12/09","1,320.40"
"2022/12/08","1,319.50"
"2022/12/07","1,309.00"
"2022/12/06","1,293.20"
"2022/12/05","1,300.40"
"2022/12/02","1,300.80"
"2022/12/01","1,320.10"
"2022/11/30","1,331.50"
"2022/11/29","1,339.00"
"2022/11/28","1,326.80"
"2022/11/25","1,333.20"
"2022/11/24","1,352.30"
"2022/11/23","1,355.70"
"2022/11/22","1,352.30"
"2022/11/21","1,340.00"
"2022/11/18","1,338.40"
"2022/11/17","1,325.60"
"2022/11/16","1,322.40"
"2022/11/15","1,320.30"
"2022/11/14","1,334.10"
"2022/11/11","1,370.10"
"2022/11/10","1,368.30"
"2022/11/09","1,387.30"
"2022/11/08","1,406.50"
"2022/11/07","1,422.40"
"2022/11/04","1,422.10"
"2022/11/03","1,418.00"
"2022/11/02","1,421.70"
"2022/11/01","1,422.20"
"2022/10/31","1,419.30"
"2022/10/28","1,418.10"
"2022/10/27","1,428.20"
"2022/10/26","1,436.50"
"2022/10/25","1,436.60"
"2022/10/24","1,436.60"
"2022/10/21","1,431.70"
"2022/10/20","1,420.60"
"2022/10/19","1,425.60"
"2022/10/18","1,436.60"
"2022/10/17","1,428.90"
"2022/10/14","1,427.00"
"2022/10/13","1,430.40"
"2022/10/12","1,433.50"
"2022/10/11","1,410.30"
"2022/10/07","1,404.20"
"2022/10/06","1,419.10"
"2022/10/05","1,431.20"
"2022/10/04","1,432.10"
"2022/09/30","1,434.80"
"2022/09/29","1,436.50"
"2022/09/28","1,427.20"
"2022/09/27","1,429.70"
"2022/09/26","1,408.40"
"2022/09/23","1,408.00"
"2022/09/22","1,393.60"
"2022/09/21","1,389.10"
"2022/09/20","1,390.10"
"2022/09/19","1,394.20"
"2022/09/16","1,394.20"
"2022/09/15","1,391.70"
"2022/09/14","1,374.80"
"2022/09/13","1,381.20"
"2022/09/08","1,385.30"
"2022/09/07","1,370.30"
"2022/09/06","1,369.70"
"2022/09/05","1,356.50"
"2022/09/02","1,351.40"
"2022/09/01","1,345.10"
"2022/08/31","1,347.50"
"2022/08/30","1,347.70"
"2022/08/29","1,332.50"
"2022/08/26","1,336.90"
"2022/08/25","1,341.40"
"2022/08/24","1,341.80"
"2022/08/23","1,338.20"
"2022/08/22","1,326.70"
"2022/08/19","1,317.30"
"2022/08/18","1,309.80"
"2022/08/17","1,309.60"
"2022/08/16","1,303.10"
"2022/08/12","1,302.50"
"2022/08/11","1,309.10"
"2022/08/10","1,305.10"
"2022/08/09","1,304.80"
"2022/08/08","1,299.30"
"2022/08/05","1,309.70"
"2022/08/04","1,310.50"
