일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/04/28","842.83","-7.38","-0.87","860.11","860.11","839.67","1157792.0","1.2059369E7","4.01309248E8"
"2023/04/27","850.21","19.77","2.38","831.89","850.88","823.19","1461893.0","1.0760729E7","4.03491546E8"
"2023/04/26","830.44","-8.27","-0.99","835.94","846.42","829.19","1260645.0","9968275.0","3.94071418E8"
"2023/04/25","838.71","-16.52","-1.93","857.54","858.91","828.25","1540092.0","1.1771865E7","3.97824368E8"
"2023/04/24","855.23","-13.59","-1.56","867.38","870.08","852.48","1308673.0","1.054759E7","4.05538683E8"
"2023/04/21","868.82","-16.89","-1.91","884.27","888.21","868.36","2021046.0","1.3125996E7","4.11902039E8"
"2023/04/20","885.71","-23.49","-2.58","905.81","906.00","884.33","2324112.0","1.397483E7","4.1923111E8"
"2023/04/19","909.20","0.18","0.02","908.87","913.97","907.59","1878192.0","1.483936E7","4.30184411E8"
"2023/04/18","909.02","-0.48","-0.05","910.75","910.75","902.90","1973947.0","1.6619154E7","4.31287161E8"
"2023/04/17","909.50","5.66","0.63","905.35","909.50","898.84","1543775.0","1.3443511E7","4.31395913E8"
"2023/04/14","903.84","9.59","1.07","902.56","906.69","900.70","1463220.0","1.398055E7","4.28656711E8"
"2023/04/13","894.25","3.63","0.41","885.50","895.29","875.42","1698995.0","1.6889537E7","4.23574251E8"
"2023/04/12","890.62","-8.32","-0.93","897.11","900.83","888.63","1987419.0","1.7250515E7","4.21877162E8"
"2023/04/11","898.94","11.16","1.26","893.20","899.37","879.73","1555496.0","1.6842487E7","4.25634976E8"
"2023/04/10","887.78","7.71","0.88","882.75","890.96","877.31","1590086.0","1.7822665E7","4.1875418E8"
"2023/04/07","880.07","14.49","1.67","871.83","880.07","866.58","1669013.0","1.4090088E7","4.14870489E8"
"2023/04/06","865.58","-6.78","-0.78","869.65","869.94","859.13","1418014.0","1.2406329E7","4.0802246E8"
"2023/04/05","872.36","15.18","1.77","857.54","872.44","856.15","1500673.0","1.3396403E7","4.11050884E8"
"2023/04/04","857.18","2.22","0.26","853.92","861.13","852.02","1310438.0","1.3297191E7","4.03961766E8"
"2023/04/03","854.96","7.44","0.88","850.86","855.20","847.70","1145928.0","1.3203018E7","4.02741111E8"
"2023/03/31","847.52","-2.96","-0.35","849.98","851.13","842.61","1282318.0","1.3809849E7","3.99097446E8"
"2023/03/30","850.48","6.54","0.77","850.78","852.59","846.10","1502135.0","1.5325503E7","4.00365538E8"
"2023/03/29","843.94","10.43","1.25","833.90","843.94","832.44","1309614.0","1.4690133E7","3.96799315E8"
"2023/03/28","833.51","5.82","0.70","831.07","833.68","825.40","1222377.0","1.386971E7","3.914914E8"
"2023/03/27","827.69","3.58","0.43","827.95","829.18","817.81","1176553.0","1.3400561E7","3.88588094E8"
"2023/03/24","824.11","11.92","1.47","820.16","824.11","814.07","1292725.0","1.3796537E7","3.86895184E8"
"2023/03/23","812.19","-1.24","-0.15","807.53","824.20","806.40","1177437.0","1.7941127E7","3.81704112E8"
"2023/03/22","813.43","10.90","1.36","811.17","813.43","807.91","1117239.0","1.2635103E7","3.82341032E8"
"2023/03/21","802.53","0.33","0.04","806.51","809.33","802.42","1062910.0","1.1841971E7","3.77289757E8"
"2023/03/20","802.20","4.81","0.60","793.04","803.42","791.45","1097773.0","1.1521938E7","3.77052535E8"
"2023/03/17","797.39","15.41","1.97","791.18","798.62","785.98","1146053.0","1.4408937E7","3.74945162E8"
"2023/03/16","781.98","0.81","0.10","780.53","785.54","767.11","1109314.0","1.229018E7","3.67720335E8"
"2023/03/15","781.17","23.12","3.05","774.53","784.59","773.65","1030708.0","1.0695498E7","3.68139424E8"
"2023/03/14","758.05","-30.84","-3.91","788.44","789.22","758.05","1140139.0","1.0903713E7","3.57461173E8"
"2023/03/13","788.89","0.29","0.04","784.02","789.18","771.03","1178495.0","1.0709011E7","3.72176399E8"
"2023/03/10","788.60","-20.62","-2.55","796.57","798.96","785.66","1204572.0","1.0596319E7","3.71906518E8"
"2023/03/09","809.22","-4.73","-0.58","817.03","817.12","801.10","1367968.0","1.1685234E7","3.81522431E8"
"2023/03/08","813.95","-1.81","-0.22","809.14","817.17","807.95","1261649.0","1.2564614E7","3.83607754E8"
"2023/03/07","815.76","-0.75","-0.09","814.27","818.56","810.47","1387404.0","1.3160788E7","3.84474106E8"
"2023/03/06","816.51","14.09","1.76","810.61","816.62","804.47","1110188.0","1.2501427E7","3.84639511E8"
"2023/03/03","802.42","15.23","1.93","792.90","802.45","792.61","1102273.0","1.1038717E7","3.78059877E8"
"2023/03/02","787.19","-4.41","-0.56","793.63","797.01","786.52","1020090.0","1.0853202E7","3.70075761E8"
"2023/02/28","791.60","11.30","1.45","784.23","793.65","783.66","1005903.0","1.0411153E7","3.71912985E8"
"2023/02/27","780.30","1.42","0.18","775.01","781.54","769.75","1146532.0","1.0516965E7","3.66628525E8"
"2023/02/24","778.88","-4.40","-0.56","784.94","786.09","774.21","1192538.0","1.0444721E7","3.66037811E8"
"2023/02/23","783.28","4.77","0.61","782.18","784.59","774.10","927833.0","9911740.0","3.6815172E8"
"2023/02/22","778.51","-14.91","-1.88","782.83","787.85","774.54","1125364.0","1.0019626E7","3.65904574E8"
"2023/02/21","793.42","4.53","0.57","789.45","793.42","786.48","1020995.0","9639630.0","3.72841941E8"
"2023/02/20","788.89","13.27","1.71","777.68","789.26","773.86","889521.0","8887053.0","3.70746475E8"
"2023/02/17","775.62","-9.09","-1.16","775.03","780.78","772.96","862496.0","8911921.0","3.64469232E8"
"2023/02/16","784.71","19.25","2.51","772.17","784.71","772.16","1242738.0","9390498.0","3.68439502E8"
"2023/02/15","765.46","-14.12","-1.81","782.55","784.38","763.81","1416003.0","1.0724452E7","3.58813761E8"
"2023/02/14","779.58","7.03","0.91","778.05","780.13","774.61","1273742.0","9632667.0","3.64997189E8"
"2023/02/13","772.55","0.11","0.01","771.50","774.08","767.64","1198565.0","9602982.0","3.61652494E8"
"2023/02/10","772.44","-12.14","-1.55","783.07","784.52","771.62","1309835.0","1.058921E7","3.61579872E8"
"2023/02/09","784.58","4.60","0.59","776.60","784.64","776.26","1411565.0","9920452.0","3.67173796E8"
"2023/02/08","779.98","7.19","0.93","777.43","779.98","776.30","1461520.0","9573057.0","3.64938933E8"
"2023/02/07","772.79","11.46","1.51","762.47","773.79","762.30","1261552.0","9579663.0","3.61544964E8"
"2023/02/06","761.33","-5.46","-0.71","763.66","766.23","760.65","1185408.0","8029938.0","3.55964477E8"
"2023/02/03","766.79","2.17","0.28","765.37","768.03","761.82","1136574.0","9265713.0","3.58449972E8"
"2023/02/02","764.62","13.66","1.82","759.53","764.84","758.72","1220835.0","8757934.0","3.56981668E8"
"2023/02/01","750.96","10.47","1.41","744.90","752.50","744.03","1065397.0","8786552.0","3.50460924E8"
"2023/01/31","740.49","1.87","0.25","735.19","740.98","732.33","975259.0","8044583.0","3.45558867E8"
"2023/01/30","738.62","-2.63","-0.35","743.73","746.33","736.90","1050895.0","7484992.0","3.44704325E8"
"2023/01/27","741.25","2.31","0.31","741.20","742.07","737.90","1135405.0","7465456.0","3.4574198E8"
"2023/01/26","738.94","6.59","0.90","734.37","740.99","733.23","1207458.0","9151211.0","3.44416795E8"
"2023/01/25","732.35","14.38","2.00","725.23","732.42","725.23","1016337.0","7703891.0","3.41163277E8"
"2023/01/20","717.97","5.08","0.71","712.32","718.03","712.32","1006211.0","6147616.0","3.34506824E8"
"2023/01/19","712.89","1.14","0.16","707.66","712.94","705.76","1008733.0","6275313.0","3.31969249E8"
"2023/01/18","711.75","2.04","0.29","711.12","713.28","708.79","1175236.0","6534155.0","3.31005187E8"
"2023/01/17","709.71","-7.18","-1.00","716.70","718.90","708.54","1162083.0","6282539.0","3.30058543E8"
"2023/01/16","716.89","5.07","0.71","714.71","718.15","713.19","1230666.0","5646744.0","3.33362222E8"
"2023/01/13","711.82","1.00","0.14","712.24","714.75","709.26","1082282.0","5228817.0","3.30987809E8"
