변환,원자료,원자료
"2007/01","3.67","6.66"
"2007/02","3.70","6.71"
"2007/03","3.74","6.75"
"2007/04","3.78","6.77"
"2007/05","3.85","6.79"
"2007/06","3.85","6.80"
"2007/07","3.91","6.82"
"2007/08","3.97","6.85"
"2007/09","4.00","6.91"
"2007/10","4.08","6.98"
"2007/11","4.15","7.04"
"2007/12","4.20","7.16"
"2008/01","4.41","7.28"
"2008/02","4.43","7.28"
"2008/03","4.45","7.20"
"2008/04","4.47","7.13"
"2008/05","4.50","7.14"
"2008/06","4.51","7.19"
"2008/07","4.58","7.24"
"2008/08","4.66","7.36"
"2008/09","4.73","7.51"
"2008/10","4.87","7.70"
"2008/11","4.86","7.75"
"2008/12","4.80","7.50"
"2009/01","4.55","6.95"
"2009/02","4.21","6.40"
"2009/03","4.06","5.79"
"2009/04","3.78","5.57"
"2009/05","3.68","5.46"
"2009/06","3.54","5.43"
"2009/07","3.46","5.44"
"2009/08","3.38","5.49"
"2009/09","3.31","5.58"
"2009/10","3.25","5.70"
"2009/11","3.22","5.80"
"2009/12","3.18","5.86"
"2010/01","3.20","5.91"
"2010/02","3.18","5.94"
"2010/03","3.19","5.93"
"2010/04","3.12","5.84"
"2010/05","3.06","5.74"
"2010/06","3.01","5.63"
"2010/07","3.02","5.63"
"2010/08","3.03","5.67"
"2010/09","2.98","5.70"
"2010/10","2.94","5.70"
"2010/11","2.89","5.70"
"2010/12","2.85","5.70"
"2011/01","2.84","5.75"
"2011/02","2.87","5.82"
"2011/03","2.92","5.92"
"2011/04","2.97","5.98"
"2011/05","3.03","6.04"
"2011/06","3.05","6.06"
"2011/07","3.08","6.08"
"2011/08","3.11","6.09"
"2011/09","3.10","6.08"
"2011/10","3.11","6.07"
"2011/11","3.11","6.05"
"2011/12","3.05","6.01"
"2012/01","3.07","6.00"
"2012/02","3.06","5.98"
"2012/03","3.05","5.95"
"2012/04","3.05","5.93"
"2012/05","3.06","5.91"
"2012/06","3.03","5.87"
"2012/07","3.03","5.81"
