변환,원자료,원자료,원자료,원자료
"2007/01","4.50","4.91","5.01","5.05"
"2007/02","4.50","4.95","5.05","5.08"
"2007/03","4.50","4.94","5.02","5.03"
"2007/04","4.50","4.95","5.04","5.06"
"2007/05","4.50","5.03","5.15","5.20"
"2007/06","4.50","5.04","5.19","5.23"
"2007/07","4.75","5.05","5.24","5.35"
"2007/08","5.00","5.20","5.38","5.44"
"2007/09","5.00","5.33","5.53","5.58"
"2007/10","5.00","5.34","5.56","5.64"
"2007/11","5.00","5.39","5.60","5.71"
"2007/12","5.00","5.69","5.89","6.13"
"2008/01","5.00","5.81","5.98","6.15"
"2008/02","5.00","5.33","5.46","5.57"
"2008/03","5.00","5.24","5.30","5.39"
"2008/04","5.00","5.35","5.40","5.48"
"2008/05","5.00","5.35","5.42","5.52"
"2008/06","5.00","5.36","5.51","5.78"
"2008/07","5.00","5.50","5.76","6.25"
"2008/08","5.25","5.76","6.08","6.57"
"2008/09","5.25","5.79","6.16","6.69"
"2008/10","4.25","5.97","6.58","7.22"
"2008/11","4.00","5.59","6.26","6.94"
"2008/12","3.00","4.72","5.53","6.13"
"2009/01","2.50","3.27","3.81","4.13"
"2009/02","2.00","2.70","2.95","3.32"
"2009/03","2.00","2.44","2.66","3.22"
"2009/04","2.00","2.41","2.58","3.02"
"2009/05","2.00","2.41","2.55","2.99"
"2009/06","2.00","2.41","2.63","3.22"
"2009/07","2.00","2.41","2.66","3.24"
"2009/08","2.00","2.47","2.76","3.47"
"2009/09","2.00","2.62","3.04","3.92"
"2009/10","2.00","2.78","3.25","4.09"
"2009/11","2.00","2.79","3.23","4.03"
"2009/12","2.00","2.82","3.30","4.01"
"2010/01","2.00","2.88","3.40","4.03"
"2010/02","2.00","2.88","3.31","3.92"
"2010/03","2.00","2.82","3.01","3.50"
"2010/04","2.00","2.54","2.70","3.04"
"2010/05","2.00","2.46","2.63","3.15"
"2010/06","2.00","2.46","2.70","3.27"
"2010/07","2.25","2.61","2.92","3.50"
"2010/08","2.25","2.66","2.95","3.46"
"2010/09","2.25","2.68","2.94","3.33"
"2010/10","2.25","2.66","2.87","3.10"
"2010/11","2.50","2.72","2.90","3.22"
