변환,원자료,원자료,원자료
"2007/01","4.50","4.630","4.690"
"2007/02","4.50","4.600","4.680"
"2007/03","4.50","4.600","4.690"
"2007/04","4.50","4.680","4.780"
"2007/05","4.50","4.620","4.740"
"2007/06","4.50","4.540","4.670"
"2007/07","4.75","4.670","4.770"
"2007/08","5.00","4.910","5.040"
"2007/09","5.00","4.970","5.120"
"2007/10","5.00","5.000","5.130"
"2007/11","5.00","5.000","5.140"
"2007/12","5.00","4.990","5.180"
"2008/01","5.00","4.990","5.160"
"2008/02","5.00","4.970","5.130"
"2008/03","5.00","4.970","5.170"
"2008/04","5.00","4.990","5.170"
"2008/05","5.00","4.990","5.130"
"2008/06","5.00","4.930","5.110"
"2008/07","5.00","4.980","5.140"
"2008/08","5.25","5.210","5.390"
"2008/09","5.25","5.210","5.390"
"2008/10","4.25","4.890","5.170"
"2008/11","4.00","4.000","4.470"
"2008/12","3.00","3.270","3.990"
"2009/01","2.50","2.430","3.050"
"2009/02","2.00","2.060","2.590"
"2009/03","2.00","1.770","2.380"
"2009/04","2.00","1.790","2.350"
"2009/05","2.00","1.910","2.330"
"2009/06","2.00","1.930","2.320"
"2009/07","2.00","1.940","2.300"
"2009/08","2.00","1.980","2.280"
"2009/09","2.00","1.980","2.300"
"2009/10","2.00","2.000","2.310"
"2009/11","2.00","2.000","2.330"
"2009/12","2.00","2.000","2.300"
"2010/01","2.00","2.000","2.300"
"2010/02","2.00","2.000","2.300"
"2010/03","2.00","2.010","2.320"
"2010/04","2.00","2.000","2.310"
"2010/05","2.00","2.010","2.300"
"2010/06","2.00","2.000","2.270"
"2010/07","2.25","2.200","2.430"
"2010/08","2.25","2.270","2.490"
"2010/09","2.25","2.270","2.530"
"2010/10","2.25","2.260","2.500"
"2010/11","2.50","2.370","2.590"
"2010/12","2.50","2.500","2.710"
"2011/01","2.75","2.660","2.870"
"2011/02","2.75","2.750","2.950"
"2011/03","3.00","2.920","3.130"
"2011/04","3.00","3.010","3.180"
"2011/05","3.00","3.020","3.140"
"2011/06","3.25","3.200","3.330"
"2011/07","3.25","3.260","3.360"
"2011/08","3.25","3.250","3.350"
"2011/09","3.25","3.250","3.350"
"2011/10","3.25","3.240","3.350"
"2011/11","3.25","3.260","3.350"
