변환,원자료
"1971/01","562,362"
"1971/02","534,990"
"1971/03","536,564"
"1971/04","536,812"
"1971/05","540,317"
"1971/06","547,944"
"1971/07","545,357"
"1971/08","541,794"
"1971/09","538,480"
"1971/10","531,999"
"1971/11","538,232"
"1971/12","534,501"
"1972/01","536,494"
"1972/02","524,073"
"1972/03","537,045"
"1972/04","522,324"
"1972/05","535,702"
"1972/06","564,818"
"1972/07","572,323"
"1972/08","615,369"
"1972/09","639,763"
"1972/10","663,999"
"1972/11","666,364"
"1972/12","693,801"
"1973/01","699,005"
"1973/02","691,624"
"1973/03","712,276"
"1973/04","768,462"
"1973/05","813,825"
"1973/06","850,550"
"1973/07","867,262"
"1973/08","885,442"
"1973/09","982,998"
"1973/10","995,094"
"1973/11","994,735"
"1973/12","1,034,159"
"1974/01","1,014,859"
"1974/02","990,484"
"1974/03","970,811"
"1974/04","996,350"
"1974/05","995,115"
"1974/06","984,537"
"1974/07","984,822"
"1974/08","977,302"
"1974/09","979,806"
"1974/10","979,885"
"1974/11","974,689"
"1974/12","1,049,345"
"1975/01","937,492"
"1975/02","913,785"
"1975/03","879,727"
"1975/04","956,285"
"1975/05","973,709"
"1975/06","1,089,512"
"1975/07","1,131,241"
"1975/08","1,226,813"
"1975/09","1,263,093"
"1975/10","1,360,378"
"1975/11","1,440,956"
"1975/12","1,541,555"
"1976/01","1,518,475"
"1976/02","1,545,580"
"1976/03","1,693,380"
"1976/04","1,763,497"
"1976/05","1,897,131"
"1976/06","2,035,311"
"1976/07","2,119,416"
"1976/08","2,253,724"
"1976/09","2,364,347"
"1976/10","2,576,923"
"1976/11","2,582,780"
"1976/12","2,948,078"
"1977/01","2,869,824"
"1977/02","2,852,366"
"1977/03","3,198,529"
"1977/04","3,233,753"
"1977/05","3,505,531"
"1977/06","3,488,781"
"1977/07","3,642,572"
"1977/08","3,751,315"
"1977/09","4,025,672"
"1977/10","4,230,745"
"1977/11","4,127,549"
"1977/12","4,288,300"
"1978/01","4,399,917"
"1978/02","4,357,761"
"1978/03","4,250,614"
"1978/04","4,106,067"
"1978/05","4,067,703"
"1978/06","4,165,192"
"1978/07","4,260,383"
"1978/08","4,319,360"
"1978/09","4,489,094"
"1978/10","4,278,263"
"1978/11","4,363,729"
"1978/12","4,879,331"
"1979/01","4,608,671"
"1979/02","4,539,125"
"1979/03","4,657,421"
"1979/04","4,573,000"
