,CD(91일),CP(91일),국고채(10년),국고채(1년),국고채(20년),국고채(2년),국고채(30년),국고채(3년),국고채(50년),국고채(5년),국민주택채권1종(5년),산금채(1년),통안증권(1년),통안증권(2년),통안증권(91일),"회사채(3년, AA-)","회사채(3년, AA-, 민평)","회사채(3년, BBB-)"
1987/01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.580,0.000,12.710,0.000,0.000,12.650,0.000,0.000
1987/02,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,0.000,12.780,0.000,0.000,12.650,0.000,0.000
1987/03,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.530,0.000,12.810,0.000,0.000,12.650,0.000,0.000
1987/04,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.760,0.000,12.790,0.000,0.000,12.650,0.000,0.000
1987/05,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.630,0.000,12.600,0.000,0.000,12.650,0.000,0.000
1987/06,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,0.000,12.230,0.000,0.000,12.570,0.000,0.000
1987/07,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,0.000,12.170,0.000,0.000,12.570,0.000,0.000
1987/08,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.080,0.000,12.730,0.000,0.000,12.580,0.000,0.000
1987/09,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.360,0.000,12.960,0.000,0.000,12.580,0.000,0.000
1987/10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.530,0.000,13.460,0.000,0.000,12.580,0.000,0.000
1987/11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.510,0.000,13.800,0.000,0.000,12.580,0.000,0.000
1987/12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.320,0.000,13.230,0.000,0.000,12.740,0.000,0.000
1988/01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.270,0.000,13.750,0.000,0.000,12.750,0.000,0.000
1988/02,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.160,0.000,14.690,0.000,0.000,12.750,0.000,0.000
