변환,원자료
"1999/04/01","1,225.90"
"1999/04/02","1,224.30"
"1999/04/06","1,225.10"
"1999/04/07","1,225.50"
"1999/04/08","1,222.80"
"1999/04/09","1,223.30"
"1999/04/12","1,223.20"
"1999/04/13","1,223.00"
"1999/04/14","1,222.60"
"1999/04/15","1,215.70"
"1999/04/16","1,217.50"
"1999/04/19","1,218.50"
"1999/04/20","1,209.60"
"1999/04/21","1,189.90"
"1999/04/22","1,188.10"
"1999/04/23","1,196.00"
"1999/04/26","1,189.90"
"1999/04/27","1,185.70"
"1999/04/28","1,183.50"
"1999/04/29","1,180.20"
"1999/04/30","1,176.40"
"1999/05/03","1,184.00"
"1999/05/04","1,189.40"
"1999/05/06","1,196.60"
"1999/05/07","1,199.60"
"1999/05/10","1,201.40"
"1999/05/11","1,201.60"
"1999/05/12","1,200.20"
"1999/05/13","1,203.00"
"1999/05/14","1,206.40"
"1999/05/17","1,207.50"
"1999/05/18","1,210.10"
"1999/05/19","1,201.70"
"1999/05/20","1,201.10"
"1999/05/21","1,197.90"
"1999/05/24","1,191.00"
"1999/05/25","1,190.80"
"1999/05/26","1,186.20"
"1999/05/27","1,189.80"
"1999/05/28","1,191.10"
"1999/05/31","1,186.30"
"1999/06/01","1,186.40"
"1999/06/02","1,188.40"
"1999/06/03","1,186.30"
"1999/06/04","1,186.00"
"1999/06/07","1,182.90"
"1999/06/08","1,184.20"
"1999/06/09","1,180.80"
"1999/06/10","1,166.70"
"1999/06/11","1,161.90"
"1999/06/14","1,167.80"
"1999/06/15","1,170.50"
"1999/06/16","1,167.10"
"1999/06/17","1,163.00"
"1999/06/18","1,165.70"
"1999/06/21","1,165.90"
"1999/06/22","1,166.20"
"1999/06/23","1,162.10"
"1999/06/24","1,162.80"
"1999/06/25","1,160.30"
"1999/06/28","1,154.70"
"1999/06/29","1,153.50"
"1999/06/30","1,155.90"
"1999/07/01","1,158.60"
"1999/07/02","1,160.70"
"1999/07/05","1,166.80"
"1999/07/06","1,163.30"
"1999/07/07","1,166.20"
"1999/07/08","1,171.10"
"1999/07/09","1,178.40"
"1999/07/12","1,187.50"
"1999/07/13","1,186.60"
"1999/07/14","1,176.80"
"1999/07/15","1,180.70"
"1999/07/16","1,184.20"
"1999/07/19","1,181.70"
"1999/07/20","1,186.10"
"1999/07/21","1,192.20"
"1999/07/22","1,197.40"
"1999/07/23","1,206.60"
"1999/07/26","1,208.40"
"1999/07/27","1,209.20"
"1999/07/28","1,204.70"
"1999/07/29","1,199.20"
"1999/07/30","1,201.10"
"1999/08/02","1,206.90"
"1999/08/03","1,204.10"
"1999/08/04","1,198.40"
"1999/08/05","1,199.60"
"1999/08/06","1,201.30"
"1999/08/09","1,200.60"
"1999/08/10","1,198.90"
"1999/08/11","1,199.60"
"1999/08/12","1,200.30"
"1999/08/13","1,205.70"
"1999/08/16","1,207.70"
"1999/08/17","1,204.60"
"1999/08/18","1,203.70"
"1999/08/19","1,204.90"
"1999/08/20","1,199.40"
"1999/08/23","1,201.20"
"1999/08/24","1,197.50"
"1999/08/25","1,200.00"
"1999/08/26","1,195.00"
"1999/08/27","1,190.90"
"1999/08/30","1,189.90"
"1999/08/31","1,184.90"
"1999/09/01","1,184.70"
"1999/09/02","1,182.10"
"1999/09/03","1,188.10"
"1999/09/06","1,194.30"
"1999/09/07","1,192.60"
"1999/09/08","1,193.30"
"1999/09/09","1,194.40"
"1999/09/10","1,191.00"
"1999/09/13","1,191.00"
"1999/09/14","1,192.20"
"1999/09/15","1,190.70"
"1999/09/16","1,192.70"
"1999/09/17","1,194.80"
"1999/09/20","1,204.10"
"1999/09/21","1,202.30"
"1999/09/22","1,202.70"
"1999/09/27","1,207.30"
"1999/09/28","1,210.60"
"1999/09/29","1,213.30"
"1999/09/30","1,218.70"
"1999/10/01","1,216.40"
"1999/10/04","1,216.30"
"1999/10/05","1,215.70"
"1999/10/06","1,211.10"
"1999/10/07","1,206.60"
"1999/10/08","1,203.20"
"1999/10/11","1,202.70"
"1999/10/12","1,203.90"
"1999/10/13","1,205.50"
"1999/10/14","1,203.80"
"1999/10/15","1,206.60"
"1999/10/18","1,206.70"
"1999/10/19","1,204.50"
"1999/10/20","1,204.50"
"1999/10/21","1,204.70"
"1999/10/22","1,205.10"
"1999/10/25","1,205.70"
"1999/10/26","1,205.70"
"1999/10/27","1,204.10"
"1999/10/28","1,202.00"
"1999/10/29","1,199.20"
"1999/11/01","1,200.50"
"1999/11/02","1,195.90"
"1999/11/03","1,193.40"
"1999/11/04","1,193.70"
"1999/11/05","1,187.30"
"1999/11/08","1,183.90"
"1999/11/09","1,184.30"
"1999/11/10","1,183.60"
"1999/11/11","1,182.10"
"1999/11/12","1,176.60"
"1999/11/15","1,168.70"
"1999/11/16","1,176.20"
"1999/11/17","1,184.00"
"1999/11/18","1,177.80"
"1999/11/19","1,175.10"
"1999/11/22","1,173.70"
"1999/11/23","1,173.80"
"1999/11/24","1,170.50"
"1999/11/25","1,164.10"
"1999/11/26","1,159.10"
"1999/11/29","1,159.80"
"1999/11/30","1,157.50"
"1999/12/01","1,159.50"
"1999/12/02","1,159.00"
"1999/12/03","1,152.10"
"1999/12/06","1,151.10"
"1999/12/07","1,151.00"
"1999/12/08","1,141.60"
"1999/12/09","1,131.30"
"1999/12/10","1,130.40"
"1999/12/13","1,132.90"
"1999/12/14","1,128.60"
"1999/12/15","1,132.60"
"1999/12/16","1,136.00"
"1999/12/17","1,133.60"
"1999/12/20","1,129.80"
"1999/12/21","1,132.50"
"1999/12/22","1,133.10"
"1999/12/23","1,132.40"
"1999/12/24","1,130.40"
"1999/12/27","1,131.90"
"1999/12/28","1,133.20"
"1999/12/29","1,137.50"
"1999/12/30","1,145.40"
"2000/01/04","1,134.50"
"2000/01/05","1,125.80"
"2000/01/06","1,130.10"
"2000/01/07","1,139.10"
"2000/01/08","1,145.90"
"2000/01/10","1,145.90"
"2000/01/11","1,135.30"
"2000/01/12","1,137.30"
"2000/01/13","1,147.00"
"2000/01/14","1,138.50"
"2000/01/15","1,127.10"
"2000/01/17","1,127.10"
"2000/01/18","1,122.10"
"2000/01/19","1,124.40"
"2000/01/20","1,128.90"
"2000/01/21","1,132.20"
"2000/01/22","1,127.60"
"2000/01/24","1,127.60"
"2000/01/25","1,126.20"
"2000/01/26","1,125.90"
"2000/01/27","1,126.80"
"2000/01/28","1,126.10"
"2000/01/29","1,122.10"
"2000/01/31","1,122.10"
"2000/02/01","1,125.40"
"2000/02/02","1,125.00"
"2000/02/03","1,131.00"
"2000/02/07","1,129.00"
"2000/02/08","1,129.00"
"2000/02/09","1,130.10"
"2000/02/10","1,125.50"
"2000/02/11","1,121.10"
"2000/02/12","1,116.80"
"2000/02/14","1,116.80"
"2000/02/15","1,119.70"
"2000/02/16","1,127.40"
"2000/02/17","1,125.30"
"2000/02/18","1,127.80"
"2000/02/19","1,130.20"
"2000/02/21","1,130.20"
"2000/02/22","1,131.00"
"2000/02/23","1,134.40"
"2000/02/24","1,133.70"
"2000/02/25","1,139.10"
"2000/02/26","1,141.00"
"2000/02/28","1,141.00"
"2000/02/29","1,131.80"
"2000/03/02","1,132.40"
"2000/03/03","1,122.70"
"2000/03/04","1,120.90"
"2000/03/06","1,120.90"
"2000/03/07","1,120.10"
"2000/03/08","1,117.40"
"2000/03/09","1,120.10"
"2000/03/10","1,120.30"
"2000/03/11","1,119.60"
"2000/03/13","1,119.60"
"2000/03/14","1,120.80"
