연도,월,단위가격(오세아니아),금액(오세아니아),중량(ton)(오세아니아),단위가격(북아메리카),금액(북아메리카),중량(북아메리카),단위가격(중남미),금액(중남미),중량(중남미),단위가격(중동),금액(중동),중량(중동),단위가격(아시아),금액(아시아),중량(아시아),단위가격(아프리카),금액(아프리카),중량(아프리카),단위가격(유럽),금액(유럽),중량(유럽),단위가격(러시아),금액(러시아),중량(러시아),단위가격(기타),금액(기타),중량(기타)
1988,01,0,0,0,0,0,0,0,0,0,0,0,0,180.2389453,21,116512,0,0,0,0,0,0,0,0,0,0,0,0
1988,02,0,0,0,0,0,0,0,0,0,0,0,0,180.595449,21,116282,0,0,0,0,0,0,0,0,0,0,0,0
1988,03,0,0,0,0,0,0,0,0,0,0,0,0,169.2448296,10,59086,0,0,0,0,0,0,0,0,0,0,0,0
1988,04,0,0,0,0,0,0,0,0,0,0,0,0,190.8882667,33,172876,0,0,0,0,0,0,0,0,0,0,0,0
1988,05,0,0,0,0,0,0,0,0,0,0,0,0,194.6063762,45,231236,0,0,0,0,0,0,0,0,0,0,0,0
1988,06,0,0,0,0,0,0,0,0,0,0,0,0,188.4174646,33,175143,0,0,0,0,0,0,0,0,0,0,0,0
1988,07,0,0,0,0,0,0,0,0,0,0,0,0,183.7318565,21,114297,0,0,0,0,0,0,0,0,0,0,0,0
1988,08,0,0,0,0,0,0,0,0,0,0,0,0,166.3645836,38,228414,0,0,0,0,0,0,0,0,0,0,0,0
1988,09,0,0,0,0,0,0,0,0,0,0,0,0,153.313096,35,228291,0,0,0,0,0,0,0,0,0,0,0,0
1988,10,0,0,0,0,0,0,0,0,0,0,0,0,157.0077806,18,114644,0,0,0,0,0,0,0,0,0,0,0,0
1988,11,0,0,0,0,0,0,0,0,0,0,0,0,140.5370271,32,227698,0,0,0,0,0,0,0,0,0,0,0,0
1988,12,0,0,0,0,0,0,0,0,0,0,0,0,132.1958614,15,113468,0,0,0,0,0,0,0,0,0,0,0,0
1989,01,0,0,0,0,0,0,0,0,0,0,0,0,143.3216586,32,223274,0,0,0,0,0,0,0,0,0,0,0,0
1989,02,0,0,0,0,0,0,0,0,0,0,0,0,160.018491,18,112487,0,0,0,0,0,0,0,0,0,0,0,0
1989,03,0,0,0,0,0,0,0,0,0,0,0,0,177.6151612,20,112603,0,0,0,0,0,0,0,0,0,0,0,0
1989,04,0,0,0,0,0,0,0,0,0,0,0,0,176.2021391,30,170259,0,0,0,0,0,0,0,0,0,0,0,0
1989,05,0,0,0,0,0,0,0,0,0,0,0,0,179.5428838,30,167091,0,0,0,0,0,0,0,0,0,0,0,0
1989,06,0,0,0,0,0,0,0,0,0,0,0,0,183.9937323,31,168484,0,0,0,0,0,0,0,0,0,0,0,0
1989,07,0,0,0,0,0,0,0,0,0,0,0,0,183.4952716,41,223439,0,0,0,0,0,0,0,0,0,0,0,0
1989,08,0,0,0,0,0,0,0,0,0,0,0,0,179.6095289,30,167029,0,0,0,0,0,0,0,0,0,0,0,0
1989,09,0,0,0,0,0,0,0,0,0,0,0,0,172.0976328,29,168509,0,0,0,0,0,0,0,0,0,0,0,0
1989,10,0,0,0,0,0,0,0,0,0,0,0,0,173.8556998,29,166805,0,0,0,0,0,0,0,0,0,0,0,0
1989,11,0,0,0,0,0,0,0,0,0,0,0,0,172.4517284,29,168163,0,0,0,0,0,0,0,0,0,0,0,0
1989,12,0,0,0,0,0,0,0,0,0,0,0,0,180.3285586,30,166363,0,0,0,0,0,0,0,0,0,0,0,0
1990,01,0,0,0,0,0,0,0,0,0,0,0,0,178.874877,40,223620,0,0,0,0,0,0,0,0,0,0,0,0
1990,02,0,0,0,0,0,0,0,0,0,0,0,0,190.3560849,32,168106,0,0,0,0,0,0,0,0,0,0,0,0
1990,03,0,0,0,0,0,0,0,0,0,0,0,0,190.8840916,32,167641,0,0,0,0,0,0,0,0,0,0,0,0
1990,04,0,0,0,0,0,0,0,0,0,0,0,0,191.8810338,32,166770,0,0,0,0,0,0,0,0,0,0,0,0
1990,05,0,0,0,0,0,21,0,0,0,0,0,0,178.2446467,30,168308,0,0,0,0,0,0,0,0,0,0,0,0
1990,06,0,0,0,0,0,0,0,0,0,0,0,0,168.4798306,28,166192,0,0,0,0,0,0,0,0,0,0,0,0
1990,07,0,0,0,0,0,0,0,0,0,0,0,0,160.7525601,27,167960,0,0,0,0,0,0,0,0,0,0,0,0
1990,08,0,0,0,0,0,0,0,0,0,0,0,0,155.6261859,26,167067,0,0,0,0,0,0,0,0,0,0,0,0
1990,09,0,0,0,0,0,0,0,0,0,0,0,0,170.0208499,38,223502,0,0,0,0,0,0,0,0,0,0,0,0
1990,10,0,0,0,0,0,0,0,0,0,0,0,0,228.5513361,39,170640,0,0,0,0,0,0,0,0,0,0,0,0
1990,11,0,0,0,0,0,0,0,0,0,0,0,0,299.3864811,67,223791,0,0,0,0,0,0,0,0,0,0,0,0
1990,12,0,0,0,0,0,0,0,0,0,0,0,0,303.9309898,68,223735,0,0,0,0,0,0,0,0,0,0,0,0
1991,01,0,0,0,0,0,0,0,0,0,0,0,0,241.6882811,41,169640,0,0,0,0,0,0,0,0,0,0,0,0
1991,02,0,0,0,0,0,0,0,0,0,0,0,0,235.6538363,80,339481,0,0,0,0,0,0,0,0,0,0,0,0
1991,03,0,0,0,0,0,0,0,0,0,0,0,0,198.9355205,57,286525,0,0,0,0,0,0,0,0,0,0,0,0
1991,04,0,0,0,0,0,0,0,0,0,0,0,0,172.3871196,39,226235,0,0,0,0,0,0,0,0,0,0,0,0
1991,05,0,0,0,0,0,0,0,0,0,0,0,0,176.8761027,40,226147,0,0,0,0,0,0,0,0,0,0,0,0
1991,06,0,0,0,0,0,0,0,0,0,0,0,0,167.8193204,19,113217,0,0,0,0,0,0,0,0,0,0,0,0
1991,07,0,0,0,0,0,0,0,0,0,0,0,0,180.8202239,31,171441,0,0,0,0,0,0,0,0,0,0,0,0
