날짜,삼성전자,삼성바이오로직스,SK하이닉스,LG화학,삼성SDI
2020-01-02,55200,423485,94700,314000,232000
2020-01-03,55500,417061,94500,311000,229000
2020-01-06,55500,407178,94300,307000,230000
2020-01-07,55800,414096,94000,311000,231500
2020-01-08,56800,403719,97400,302000,229000
2020-01-09,58600,415085,99000,306500,232500
2020-01-10,59500,431391,98900,325000,249000
2020-01-13,60000,435345,100500,332500,259000
2020-01-14,60000,429909,100500,333500,265500
2020-01-15,59000,429415,98200,328500,267500
2020-01-16,60700,431391,99200,329000,268500
2020-01-17,61300,431886,99000,333000,269500
2020-01-20,62400,432874,99900,354000,275500
2020-01-21,61400,432874,99300,344500,275500
2020-01-22,62300,446710,101000,351500,286000
2020-01-23,60800,477347,98700,348500,283500
2020-01-28,58800,488218,96300,336500,285000
2020-01-29,59100,485254,97900,335000,287000
2020-01-30,57200,489207,94000,343500,287000
2020-01-31,56400,478830,93500,337500,276000
2020-02-03,57200,473888,94700,350000,284000
2020-02-04,58900,486736,97100,379500,308000
2020-02-05,59500,484265,97700,382000,314000
2020-02-06,61100,512926,100500,382000,318500
2020-02-07,60400,512926,99300,386500,317000
2020-02-10,59700,523797,98800,387000,321500
2020-02-11,59900,521821,99800,413500,343000
2020-02-12,60500,523797,100000,408000,338000
2020-02-13,60700,523797,102000,411500,336500
2020-02-14,61800,522809,104500,413500,337000
2020-02-17,61500,512926,105000,419500,338000
2020-02-18,59800,506996,102000,418000,334000
2020-02-19,60200,499090,103500,404000,334000
2020-02-20,60000,492666,104000,419000,343500
2020-02-21,59200,480806,103000,407000,336500
2020-02-24,56800,455605,99500,395000,321000
2020-02-25,57900,473394,98000,399500,321000
2020-02-26,56500,474382,94600,395000,312000
2020-02-27,55900,474382,92800,388000,309500
2020-02-28,54200,458075,87900,368000,295000
2020-03-02,55000,461534,92100,377000,304500
2020-03-03,55400,473888,92800,386500,308000
2020-03-04,57400,483277,94300,392000,315000
2020-03-05,57800,490689,94900,406000,323500
2020-03-06,56500,485254,92600,400000,316500
2020-03-09,54200,488218,86900,374000,295000
2020-03-10,54600,490195,89100,373500,293500
2020-03-11,52100,478336,85500,365000,289000
2020-03-12,50800,477347,82800,341500,280000
2020-03-13,49950,451157,82500,340500,277500
2020-03-16,48900,424967,80600,312500,253000
2020-03-17,47300,412614,80400,306500,246000
2020-03-18,45600,395813,73100,280000,221500
2020-03-19,42950,361717,69000,230000,183000
2020-03-20,45400,424967,74800,272500,216500
2020-03-23,42500,430897,69400,268000,218500
2020-03-24,46950,470429,78700,288000,246500
2020-03-25,48650,469441,84500,307500,257500
2020-03-26,47800,451157,80700,299500,248000
2020-03-27,48300,437815,83300,303500,248000
2020-03-30,47850,444733,83700,303000,244500
2020-03-31,47750,476359,83300,305000,240500
2020-04-01,45800,447204,78400,292000,231000
